SWITCH_ID,YEAR,ACTUAL_COVERED,PRED_COVERED,PRED_FULL
33166,2020,1.0,0.5834914445877075,0.5834914445877075
33167,2020,1.0,0.5525858998298645,0.5525858998298645
33172,2020,0.0,0.7682597637176514,0.7682597637176514
33178,2020,0.0,0.5929747223854065,0.5929747223854065
33181,2020,0.0,0.7916867136955261,0.7916867136955261
33182,2020,1.0,0.9045862555503845,0.9045862555503845
33184,2020,0.0,0.6627241969108582,0.6627241969108582
33190,2020,0.0,0.6573862433433533,0.6573862433433533
33191,2020,1.0,0.9331309199333191,0.9331309199333191
33192,2020,0.0,0.675204336643219,0.675204336643219
33205,2020,0.0,0.5860527157783508,0.5860527157783508
33206,2020,0.0,0.9462064504623413,0.9462064504623413
33208,2020,2.0,0.5911858081817627,0.5911858081817627
33214,2020,0.0,0.6156731843948364,0.6156731843948364
33215,2020,0.0,0.9482191801071167,0.9482191801071167
33217,2020,0.0,0.6570917367935181,0.6570917367935181
33222,2020,0.0,0.6823599338531494,0.6823599338531494
33224,2020,0.0,0.6297881007194519,0.6297881007194519
33226,2020,0.0,1.1168562173843384,1.1168562173843384
33228,2020,2.0,0.7955700159072876,0.7955700159072876
33235,2020,0.0,0.5380216240882874,0.5380216240882874
33236,2020,2.0,0.3840543329715729,0.3840543329715729
33237,2020,0.0,0.6527037620544434,0.6527037620544434
33238,2020,4.0,0.7864094972610474,0.7864094972610474
33243,2020,0.0,0.8285470604896545,0.8285470604896545
33244,2020,1.0,0.646154522895813,0.646154522895813
33245,2020,0.0,1.0665794610977173,1.0665794610977173
33246,2020,0.0,0.9758318066596985,0.9758318066596985
1103,2021,2.0,1.0344594717025757,1.0344594717025757
1129,2021,2.0,1.2054868936538696,1.2054868936538696
1133,2021,2.0,0.9301847219467163,0.9301847219467163
1135,2021,0.0,1.1151978969573975,1.1151978969573975
1151,2021,0.0,0.3480418026447296,0.3480418026447296
1171,2021,0.0,0.7215694785118103,0.7215694785118103
1193,2021,0.0,0.6112826466560364,0.6112826466560364
1196,2021,0.0,0.5917662978172302,0.5917662978172302
1285,2021,0.0,1.4753475189208984,1.4753475189208984
1289,2021,0.0,0.970302939414978,0.970302939414978
22001,2021,2.0,0.9394112825393677,0.9394112825393677
22002,2021,0.0,1.0660353899002075,1.0660353899002075
22004,2021,0.0,0.33863502740859985,0.33863502740859985
22026,2021,0.0,1.3459304571151733,1.3459304571151733
22030,2021,1.0,0.98866206407547,0.98866206407547
22043,2021,0.0,0.5376694202423096,0.5376694202423096
22090,2021,0.0,0.8261435031890869,0.8261435031890869
33001,2021,2.0,0.6184488534927368,0.6184488534927368
33002,2021,2.0,1.2997187376022339,1.2997187376022339
33015,2021,1.0,0.8106396794319153,0.8106396794319153
33019,2021,0.0,0.8013022541999817,0.8013022541999817
33020,2021,0.0,0.9473796486854553,0.9473796486854553
33021,2021,0.0,1.2439109086990356,1.2439109086990356
33022,2021,0.0,0.6761322021484375,0.6761322021484375
33026,2021,2.0,0.6864815354347229,0.6864815354347229
33027,2021,1.0,0.8455034494400024,0.8455034494400024
33028,2021,1.0,1.0323139429092407,1.0323139429092407
