Size,Insulation,Voltage,Type,FROM,FROM_SWITCH,TO,TO_SWITCH
300SQ.MM,XLPE,11KV,HTCF SECTION,JULEAOUSWADI,36750,POOJA PRINTS,36741
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,KAMALA APARTMENT,18245,PRATAP MANE,11311
300SQ.MM,XLPE,11KV,HTCF SECTION,KASTURBA COLONY,15697,EVERSHINE NAGAR NO.1,7457
300SQ.MM,XLPE,11KV,HTCF SECTION,LOKMANYA NORTH,12036,LOKMANYA,9347
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,MALAD TELEPHONE EXCHANGE,31682,DAFTARI ROAD NO.1,4581
300SQ.MM,XLPE,11KV,HTCF SECTION,MALVANI COLONY NO.5,14606,MALWANI MHADA PUMP,18331
300SQ.MM,XLPE,11KV,HTCF SECTION,MANTHAN DARSHI,29530,BANDONGRI,4333
300SQ.MM,XLPE,11KV,HTCF SECTION,MAULI CHHAYA,32513,ROYAL CRYSTAL,35832
300SQ.MM,XLPE,11KV,HTCF SECTION,NESCO RECEIVING STATION,39636,NIRLON B7,34340
300SQ.MM,XLPE,11KV,HTCF SECTION,NESCO RECEIVING STATION,39638,SHREYAS ESTATE,10141
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,OMKAR RECEIVING STATION,3645,KEDARMAL ROAD,11842
300SQ.MM,XLPE,11KV,HTCF SECTION,PATGAON NO.2,34852,MACHHIMAR SOCIETY,2915
300SQ.MM,XLPE,11KV,HTCF SECTION,PATGAON NO.2,34852,MACHHIMAR SOCIETY,2915
300SQ.MM,XLPE,11KV,HTCF SECTION,PATHANWADI EAST,31670,SWAPNALOK,25370
300SQ.MM,XLPE,11KV,HTCF SECTION,PATHANWADI EAST,31670,SWAPNALOK,25370
300SQ.MM,XLPE,11KV,HTCF SECTION,PATHANWADI EAST,31670,SWAPNALOK,25370
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,ROYAL PALM PLANET,39296,RUBY ISLE,36041
300SQ.MM,XLPE,11KV,HTCF SECTION,SANKALP,19768,PATHANWADI EAST,10167
300SQ.MM,XLPE,11KV,HTCF SECTION,SAROVA TOWER D,39377,POISAR VILLAGE,19237
300SQ.MM,XLPE,11KV,HTCF SECTION,SATYAM APPT.,18973,SUBHASH LANE NORTH,4949
300SQ.MM,XLPE,11KV,HTCF SECTION,SHIV TRADING,17415,USHA OFFSET,14915
300SQ.MM,XLPE,11KV,HTCF SECTION,,,,
300SQ.MM,XLPE,11KV,HTCF SECTION,VALLABHBHAI PATEL SCHOOL,34015,MATHURADAS ROAD NO.1,13965
300SQ.MM,XLPE,22KV,HTCF SECTION,,,,
300SQ.MM,XLPE,22KV,HTCF SECTION,,,,
300+120SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AAREY CROSS ROAD NO. 2,7648,ACCORD CLASSIC,37865
300+120SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CHARKOP EAST,11145,MUTUAL STEEL,2598
300+120SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KADAM WADI NO.3,11781,KADAMWADI SRA A5,39705
300+120SQ.MM,PILC+XLPE,11KV,HTCF SECTION,OBEROI WOODS,30213,VIRVANI IND.NO.3,11736
300+120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VASANT GALAXY,25088,MOTILAL NAGAR NO.2,36558
300+120+150SQ.MM,XLPE,11KV,HTCF SECTION,CHARKOP SAGARMATA SOCIETY,36938,R S C 8,13969
300+120+150SQ.MM,XLPE,11KV,HTCF SECTION,SHIV SAGAR,14394,ACME AMEY,26214
300+120+150+70SQ.MM,PILC+XLPE,11KV,HTCF SECTION,DOMNIC COLONY,14403,TRINITY TOWER,32316
300+120+70+150SQ.MM,XLPE,11KV,HTCF SECTION,KANDIVLI HOUSING NO.3,18670,IMP,4548
300+150SQ.MM,XLPE,11KV,HTCF SECTION,GOREGAON NORTH,288,ANMOL PRIDE,34572
300+185+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SHANKAR LANE NO.3,7219,SHREEJI VIJAY SOCIETY,34363
300+225SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BANDIVLI NORTH,2362,RAM MANDIR SAANVI HEIGHT,40141
300+225SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RAMCHANDRA LANE NO.1,10667,ADARSH COLONY,4287
300+225SQ.MM,XLPE,11KV,HTCF SECTION,RAM MANDIR SAANVI HEIGHT,40141,BANDIVLI NORTH,2362
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,DINDOSHI HOUSING NO.1,10146,SUGRA TOWER,34992
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ERANGLE SOUTH,32386,MACHHIMAR SOCIETY,4023
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GANESH NAGAR MHADA NO.1,17935,BABAREKAR NAGAR NO.2,26514
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ITI,19210,K D COMPOUND,35099
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KANDIVLI INDUSTRIES NO.7,13461,ROCK AVENUE,28500
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KESAR RESIDENCY,19549,CLOTH MARKET,31782
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHARODI LINK ROAD NO.1,31747,MALVANI COLONY NO.4,10964
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHARODI LINK ROAD NO.1,31747,MALVANI COLONY NO.4,10964
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHARODI SOUTH NO.4,10375,MALVANI HOSPITAL,10371
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHARODI SOUTH NO.4,10375,MALVANI HOSPITAL,10371
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MALVANI CHURCH NO.3,16545,GREEN OCEAN,34766
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RADIUM APARTMENT,9652,ACME IND. PARK NO.2,18770
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,REMI PROCESS,9726,NIGOS NO.1,7663
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,S.R.P.F. NO.5,26052,S.R.P.F. NO.6,29377
300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SUMIT SAMARTH,38041,SAMANT,13260
300+240SQ.MM,XLPE,11KV,HTCF SECTION,,,,
300+240SQ.MM,XLPE,11KV,HTCF SECTION,ASPHALT  PLANT,13845,DINDOSHI CENTRAL,6828
300+240SQ.MM,XLPE,11KV,HTCF SECTION,CHITRA APARTMENT,6813,SUBHASH ROAD,2460
300+240SQ.MM,XLPE,11KV,HTCF SECTION,DHUKKA CHAMBER,35434,DHEERAJ MALL,19200
300+240SQ.MM,XLPE,11KV,HTCF SECTION,DINDOSHI HOUSING NO.1,10146,SUGRA TOWER,34992
300+240SQ.MM,XLPE,11KV,HTCF SECTION,,,,
300+240SQ.MM,XLPE,11KV,HTCF SECTION,,,,
