Size,Insulation,Voltage,Type,FROM,FROM_SWITCH,TO,TO_SWITCH
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,HALL RD 1,15317,HALAV POOL,28723
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,HANUMAN TEKDI NO.2,9406,AWWA MILITARY HOSTEL,31176
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ILFS HOUSE,35000,CHANDIVALI HSG (N) 4,15522
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JUHU LANE GARDEN,13709,SILVER BEACH NO.2,35482
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KALINA SOUTH NO.1,40231,JEWEL TOWER,25847
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KAPADIA NGR 2,10646,GRAND PALLEDIUM,31791
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KASTUR PARK NO 4,38043,KASTUR PARK NO 3,17030
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHERWADI NORTH NO.2,36214,KARMAYOGI INDUSTRIAL ESTATE,10343
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHERWADI NORTH NO.2,36214,KARMAYOGI INDUSTRIAL ESTATE,10343
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,LIDO CINEMA,25640,JUHU TELECOM NO.2,30136
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PREM JYOT,18965,ARYAMAN TRANSIT,36019
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PUSHPAK PETROL PUMP,25232,MAJASWADI BUS DEPOT,12314
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SIDDHARTH RESIDANCY,37036,SHANKARALAYA,29841
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SILVER SPRING,16744,SOMNATH LANE,9230
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VICKMAN STEEL,4983,HARIAS DREAM PARK,13004
120+150+400SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
120+225+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,LEELA LACE,5519,LELEWADI NO.3,15234
120+225+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,LEELA LACE,5519,LELEWADI NO.3,15234
120+240SQ.MM,PILC,11KV,HTCF SECTION,JANGID TOWER,12524,JANGID COMPLEX,11472
120+240SQ.MM,PILC,11KV,HTCF SECTION,RAJPUTANA,25735,KAMRAJ NGR,19177
120+240SQ.MM,PILC,11KV,HTCF SECTION,WASHI RD EAST,16187,R.C.MARG WEST,13314
120+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GHODEV GARDEN,32193,BADRI NARAYANDHAM,9074
120+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,FALCON CREST,16834,YOGI NAGAR CENTRAL,17361
120+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
120+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
120+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SAIBABA GOKUL NAGAR,10763,KADAMWADI SRA A5,39704
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AAREY GANESH NAGAR,15640,AAREY PUMP,6729
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AKURLI ROAD NORTH NO.1,17206,KALPATARU VATIKA,30215
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AKURLI ROAD NORTH NO.1,17206,KALPATARU VATIKA,30215
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AMBOLI VILLAGE NO.2,34046,CEASOR ROAD NO.1,38418
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ANDHERI WIRELESS,5048,JUHU LANE NO.4,11790
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,APPAPADA NO.2,14364,GANDHI NAGAR NO.4,11378
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,B J ROAD (BANDRA),7059,ST PAUL ROAD NO.1,2090
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BANDRA RECLAMATION WEST,15681,J.KUMAR INFRA (TEMP),38532
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BANDRA RECLAMATION WEST,15681,J.KUMAR INFRA (TEMP),38532
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BOMBAY IND,17994,POLYCHEM NO.2,41343
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BOMBAY IND,17996,HPCL,26150
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BORIVALI RESERVOIR,29228,RAHEJA ESTATE NORTH,17430
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,DATTANI COMPLEX NO.1,13226,SHREEDHAM SPLEDOUR,39501
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GHODBUNDAR BUS STOP,13726,ARVINDO RESORT,38573
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GOLDEN NEST PHASE 6,18023,PANCHRATNA PARK,14111
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GOREGAON ASMI DREAMS,37351,CITY TOWER,13516
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GREEN LAND APARTMENT,12566,DIPTI BAMANPURI,38476
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,HALAV POOL,28723,HALL RD 1,15317
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,HANUMAN TEKDI NO.2,9406,AWWA MILITARY HOSTEL,31176
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,HARIYALI NORTH 3,10622,HARIYALI CENTRAL 3,40185
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,HELIX TOWER,39486,SANGHANI EST,10866
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,IC COLONY EAST,10388,ULTIMATE PARADISE,35281
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,IC COLONY EAST,10388,ULTIMATE PARADISE,35281
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,IC COLONY EAST,10388,ULTIMATE PARADISE,35281
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,IC COLONY EAST,10388,ULTIMATE PARADISE,35281
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JOGESHWARI MMRDA NO.1,25301,POONAM NAGAR NO.1,14113
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KALINA CENTRAL NO.1,12757,KALINA SOLITAIR,38051
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KANAKIA ZILLION,36617,MASOOD EST,35679
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KURLA DAIRY,5195,NEHRU NGR AMRAPALI,37006
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MAGATHANE NO 1,7902,MAGATHANE NO 2,17109
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MAHALAXMI HEIGHT,34035,KANDIVLI SOUTH,2144
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MAROL MAROSHI ROAD NO.3,9486,S D F NO.3,6288
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MATRU SMRUTI,36640,PATKAR BLOCK,25666
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,NIMBONI BAUG 1,5510,BHAGYAWAN,14457
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,NIRLON B7,34335,NIGOS NO.2,13412
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PANT NGR SCHOOL,9317,CNG GHATKOPAR DEPOT,1340
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PARINEE ADNEY,36902,HOLY CROSS ROAD,12392
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,POSTAL CLY,17553,POSTAL COLONY NO.2,35959
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,R.K.POLYMER,15629,CHANDIVALI ICE & COLD,10744
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RAJGAD CHS,32005,SUMAN NGR,7897
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RIVERO,37598,LUMIERE,12609
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SAKI NAKA 3,18426,SHANGRILA,19060
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SAKI PARAMOUNT,38975,DSOUZA NGR 1,18419
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SATELITE CLASSIC,18964,JOGESHWARI(E) RAILWAY QTRS,18928
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SATYAM SHIVAM,15999,KRISHNA STHAL,14945
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ST PAUL ROAD NO.1,2090,B J ROAD (BANDRA),7059
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SUNDER NAGAR NO.3,38473,KRISHNA RESIDENCY,19600
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,TAGORE NGR CEMETERY,41265,KANNAMAWAR NGR 2,5020
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,TANAJI NAGAR,11653,RIZVI SRA 7A,38253
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,TUREL PAKHADI NO.2,5272,SITA KUNJ,34599
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,U T I NO.2,12330,BLOSSOM,9892
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,UTKARSH,40134,MAHAKALI ROAD NO.2,12384
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,UTKARSH,40134,MAHAKALI ROAD NO.2,12384
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VEDA,17421,BHAKTIDHAM,14969
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VICTORY FLASK,2984,DEONAR QTRS,7633
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VICTORY FLASK,2984,DEONAR QTRS,7633
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VIDYA BHAVAN,19044,BHARTIYA VIDYA BHAVAN,37474
120+300SQ.MM,XLPE,11KV,HTCF SECTION,ANAND NO.2,35051,ANAND NO.4,19575
120+300SQ.MM,XLPE,11KV,HTCF SECTION,ANDHERI WIRELESS,5048,JUHU LANE NO.4,11790
120+300SQ.MM,XLPE,11KV,HTCF SECTION,CHEMBUR MONALISA,35983,CHEMBUR WEST 2,9883
120+300SQ.MM,XLPE,11KV,HTCF SECTION,MAGATHANE NO 1,7902,MAGATHANE NO 2,17109
120+300SQ.MM,XLPE,11KV,HTCF SECTION,MAHESHWAR JYOT,35681,SHETH ELEGANCE,31788
120+300SQ.MM,XLPE,11KV,HTCF SECTION,MATRU SMRUTI,36640,PATKAR BLOCK,25666
120+300SQ.MM,XLPE,11KV,HTCF SECTION,SHANTI VIHAR,17791,POONAM VIHAR,26504
120+300SQ.MM,XLPE,11KV,HTCF SECTION,TANAJI NAGAR,11653,RIZVI SRA 7A,38253
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AMBAWADI,15105,MITHCHOWKY LOTUS,37065
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CHAMUNDA PARADISE,36803,PARLE NORTH NO.2,7585
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CLASSIC COUNTRY,13220,GOLDEN NEST NO 1,13567
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CLASSIC COUNTRY,13220,GOLDEN NEST NO 1,13567
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ECO HOUSE,34189,ACME AMEY,26175
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,EXPRESS MALL NO.2,34908,HEAVEN KORES NO.2,9251
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KAILASH CHANDRA,5102,NIVATIA ROAD NO.1,5318
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,LOKMANYA,9348,KADAM WADI NO.3,11783
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MALVANI MHADA NO.10,39765,NEW BABREKAR NAGAR,26852
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,NAHAR NAGAR,14529,LIBERTY GARDEN WEST,12691
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,NEW BABREKAR NAGAR,26852,MALVANI MHADA NO.10,39765
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,R S C 23,15029,RSC 44 SOUTH,38061
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RAM KUTIR,18138,MITHAGAR ROAD NO.3,6792
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RAMBAUGH LOTUS,38138,CHINCHAVLI ROAD NO.3,31664
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SHANTI NAGAR SHOPPING NO 2,38113,SHANTI NAGAR SOUTH,11326
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SITA KUNJ,34597,LIBERTY GARDEN SOUTH NO.2,19893
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,VICKMAN STEEL,4983,HARIAS DREAM PARK,13004
120+300+150SQ.MM,XLPE,11KV,HTCF SECTION,AAREY UNIT NO.3 KIOSK,18019,AGRO INDUSTRIES,2986
120+300+150SQ.MM,XLPE,11KV,HTCF SECTION,GREEN VALLEY STUDIO,38415,CLASSIC PRECI TECH,34485
120+300+150SQ.MM,XLPE,11KV,HTCF SECTION,,,,
120+300+150SQ.MM,XLPE,11KV,HTCF SECTION,MALAD RESERVOIR STUDIO,38451,MALAD RESERVOIR,14068
120+300+150SQ.MM,XLPE,11KV,HTCF SECTION,PARAG NAGAR,17771,NL ARYAVARTA NO 1,39893
120+300+150SQ.MM,XLPE,11KV,HTCF SECTION,SHYAM SADAN,36284,JAYSHIKHA,36393
120+300+150SQ.MM,XLPE,11KV,HTCF SECTION,VICKMAN STEEL,4983,HARIAS DREAM PARK,13004
120+300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,FALCON CREST,16834,YOGI NAGAR CENTRAL,17361
120+300+400SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
120+300+70+150+0.06SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GOREGAON NO.2,13778,GOREGAON NORTH,31794
120+70SQ.MM,PILC,11KV,HTCF SECTION,DANDA VILLAGE NO.1 (PT),35774,DANDA VILLAGE NO.3,16024
150SQ.MM,XLPE,11KV,HTCF SECTION,GOREGAON,409,CORPORATE ARENA,30496
150SQ.MM,XLPE,11KV,HTCF SECTION,LIVING ESSENCS,31510,WHISPERING PALM,13870
150SQ.MM,XLPE,11KV,HTCF SECTION,RAM PRATIKSHA TOWER,38569,JYOTI PARK NO 2,26056
150SQ.MM,XLPE,11KV,HTCF SECTION,RAMEE EMERALD,28906,SECOND ROAD (2ND),29235
150SQ.MM,XLPE,11KV,HTCF SECTION,TUREL PAKHADI NO.1,6899,TUREL PAKHADI NO.2,5271
150SQ.MM,XLPE,11KV,HTCF SECTION,UTTAN VIVIDH LAKSHY VIDYALAY,13212,JIDICIARY ACADEMY,32312
150+120SQ.MM,PILC+XLPE,11KV,HTCF SECTION,DHRUV PARK,28144,VASANT VIEW,31527
150+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ANAND NAGAR NO.2,10499,HANUMAN TEKDI NO.2,40965
150+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,FAIRMONT SHREM,39445,NEERAV PROPERTIES,39451
150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RSC 28,17287,RSC 41 NORTH,38894
185+0.15+240SQ.MM,PILC,11KV,HTCF SECTION,OSHIVRA BRIDGE,803,OSHIWARA NO.1,1003
185+225+240SQ.MM,PILC,11KV,HTCF SECTION,JEEVDAYA LANE,5170,GHATKOPAR TEL.EXCHANGE,5539
185+225+240SQ.MM,PILC,11KV,HTCF SECTION,JEEVDAYA LANE,5170,GHATKOPAR TEL.EXCHANGE,5539
185+225+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ISHA STEEL,4889,VARDHMAN WARE HOUSE,10475
185+240SQ.MM,PILC,11KV,HTCF SECTION,VIKHROLI HILL 1,12089,VIKHROLI BUS DEPOT,13955
185+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PATEL ICE FACTORY,9278,HINDUSTAN PAPER,5017
185+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ALELI,17048,VIKHROLI,29706
185+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
185+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,DAHISAR TELEPHONE EXCHANGE,26862,PRABHAT ROLLER MILL,10095
185+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GANJAWALA LANE,2798,BORIVALI EAST NO 1,756
185+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MAKHIJA ROYALE,37302,HRISHIKESH,6351
185+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GHATKOPAR SWITCH HOUSE,485,JEEVDAYA LANE,5169
185+300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MHATRE PLAZA,11074,DAHANUKAR WADI NO.1,28160
225+240SQ.MM,PILC,11KV,HTCF SECTION,BANDRA BUS DEPOT,31397,BANDRA TANK NO.3,15113
225+240SQ.MM,PILC,11KV,HTCF SECTION,,,,
225+240SQ.MM,PILC,11KV,HTCF SECTION,FERTILIZER CLY 3,16240,TROMBAY RESERVOIR,2830
225+240SQ.MM,PILC,11KV,HTCF SECTION,JUHU SCHEME NO.2,31723,V M ROAD NO.1,19317
225+240SQ.MM,PILC,11KV,HTCF SECTION,,,,
225+240SQ.MM,PILC,11KV,HTCF SECTION,PANJARPOLE 1,32428,FERTILIZER CLY 3,16238
225+240SQ.MM,PILC,11KV,HTCF SECTION,SWAPNASHIL,25581,PARLE EAST SHOPPING,5496
225+240SQ.MM,PILC,11KV,HTCF SECTION,SWAPNASHIL,25581,PARLE EAST SHOPPING,5496
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CHARAI CEMETRY,11408,REPUBLIC,2190
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GOKALIBAI SCHOOL,18025,BAJAJ ROAD,5083
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JOGESHWARI CAVES ROAD NO.1,2922,JOGESHWARI CAVES ROAD NO.3,12533
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PANJARPOLE 1,32428,FERTILIZER CLY 3,16238
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SORTING OFFICE,10840,ELBEE COURIERS,19120
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SWAPNASHIL,25579,HANUMAN ROAD NO.2,4038
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,UNION PARK 2,17614,ATUR PARK,16836
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ANGOLIMALA,30632,GULRAJ NO.2,39202
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BASANT TALKIES,4283,GOLF CLUB,2168
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,DIMPLE,38385,SHIVAI PLAZA,29939
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,FERTILIZER STAFF,835,R.C.MARG,9043
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GLOBAL VECTRA,30857,MESCO AIRLINES,17194
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GOKUL DIVINE,19756,PRIME MALL,28342
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GOKUL DIVINE,19756,PRIME MALL,28342
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,HI-CONS HEIGHT,31738,IFFCO,32926
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,IBIS HOTEL,34424,AMBEWADI NO.3,17979
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JUHU AERODROME NO.1,4454,JUHU AERODROME NO.3,25637
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHAJURIA ROAD,15926,TRIKAMDAS ROAD,18698
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHOTWADI NO.2,13556,KHOTWADI SOUTH,9080
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MAKHIJA ROYALE,37302,HRISHIKESH,6351
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PANT NGR 3,9296,PANT NGR TRANSIT CAMP,26183
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PANT NGR 3,9296,PANT NGR TRANSIT CAMP,26183
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PRATAP NAGAR PUMP HOUSE,15517,JOGESHWARI CAVES ROAD NO.1,2923
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,S C BROTHERS,2995,PRATAP NAGAR PUMP HOUSE,15519
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,S N D T,7246,SANTACRUZ NORTH NO.2,14870
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SANKALPITA,32947,SIXTEENTH ROAD (16TH ROAD),12211
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SAVOY CHAMBER,34808,STATE TRANSPORT ROAD NO.2,6647
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,UNION PARK 4,26757,NEW SAI SRUSHTI,35122
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,WADHAWALI,26215,GOLF CLUB,2169
225+240+300+400SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,
225+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BHARAT TEERTH,7981,GOLF VIEW CHS,40137
225+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CHEMBUR NALINI,35899,SHREE SUNDER,6384
225+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MAHESH CHS,37539,MILAN CO-OP,31763
225+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,RAJDEEP,9429,KURLA AL-SABA,37932
225+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,S N D T,7246,SANTACRUZ NORTH NO.2,14870
225+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,S N D T,7246,SANTACRUZ NORTH NO.2,14870
225+300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PRIME MALL,28341,GOKUL NEMIELLA,37164
240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SAINATH MARKET,4128,MALAD SUBWAY,9015
240SQ.MM,PILC,11KV,HTCF SECTION,A G NAGAR,11271,TARA SINGH,6201
240SQ.MM,PILC,11KV,HTCF SECTION,,,,
240SQ.MM,PILC,11KV,HTCF SECTION,,,,
240SQ.MM,PILC,11KV,HTCF SECTION,,,,
240SQ.MM,PILC,11KV,HTCF SECTION,,,,
240SQ.MM,PILC,11KV,HTCF SECTION,ANUGIRI,17596,BHARAT NGR 2,12373
240SQ.MM,PILC,11KV,HTCF SECTION,BARVE NGR SCHOOL,13587,HORSE SHOE VALLEY,5464
240SQ.MM,PILC,11KV,HTCF SECTION,BHARAT NAGAR NO 5,19093,AMAR IND EST,31979
240SQ.MM,PILC,11KV,HTCF SECTION,BIRLA LANE,19350,JUHU CENTAUR HOTEL NO.2,13371
240SQ.MM,PILC,11KV,HTCF SECTION,CHANDIVALI,7938,CHANDIVALI HSG 1,7929
240SQ.MM,PILC,11KV,HTCF SECTION,CHEMBUR HOSP.,16550,SWASTIC PARK 2,11072
240SQ.MM,PILC,11KV,HTCF SECTION,CHEMBUR NORTH 1,31685,SHELL CLY RD,17970
240SQ.MM,PILC,11KV,HTCF SECTION,,,,
240SQ.MM,PILC,11KV,HTCF SECTION,DAHISAR PARIJAT,15229,RAVALPADA,7729
240SQ.MM,PILC,11KV,HTCF SECTION,DAHISAR PARIJAT,15229,RAVALPADA,7729
240SQ.MM,PILC,11KV,HTCF SECTION,DAHISAR SUBWAY NO 1,39361,DAHISAR SUBWAY NO 2,7488
240SQ.MM,PILC,11KV,HTCF SECTION,DAHISAR SUBWAY NO 1,39361,DAHISAR SUBWAY NO 2,7488
240SQ.MM,PILC,11KV,HTCF SECTION,DAHISAR SUBWAY NO 1,39361,DAHISAR SUBWAY NO 2,7488
240SQ.MM,PILC,11KV,HTCF SECTION,,,,
240SQ.MM,PILC,11KV,HTCF SECTION,FIFTEENTH (15TH) ROAD NO.2,19418,TWENTIETH ROAD (20TH),10922
240SQ.MM,PILC,11KV,HTCF SECTION,FIFTEENTH (15TH) ROAD NO.2,19418,TWENTIETH ROAD (20TH),10922
240SQ.MM,PILC,11KV,HTCF SECTION,,,,
240SQ.MM,PILC,11KV,HTCF SECTION,HARI SHIVAM,9842,ANDHERI WEST,14967
240SQ.MM,PILC,11KV,HTCF SECTION,HARIYALI NORTH 4,11440,HARIYALI NORTH 3,10624
240SQ.MM,PILC,11KV,HTCF SECTION,HARIYALI NORTH 4,11440,HARIYALI NORTH 3,10624
240SQ.MM,PILC,11KV,HTCF SECTION,HETAL ARCH,26116,ZAKERIA ROAD,10814
240SQ.MM,PILC,11KV,HTCF SECTION,JAYANAND KHIRA NO.2,17173,JAYANAND KHIRA NO.1,472
240SQ.MM,PILC,11KV,HTCF SECTION,,,,
240SQ.MM,PILC,11KV,HTCF SECTION,JUHU WIRELESS,25365,DYNAMIX MALL,25834
240SQ.MM,PILC,11KV,HTCF SECTION,KAILASH IND EST 2,13962,KAILASH IND EST 3,15134
240SQ.MM,PILC,11KV,HTCF SECTION,KAMALA RAMAN NGR 2,31249,DEONAR HSG.1,7602
240SQ.MM,PILC,11KV,HTCF SECTION,KANU MAMA,6842,AKURLI ROAD EAST,9378
240SQ.MM,PILC,11KV,HTCF SECTION,KOHINOOR INDUSTRIES,7704,KALE RUBBER,14646
240SQ.MM,PILC,11KV,HTCF SECTION,KYLEMORE,9655,MEHBOOB,342
240SQ.MM,PILC,11KV,HTCF SECTION,LAXMI NGR 4,28857,VIKHROLI BUS DEPOT EAST,5661
240SQ.MM,PILC,11KV,HTCF SECTION,LAXMI NGR 4,28857,VIKHROLI BUS DEPOT EAST,5661
240SQ.MM,PILC,11KV,HTCF SECTION,LOKHANDWALA WEST NO.1,12560,APANA GHAR NO.1,6865
240SQ.MM,PILC,11KV,HTCF SECTION,,,,
240SQ.MM,PILC,11KV,HTCF SECTION,,,,
240SQ.MM,PILC,11KV,HTCF SECTION,MAHINDRA PARK 2,19436,KURLA IND 1,750
