SWNO,VOLTAGE,I_Month_01,I_Month_02,I_Month_03,I_Month_04,I_Month_05,I_Month_06,I_Month_07,I_Month_08,I_Month_09,I_Month_10,I_Month_11,I_Month_12,PEAK_Month_01,PEAK_Month_02,PEAK_Month_03,PEAK_Month_04,PEAK_Month_05,PEAK_Month_06,PEAK_Month_07,PEAK_Month_08,PEAK_Month_09,PEAK_Month_10,PEAK_Month_11,PEAK_Month_12,CYCLE_Month_01,CYCLE_Month_02,CYCLE_Month_03,CYCLE_Month_04,CYCLE_Month_05,CYCLE_Month_06,CYCLE_Month_07,CYCLE_Month_08,CYCLE_Month_09,CYCLE_Month_10,CYCLE_Month_11,CYCLE_Month_12,OVR_Month_01,OVR_Month_02,OVR_Month_03,OVR_Month_04,OVR_Month_05,OVR_Month_06,OVR_Month_07,OVR_Month_08,OVR_Month_09,OVR_Month_10,OVR_Month_11,OVR_Month_12
33031,33KV,133.374,152.451,144.374,180.129,187.285,179.009,171.266,164.158,156.612,168.871,148.592,138.029,290.997,278.396,290.997,286.433,294.047,293.886,254.482,256.757,247.390,238.530,264.460,234.528,3.000,2.000,3.000,3.000,1.000,1.000,3.000,3.000,1.000,3.000,1.000,1.000,32.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33032,33KV,121.854,137.695,148.975,172.180,181.907,171.792,156.222,150.494,142.576,141.594,125.483,105.747,239.406,222.056,247.640,249.253,393.461,265.647,265.647,240.729,252.330,254.030,269.560,236.660,6.000,3.000,1.000,1.000,1.000,1.000,3.000,2.000,3.000,2.000,4.000,4.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,10.000,34.000
33035,33KV,70.625,81.142,86.281,85.898,85.109,84.270,81.679,77.711,107.328,87.717,72.060,61.335,162.440,161.110,157.054,171.913,154.116,189.199,161.470,176.757,238.930,261.360,126.116,233.910,3.000,3.000,2.000,4.000,1.000,1.000,4.000,2.000,5.000,4.000,2.000,2.000,2.000,0.000,0.000,2.000,0.000,11.000,0.000,49.000,162.000,362.000,0.000,116.000
33036,33KV,116.501,124.088,136.777,158.668,160.521,148.094,139.344,138.855,137.437,142.729,130.104,118.879,210.734,240.257,224.980,553.325,237.222,553.325,215.297,214.234,283.523,223.930,202.830,215.390,3.000,2.000,3.000,4.000,1.000,0.000,1.000,2.000,2.000,1.000,2.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,4.000,0.000,0.000,0.000
33037,33KV,127.253,137.579,155.616,174.216,185.168,177.070,169.181,166.651,155.407,162.989,142.475,131.889,250.670,245.210,257.453,490.750,281.704,281.704,253.307,265.763,256.211,223.910,271.840,227.530,4.000,3.000,2.000,2.000,1.000,1.000,2.000,3.000,3.000,3.000,3.000,4.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33038,33KV,68.204,71.387,73.627,84.364,86.215,80.772,78.526,73.865,71.976,77.614,72.283,62.499,164.535,144.013,126.492,149.423,146.917,142.272,182.610,120.906,124.110,123.900,131.020,156.700,1.000,3.000,2.000,2.000,1.000,0.000,1.000,1.000,2.000,1.000,0.000,2.000,94.000,2.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,2.000
33039,33KV,68.284,71.846,74.082,85.276,86.951,81.415,78.660,73.928,71.963,77.671,71.054,58.892,147.870,144.306,126.670,150.504,147.828,142.319,126.982,120.321,124.660,123.790,131.780,122.630,2.000,3.000,2.000,2.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,96.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000
33040,33KV,110.009,113.932,124.935,140.675,147.888,150.110,136.468,129.380,122.141,131.826,121.676,106.749,281.086,203.740,263.704,254.410,251.610,263.401,233.359,216.600,228.810,251.002,263.704,233.847,5.000,4.000,6.000,4.000,3.000,2.000,2.000,1.000,2.000,3.000,2.000,4.000,40.000,0.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.000,32.000
33041,33KV,91.780,95.901,106.803,124.343,131.883,121.087,113.686,114.486,102.096,112.606,96.613,87.624,238.680,176.304,204.714,368.217,228.882,220.311,202.718,260.830,181.920,193.049,166.510,219.906,4.000,5.000,3.000,4.000,1.000,2.000,3.000,2.000,2.000,3.000,2.000,3.000,139.000,0.000,0.000,2.000,0.000,0.000,0.000,54.000,0.000,0.000,0.000,3.000
33043,33KV,98.774,99.910,110.033,126.802,137.230,130.220,122.992,118.584,118.570,124.808,112.410,99.364,421.150,200.714,212.003,220.296,233.927,232.228,230.084,227.221,250.590,184.000,181.000,206.000,2.000,1.000,0.000,1.000,1.000,1.000,1.000,3.000,2.000,3.000,1.000,3.000,67.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,57.000,0.000,0.000,12.000
33044,33KV,119.655,127.355,126.861,139.960,139.292,134.274,126.334,125.621,122.388,138.845,117.490,111.240,278.000,288.000,248.629,275.495,251.894,246.189,229.264,244.887,225.605,276.540,209.000,242.000,4.000,2.000,3.000,3.000,2.000,0.000,1.000,1.000,1.000,3.000,1.000,0.000,163.000,29.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000
33045,33KV,119.562,118.004,125.561,126.588,131.779,133.874,124.917,121.260,123.009,133.797,119.232,114.046,304.000,278.517,276.080,241.000,275.200,246.000,261.580,262.320,278.020,317.410,250.210,256.104,4.000,3.000,3.000,4.000,2.000,1.000,3.000,2.000,2.000,4.000,2.000,2.000,353.000,350.000,136.000,0.000,12.000,0.000,33.000,78.000,326.000,85.000,53.000,150.000
33047,22KV,74.687,79.050,73.365,81.614,84.078,86.087,81.683,81.728,74.515,81.023,77.613,72.056,147.800,191.487,195.670,296.630,162.310,165.231,187.867,185.478,187.885,184.855,183.938,179.317,4.000,6.000,6.000,5.000,3.000,2.000,2.000,2.000,4.000,7.000,3.000,4.000,0.000,174.000,6.000,1.000,0.000,0.000,44.000,29.000,82.000,27.000,60.000,76.000
33049,33KV,105.334,108.821,116.032,125.665,129.797,124.066,122.588,119.204,113.000,117.638,110.692,106.415,214.754,209.910,229.071,235.896,307.790,241.744,209.510,218.130,217.420,236.340,218.732,230.223,1.000,1.000,2.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,10.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,4.000,0.000,56.000
33050,33KV,101.710,111.857,121.895,136.402,138.223,132.003,124.163,123.019,122.293,135.084,122.384,111.706,213.513,262.403,227.880,234.091,1687.527,224.700,196.940,195.974,221.940,238.370,1687.527,203.290,3.000,2.000,4.000,4.000,1.000,2.000,1.000,1.000,0.000,2.000,1.000,1.000,14.000,80.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
33051,33KV,121.840,120.933,125.471,142.404,150.503,155.787,140.667,135.102,128.340,135.437,124.088,113.639,207.989,1705.757,489.312,218.071,213.513,253.012,212.270,221.390,190.035,183.544,188.930,195.145,1.000,3.000,3.000,3.000,2.000,1.000,2.000,2.000,1.000,3.000,0.000,0.000,0.000,6.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33052,33KV,97.994,104.189,111.248,135.749,144.037,129.159,128.677,122.068,117.154,126.642,112.111,102.790,195.760,182.080,255.000,212.668,336.583,195.186,186.538,185.019,196.310,175.160,231.271,185.130,2.000,2.000,2.000,1.000,1.000,0.000,1.000,1.000,2.000,1.000,1.000,0.000,0.000,0.000,6.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000
33053,22KV,69.074,72.576,78.130,93.045,99.463,96.914,86.746,83.852,82.408,88.976,78.277,68.062,118.498,140.130,125.970,186.032,171.445,183.829,115.290,118.450,115.890,120.000,122.770,125.080,3.000,2.000,2.000,1.000,1.000,1.000,2.000,2.000,2.000,3.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33054,22KV,80.636,87.942,94.603,116.456,113.439,107.268,102.911,99.373,91.779,98.263,90.320,85.552,216.892,184.760,184.000,213.720,213.862,184.749,145.657,156.911,150.661,162.950,174.760,179.600,2.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,0.000,2.000,2.000,1.000,8.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000
33055,33KV,123.975,134.921,157.120,165.767,172.485,162.135,150.935,147.483,147.298,153.643,133.037,119.845,209.508,212.546,245.000,219.590,228.705,219.452,211.580,207.436,220.140,228.705,249.970,236.850,1.000,1.000,2.000,1.000,1.000,1.000,3.000,3.000,2.000,4.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33056,33KV,126.572,132.091,135.288,157.471,160.715,158.397,147.297,144.491,129.801,135.475,127.992,121.001,224.528,216.720,248.130,258.430,262.656,271.888,243.840,197.920,195.920,203.900,222.350,201.900,2.000,4.000,1.000,4.000,0.000,0.000,1.000,2.000,2.000,2.000,2.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33059,33KV,101.381,100.596,92.714,116.067,132.478,148.817,132.868,124.808,92.590,114.523,103.181,95.208,221.981,234.541,229.547,237.574,238.972,242.913,240.366,239.126,216.912,203.100,195.924,200.395,3.000,1.000,2.000,2.000,1.000,2.000,3.000,3.000,1.000,3.000,0.000,0.000,16.000,42.000,38.000,3.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,7.000
33060,33KV,93.988,98.590,109.756,129.692,137.839,125.813,117.566,114.454,79.382,118.120,112.439,101.148,203.355,214.352,197.881,453.958,877.497,877.497,452.940,184.200,200.930,189.130,214.660,215.850,3.000,4.000,4.000,5.000,1.000,0.000,1.000,2.000,1.000,3.000,2.000,1.000,15.000,15.000,0.000,2.000,1.000,5.000,2.000,0.000,203.000,0.000,0.000,28.000
33061,22KV,33.961,35.723,37.556,26.604,32.534,43.547,33.778,34.762,34.566,38.582,35.158,31.017,166.300,87.750,88.410,92.401,94.739,93.835,85.210,89.340,79.450,87.130,160.250,86.130,7.000,7.000,7.000,1.000,5.000,4.000,2.000,2.000,4.000,7.000,4.000,4.000,151.000,73.000,160.000,504.000,697.000,74.000,53.000,79.000,142.000,163.000,106.000,114.000
33062,22KV,75.345,74.399,84.944,90.692,98.548,22.171,37.369,46.639,28.762,21.923,21.998,22.715,211.883,212.163,260.606,129.159,157.509,117.564,117.193,130.692,142.722,107.954,105.855,109.238,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,2.000,1.000,1.000,0.000,0.000,1504.000,694.000,243.000,760.000,748.000,662.000,667.000
33063,22KV,64.365,76.037,72.296,82.776,89.669,83.679,65.056,65.519,64.787,71.590,64.648,62.824,203.150,187.640,196.830,178.140,178.610,184.100,174.890,153.620,175.830,181.180,182.470,196.370,7.000,5.000,8.000,6.000,3.000,3.000,2.000,2.000,3.000,7.000,3.000,4.000,153.000,264.000,384.000,39.000,0.000,39.000,65.000,55.000,90.000,191.000,96.000,130.000
33064,22KV,57.135,63.443,63.255,95.916,66.944,82.477,57.898,68.225,71.136,64.785,59.500,56.819,209.577,289.140,192.740,238.295,156.866,196.096,147.490,199.208,189.960,199.982,185.870,183.000,7.000,7.000,5.000,6.000,4.000,3.000,3.000,2.000,3.000,7.000,4.000,5.000,198.000,369.000,681.000,461.000,105.000,157.000,68.000,77.000,129.000,127.000,129.000,149.000
33065,33KV,70.348,71.925,80.088,89.300,92.951,96.699,79.968,78.518,79.102,81.916,75.028,69.028,136.000,222.000,228.000,146.000,1602.000,180.000,160.000,130.000,178.000,136.000,244.000,138.000,5.000,6.000,8.000,6.000,4.000,4.000,2.000,3.000,5.000,6.000,4.000,4.000,0.000,44.000,156.000,0.000,2.000,0.000,2.000,0.000,52.000,0.000,16.000,0.000
33066,33KV,81.860,81.354,97.041,103.809,106.926,103.756,101.056,91.469,93.967,106.392,92.223,89.871,236.000,270.000,248.000,186.000,184.000,194.000,236.000,162.000,272.000,204.000,216.000,210.000,7.000,4.000,7.000,6.000,2.000,2.000,4.000,2.000,4.000,5.000,4.000,3.000,80.000,96.000,12.000,0.000,0.000,0.000,42.000,0.000,60.000,0.000,26.000,72.000
33067,33KV,96.665,98.304,109.585,115.026,121.786,108.342,106.917,102.349,99.708,110.259,99.669,93.201,288.000,280.000,282.000,288.000,260.000,254.000,190.000,196.000,198.000,202.000,194.000,258.000,5.000,5.000,8.000,7.000,5.000,3.000,4.000,2.000,6.000,5.000,5.000,6.000,366.000,231.000,294.000,72.000,42.000,68.000,0.000,0.000,0.000,0.000,0.000,90.000
33069,22KV,117.268,120.526,122.118,138.775,149.646,141.848,133.884,127.033,125.041,129.584,112.023,103.110,239.615,198.800,218.350,211.718,226.081,230.293,176.500,177.670,200.810,176.640,180.780,186.650,4.000,3.000,3.000,1.000,1.000,1.000,3.000,4.000,4.000,3.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33070,33KV,140.600,151.936,167.105,184.769,163.365,148.124,160.636,161.598,165.047,174.823,150.634,141.955,239.480,281.600,1694.570,1125.708,258.950,258.950,235.058,236.850,247.073,265.300,250.800,247.760,1.000,1.000,0.000,2.000,0.000,0.000,1.000,2.000,4.000,4.000,1.000,0.000,0.000,0.000,2.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33073,22KV,87.831,116.492,123.846,132.859,137.364,140.136,122.233,116.697,107.714,126.189,93.589,92.656,200.000,211.000,221.000,249.000,253.000,381.000,192.000,199.000,195.000,217.000,194.000,199.000,1.000,4.000,2.000,1.000,1.000,2.000,3.000,3.000,3.000,3.000,1.000,2.000,53.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,10.000,23.000
33074,33KV,30.328,36.893,40.649,42.065,42.609,43.696,42.437,41.002,39.483,39.299,40.031,35.281,100.400,642.198,116.300,84.859,642.198,80.340,65.490,73.450,82.970,113.250,82.420,87.990,2.000,2.000,3.000,3.000,3.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,315.000,274.000,21.000,2.000,12.000,0.000,0.000,0.000,22.000,39.000,5.000,83.000
33075,33KV,63.933,64.646,76.204,78.354,86.914,87.583,80.419,73.600,68.243,76.195,70.049,60.781,401.200,506.449,137.884,147.156,128.915,172.650,117.187,118.995,119.717,111.770,160.890,119.688,0.000,0.000,6.000,2.000,1.000,1.000,2.000,2.000,0.000,1.000,1.000,1.000,5.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.000,0.000
