FEEDER_ID,FROM_SWITCH,TO_SWITCH,SOURCE_SS,DESTINATION_SS,SOURCE_LOCATION,DESTINATION_LOCATION,RANK
15455,29005,DT,LINK CORNER MALL,LINK CORNER MALL,1S-MH-MU-ZST-CL02-0728,1S-MH-MU-ZST-CL02-0728,2
15455,36631,39108,N-SQUARE,SHRICHAND BAJAJ,1S-MH-MU-ZST-CL02-1158,1S-MH-MU-ZST-CL02-0490,3
15455,36633,DT,N-SQUARE,N-SQUARE,1S-MH-MU-ZST-CL02-1158,1S-MH-MU-ZST-CL02-1158,3
15455,39107,35015,SHRICHAND BAJAJ,RUBY LIGHT CHS,1S-MH-MU-ZST-CL02-0490,1S-MH-MU-ZST-CL02-0969,4
15455,35013,nan,RUBY LIGHT CHS,,1S-MH-MU-ZST-CL02-0969,nan,5
15455,35013,43066,RUBY LIGHT CHS,AMBEDKAR ROAD NO.1,1S-MH-MU-ZST-CL02-0969,1S-MH-MU-ZST-CL02-0031,5
15455,35015,nan,RUBY LIGHT CHS,,1S-MH-MU-ZST-CL02-0969,nan,5
15455,35014,DT,RUBY LIGHT CHS,RUBY LIGHT CHS,1S-MH-MU-ZST-CL02-0969,1S-MH-MU-ZST-CL02-0969,5
15455,43066,nan,AMBEDKAR ROAD NO.1,,1S-MH-MU-ZST-CL02-0031,nan,6
15455,43067,DT,AMBEDKAR ROAD NO.1,AMBEDKAR ROAD NO.1,1S-MH-MU-ZST-CL02-0031,1S-MH-MU-ZST-CL02-0031,6
15458,15458,CAP BANK,24TH ROAD REC-STN,24TH ROAD REC-STN,1S-MH-MU-ZST-RSTN-24TH,1S-MH-MU-ZST-RSTN-24TH,0
29198,29198,30178,ACROPOLIS REC-STN,RAHEJA APOLLO,1S-MH-MU-ZET-RSTN-ACRO,1S-MH-MU-ZET-CL11-9179,0
29198,30179,30487,RAHEJA APOLLO,RAHEJA AVELON,1S-MH-MU-ZET-CL11-9179,1S-MH-MU-ZET-CL11-9183,1
29198,30180,DT,RAHEJA APOLLO,RAHEJA APOLLO,1S-MH-MU-ZET-CL11-9179,1S-MH-MU-ZET-CL11-9179,1
29198,30490,DT,RAHEJA AVELON,RAHEJA AVELON,1S-MH-MU-ZET-CL11-9183,1S-MH-MU-ZET-CL11-9183,2
29198,11520,DT,RAHEJA AVELON,RAHEJA AVELON,1S-MH-MU-ZET-CL11-9183,1S-MH-MU-ZET-CL11-9183,2
29199,29199,30083,ACROPOLIS REC-STN,RAHEJA AGUSTIS,1S-MH-MU-ZET-RSTN-ACRO,1S-MH-MU-ZET-CL11-9180,0
29199,30084,30694,RAHEJA AGUSTIS,RAHEJA ARENA,1S-MH-MU-ZET-CL11-9180,1S-MH-MU-ZET-CL11-9198,1
29199,30085,DT,RAHEJA AGUSTIS,RAHEJA AGUSTIS,1S-MH-MU-ZET-CL11-9180,1S-MH-MU-ZET-CL11-9180,1
29199,30695,30488,RAHEJA ARENA,RAHEJA AVELON,1S-MH-MU-ZET-CL11-9198,1S-MH-MU-ZET-CL11-9183,2
29199,30697,DT,RAHEJA ARENA,RAHEJA ARENA,1S-MH-MU-ZET-CL11-9198,1S-MH-MU-ZET-CL11-9198,2
29201,29201,2609,ACROPOLIS REC-STN,MANKHURD VILLEGE,1S-MH-MU-ZET-RSTN-ACRO,1S-MH-MU-ZET-CL11-8539,0
29201,2610,12508,MANKHURD VILLEGE,TIFR,1S-MH-MU-ZET-CL11-8539,1S-MH-MU-ZET-CL11-8863,1
29201,2610,DT,MANKHURD VILLEGE,MANKHURD VILLEGE,1S-MH-MU-ZET-CL11-8539,1S-MH-MU-ZET-CL11-8539,1
29201,12510,DT,TIFR,TIFR,1S-MH-MU-ZET-CL11-8863,1S-MH-MU-ZET-CL11-8863,2
29201,12509,32786,TIFR,CHEETA CAMP 5,1S-MH-MU-ZET-CL11-8863,1S-MH-MU-ZET-CL11-8141,2
29201,36479,16376,CHEETA CAMP 5,CHEETA CAMP 4,1S-MH-MU-ZET-CL11-8141,1S-MH-MU-ZET-CL11-8140,3
29201,32785,11535,CHEETA CAMP 5,CHEETA CAMP 2,1S-MH-MU-ZET-CL11-8141,1S-MH-MU-ZET-CL11-8138,3
29201,19391,35759,CHEETA CAMP 5,NPCIL R&D CENTER,1S-MH-MU-ZET-CL11-8141,1S-MH-MU-ZET-CL11-9488,3
29201,11892,DT,CHEETA CAMP 5,CHEETA CAMP 5,1S-MH-MU-ZET-CL11-8141,1S-MH-MU-ZET-CL11-8141,3
29201,35758,HTConsumer,NPCIL R&D CENTER,,1S-MH-MU-ZET-CL11-9488,nan,4
29201,35757,30452,NPCIL R&D CENTER,TROMBAY VILLEGE,1S-MH-MU-ZET-CL11-9488,1S-MH-MU-ZET-CL11-8879,4
29201,11854,DT,TROMBAY VILLEGE,TROMBAY VILLEGE,1S-MH-MU-ZET-CL11-8879,1S-MH-MU-ZET-CL11-8879,5
29201,30451,11634,TROMBAY VILLEGE,TROMBAY 1,1S-MH-MU-ZET-CL11-8879,1S-MH-MU-ZET-CL11-8872,5
29201,7517,DT,TROMBAY 1,TROMBAY 1,1S-MH-MU-ZET-CL11-8872,1S-MH-MU-ZET-CL11-8872,6
29201,32723,13745,TROMBAY 1,TROMBAY 5,1S-MH-MU-ZET-CL11-8872,1S-MH-MU-ZET-CL11-8875,6
29201,13744,26807,TROMBAY 5,PAYALIPADA,1S-MH-MU-ZET-CL11-8875,1S-MH-MU-ZET-CL11-9056,7
29201,13746,DT,TROMBAY 5,TROMBAY 5,1S-MH-MU-ZET-CL11-8875,1S-MH-MU-ZET-CL11-8875,7
29201,26808,DT,PAYALIPADA,PAYALIPADA,1S-MH-MU-ZET-CL11-9056,1S-MH-MU-ZET-CL11-9056,8
29201,26809,11688,PAYALIPADA,TROMBAY HOSPITAL,1S-MH-MU-ZET-CL11-9056,1S-MH-MU-ZET-CL11-8871,8
29202,29202,5297,ACROPOLIS REC-STN,CHILDREN HOME,1S-MH-MU-ZET-RSTN-ACRO,1S-MH-MU-ZET-CL11-8177,0
29202,5298,31036,CHILDREN HOME,ASHA PICTURE,1S-MH-MU-ZET-CL11-8177,1S-MH-MU-ZET-CL11-8049,1
29202,5296,17595,CHILDREN HOME,ANUGIRI,1S-MH-MU-ZET-CL11-8177,1S-MH-MU-ZET-CL11-8036,1
29202,17631,7335,CHILDREN HOME,LALLUBHAI AMICHAND,1S-MH-MU-ZET-CL11-8177,1S-MH-MU-ZET-CL08-8499,1
29202,5299,DT,CHILDREN HOME,CHILDREN HOME,1S-MH-MU-ZET-CL11-8177,1S-MH-MU-ZET-CL11-8177,1
29202,17596,12373,ANUGIRI,BHARAT NGR 2,1S-MH-MU-ZET-CL11-8036,1S-MH-MU-ZET-CL12-8090,2
29202,17597,DT,ANUGIRI,ANUGIRI,1S-MH-MU-ZET-CL11-8036,1S-MH-MU-ZET-CL11-8036,2
29202,7336,10190,LALLUBHAI AMICHAND,DEONAR HSG.2,1S-MH-MU-ZET-CL08-8499,1S-MH-MU-ZET-CL08-8221,2
29202,7337,25661,LALLUBHAI AMICHAND,REHAB HSG 1,1S-MH-MU-ZET-CL08-8499,1S-MH-MU-ZET-CL08-9011,2
29202,7343,DT,LALLUBHAI AMICHAND,LALLUBHAI AMICHAND,1S-MH-MU-ZET-CL08-8499,1S-MH-MU-ZET-CL08-8499,2
29202,12372,12151,BHARAT NGR 2,MAHATMA PHULE NGR,1S-MH-MU-ZET-CL12-8090,1S-MH-MU-ZET-CL12-8524,3
29202,12373,DT,BHARAT NGR 2,BHARAT NGR 2,1S-MH-MU-ZET-CL12-8090,1S-MH-MU-ZET-CL12-8090,3
29202,10188,41048,DEONAR HSG.2,DEONAR MATERNITY,1S-MH-MU-ZET-CL08-8221,1S-MH-MU-ZET-CL08-9765,3
