FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,FROM_SWITCH,TO_SWITCH
41851,35130-35067,1S-MH-MU-ZST-CL02-0923,1S-MH-MU-ZST-CL02-0967,1,35130,35067
41851,35069-6248,1S-MH-MU-ZST-CL02-0967,1S-MH-MU-ZST-CL02-0127,1,35069,6248
41851,6245-30163,1S-MH-MU-ZST-CL02-0127,1S-MH-MU-ZST-CL02-0769,1,6245,30163
41851,30165-16360,1S-MH-MU-ZST-CL02-0769,1S-MH-MU-ZST-CL02-0285,1,30165,16360
41851,16358-10625,1S-MH-MU-ZST-CL02-0285,1S-MH-MU-ZST-CL01-0286,1,16358,10625
41851,39174-15166,1S-MH-MU-ZST-CL01-0286,1S-MH-MU-ZST-CL01-0390,1,39174,15166
41851,15164-17487,1S-MH-MU-ZST-CL01-0390,1S-MH-MU-ZST-CL02-0100,1,15164,17487
41851,15165-HTCONSUMER,1S-MH-MU-ZST-CL01-0390,NAN,1.1,15165,HTCONSUMER
41851,6246-13731,1S-MH-MU-ZST-CL02-0127,1S-MH-MU-ZST-CL02-0399,1.2,6246,13731
41853,41853-18899,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-CL02-0594,1,41853,18899
41853,18896-2890,1S-MH-MU-ZST-CL02-0594,1S-MH-MU-ZST-CL02-0057,1,18896,2890
41853,2888-37051,1S-MH-MU-ZST-CL02-0057,1S-MH-MU-ZST-CL02-1036,1,2888,37051
41853,37053-34974,1S-MH-MU-ZST-CL02-1036,1S-MH-MU-ZST-CL02-0961,1,37053,34974
41853,34975-9221,1S-MH-MU-ZST-CL02-0961,1S-MH-MU-ZST-CL02-0196,1,34975,9221
41853,9220-39549,1S-MH-MU-ZST-CL02-0196,1S-MH-MU-ZST-CL02-1315,1,9220,39549
41853,39548-28905,1S-MH-MU-ZST-CL02-1315,1S-MH-MU-ZST-CL02-0722,1,39548,28905
41853,28906-29235,1S-MH-MU-ZST-CL02-0722,1S-MH-MU-ZST-CL02-0738,1,28906,29235
41853,29236-32679,1S-MH-MU-ZST-CL02-0738,1S-MH-MU-ZST-CL02-0851,1,29236,32679
41853,9221-720,1S-MH-MU-ZST-CL02-0196,1S-MH-MU-ZST-CL02-0296,1.1,9221,720
41853,34975-43724,1S-MH-MU-ZST-CL02-0961,1S-MH-MU-ZST-CL02-1403,1.2,34975,43724
41854,41854-STN XMER,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-RSTN-BAND,1,41854,STN XMER
41855,41855-43306,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-CL01-1398,1,41855,43306
41855,41855-26051,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-CL02-0669,2,41855,26051
41855,26049-25199,1S-MH-MU-ZST-CL02-0669,1S-MH-MU-ZST-CL02-0643,2,26049,25199
41855,25201-25068,1S-MH-MU-ZST-CL02-0643,1S-MH-MU-ZST-CL02-0631,2,25201,25068
41855,25066-29572,1S-MH-MU-ZST-CL02-0631,1S-MH-MU-ZST-CL02-0747,2,25066,29572
41855,29571-35435,1S-MH-MU-ZST-CL02-0747,1S-MH-MU-ZST-CL02-0976,2,29571,35435
41855,35437-40694,1S-MH-MU-ZST-CL02-0976,1S-MH-MU-ZST-CL02-1265,2,35437,40694
41856,41856-37115,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-CL02-1042,1,41856,37115
41856,37114-14299,1S-MH-MU-ZST-CL02-1042,1S-MH-MU-ZST-CL02-0162,1,37114,14299
41856,14297-34447,1S-MH-MU-ZST-CL02-0162,1S-MH-MU-ZST-CL02-0880,1,14297,34447
41856,34446-29878,1S-MH-MU-ZST-CL02-0880,1S-MH-MU-ZST-CL02-0761,1,34446,29878
41856,29880-36763,1S-MH-MU-ZST-CL02-0761,1S-MH-MU-ZST-CL02-1133,1,29880,36763
41856,36764-32495,1S-MH-MU-ZST-CL02-1133,1S-MH-MU-ZST-CL02-0844,1,36764,32495
41856,32497-16116,1S-MH-MU-ZST-CL02-0844,1S-MH-MU-ZST-CL02-0014,1,32497,16116
41856,16118-34888,1S-MH-MU-ZST-CL02-0014,1S-MH-MU-ZST-CL02-0917,1,16118,34888
41856,34886-32832,1S-MH-MU-ZST-CL02-0917,1S-MH-MU-ZST-CL02-0862,1,34886,32832
41856,32830-14104,1S-MH-MU-ZST-CL02-0862,1S-MH-MU-ZST-CL03-0503,1,32830,14104
41856,41708-34956,1S-MH-MU-ZST-CL03-0503,1S-MH-MU-ZST-CL03-0960,1,41708,34956
41856,39465-37060,1S-MH-MU-ZST-CL02-0014,1S-MH-MU-ZST-CL03-1177,1.1,39465,37060
41856,34448-HTCONSUMER,1S-MH-MU-ZST-CL02-0880,NAN,1.2,34448,HTCONSUMER
41896,41896-35980,1S-MH-MU-ZST-RSTN-BAND,1S-MH-MU-ZST-CL02-1096,1,41896,35980
41896,35982-25984,1S-MH-MU-ZST-CL02-1096,1S-MH-MU-ZST-CL02-0372,1,35982,25984
41896,25986-36011,1S-MH-MU-ZST-CL02-0372,1S-MH-MU-ZST-CL02-1076,1,25986,36011
41896,36013-19808,1S-MH-MU-ZST-CL02-1076,1S-MH-MU-ZST-CL02-0619,1,36013,19808
