FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD,DT_LOAD_CAL
30036,16344-14760,1S-MH-MU-ZCT-CL03-4447,1S-MH-MU-ZCT-CL03-4448,1S-MH-MU-ZCT-CL03-4448,10,2025-04-04,227.56237623762377,12.572554945284498
11910,11910-13610,1S-MH-MU-ZCT-RSTN-POIS,1S-MH-MU-ZCT-CL10-4258,1S-MH-MU-ZCT-CL10-4258,0,2025-04-04,482.54615384615386,26.660110221961297
11910,13612-25617,1S-MH-MU-ZCT-CL10-4258,1S-MH-MU-ZCT-CL10-4257,1S-MH-MU-ZCT-CL10-4257,1,2025-04-04,357.5009708737864,19.751510217180208
11910,13611-9079,1S-MH-MU-ZCT-CL10-4258,1S-MH-MU-ZCT-CL10-4572,1S-MH-MU-ZCT-CL10-4572,1,2025-04-04,327.4184466019417,18.089485960122506
11910,25619-25643,1S-MH-MU-ZCT-CL10-4257,1S-MH-MU-ZCT-CL09-4938,1S-MH-MU-ZCT-CL09-4938,2,2025-04-04,234.09368700265253,12.933402220724732
11910,9077-12425,1S-MH-MU-ZCT-CL10-4572,1S-MH-MU-ZCT-CL10-4591,1S-MH-MU-ZCT-CL10-4591,2,2025-04-04,14.880000000000004,0.8221025842623574
11910,32699-17172,1S-MH-MU-ZCT-CL10-4572,1S-MH-MU-ZCT-CL10-4434,1S-MH-MU-ZCT-CL10-4434,2,2025-04-04,208.6980582524272,11.530323455635507
11910,25641-26260,1S-MH-MU-ZCT-CL09-4938,1S-MH-MU-ZCT-CL10-4959,1S-MH-MU-ZCT-CL10-4959,3,2025-04-04,407.2946341463414,22.502551833864153
11910,12423-7081,1S-MH-MU-ZCT-CL10-4591,1S-MH-MU-ZCT-CL10-4589,1S-MH-MU-ZCT-CL10-4589,3,2025-04-04,313.22843137254904,17.30550422686942
11910,17171-13014,1S-MH-MU-ZCT-CL10-4434,1S-MH-MU-ZCT-CL10-4254,1S-MH-MU-ZCT-CL10-4254,3,2025-04-04,221.59903846153844,12.243087512720715
11910,13013-16339,1S-MH-MU-ZCT-CL10-4254,1S-MH-MU-ZCT-CL10-4255,1S-MH-MU-ZCT-CL10-4255,4,2025-04-04,237.03636363636363,13.095981660591827
11912,11912-18690,1S-MH-MU-ZCT-RSTN-POIS,1S-MH-MU-ZCT-CL10-4785,1S-MH-MU-ZCT-CL10-4785,0,2025-04-04,589.248309178744,32.555279418553084
11912,18688-28361,1S-MH-MU-ZCT-CL10-4785,1S-MH-MU-ZCT-CL10-5011,1S-MH-MU-ZCT-CL10-5011,1,2025-04-04,162.95810426540285,9.00324453246521
11912,18689-19829,1S-MH-MU-ZCT-CL10-4785,1S-MH-MU-ZCT-CL10-4897,1S-MH-MU-ZCT-CL10-4897,1,2025-04-04,317.5479518072289,17.544152675264876
14414,14414-12378,1S-MH-MU-ZCT-RSTN-POIS,1S-MH-MU-ZCT-CL10-4320,1S-MH-MU-ZCT-CL10-4320,0,,,
14415,14415-42580,1S-MH-MU-ZCT-RSTN-POIS,1S-MH-MU-ZCT-CL10-5758,1S-MH-MU-ZCT-CL10-5758,0,2025-04-04,177.6,9.812192134744263
14415,42579-16201,1S-MH-MU-ZCT-CL10-5758,1S-MH-MU-ZCT-CL10-4517,1S-MH-MU-ZCT-CL10-4517,1,2025-04-04,397.00096618357486,21.933838726758708
14415,16203-28813,1S-MH-MU-ZCT-CL10-4517,1S-MH-MU-ZCT-CL10-5031,1S-MH-MU-ZCT-CL10-5031,2,2025-04-04,186.831884057971,10.322242923834882
14415,28812-9380,1S-MH-MU-ZCT-CL10-5031,1S-MH-MU-ZCT-CL10-4043,1S-MH-MU-ZCT-CL10-4043,3,2023-12-11,643.3924324324324,35.54667885736201
14415,28814-10548,1S-MH-MU-ZCT-CL10-5031,1S-MH-MU-ZCT-CL10-4330,1S-MH-MU-ZCT-CL10-4330,3,2025-04-04,374.75288461538463,20.70465825954843
14415,9378-42076,1S-MH-MU-ZCT-CL10-4043,1S-MH-MU-ZCT-CL10-4659,1S-MH-MU-ZCT-CL10-4659,4,2025-04-04,568.3798994974875,31.402324208310706
14415,12308-39722,1S-MH-MU-ZCT-CL10-4659,1S-MH-MU-ZCT-CL10-5674,1S-MH-MU-ZCT-CL10-5674,5,2025-04-04,145.5912408759124,8.043745656589444
14417,14417-32047,1S-MH-MU-ZCT-RSTN-POIS,1S-MH-MU-ZCT-CL10-4170,1S-MH-MU-ZCT-CL10-4170,0,2025-04-04,577.2217821782178,31.890827877771258
14417,11068-28360,1S-MH-MU-ZCT-CL10-4170,1S-MH-MU-ZCT-CL10-5011,1S-MH-MU-ZCT-CL10-5011,1,2025-04-04,162.95810426540285,9.00324453246521
14417,11067-12936,1S-MH-MU-ZCT-CL10-4170,1S-MH-MU-ZCT-CL10-4169,1S-MH-MU-ZCT-CL10-4169,1,2025-04-04,170.51793814432992,9.420916506152043
