SWNO,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11,Month_12
14326,219.048,247.257,269.699,315.858,337.677,329.198,352.310,352.310,301.603,312.649,273.630,242.484
14327,120.977,125.566,137.022,162.170,174.919,160.942,134.706,134.706,,,,
14328,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000
14329,47.449,62.973,74.566,83.456,90.420,91.725,101.029,101.029,80.732,89.363,71.646,57.871
14330,2.430,2.453,2.807,2.865,2.558,2.212,2.526,2.526,,,,
14331,35.249,29.151,21.892,46.603,53.517,49.314,53.350,53.350,42.078,44.692,35.750,33.148
14414,0.075,0.000,0.000,0.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14415,71.734,75.595,88.211,93.046,102.451,103.369,119.874,119.874,94.959,103.361,86.602,73.284
14416,142.531,293.100,336.530,378.503,413.459,403.508,425.185,425.185,361.983,122.936,0.000,0.000
14417,19.904,20.834,24.709,25.460,26.581,26.376,21.948,21.948,23.352,23.540,19.500,18.846
14418,59.747,64.832,68.118,80.860,87.461,83.295,53.538,53.538,75.534,78.359,66.649,62.844
14419,87.338,93.216,108.748,124.329,136.661,134.850,156.202,156.202,113.108,128.734,109.301,94.353
14420,50.073,51.831,60.840,63.565,68.234,67.491,77.854,77.854,65.620,73.271,61.624,53.735
14423,0.000,2.559,2.766,0.568,0.000,7.419,0.000,0.000,0.000,0.000,0.000,0.000
14424,63.759,67.819,77.235,107.472,100.450,70.788,73.037,73.037,63.653,71.161,59.787,51.965
14425,323.797,202.615,220.896,283.127,292.932,305.270,272.703,272.703,223.572,522.944,506.008,435.766
14426,13.629,25.187,19.904,33.160,39.189,36.089,34.472,34.472,30.239,11.413,0.000,0.000
14427,0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14428,29.922,30.235,34.154,36.450,39.470,40.429,48.235,48.235,38.097,39.931,35.549,29.707
14429,72.308,77.477,89.978,105.882,119.254,159.519,115.738,115.738,97.085,132.384,84.179,68.988
14626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14627,58.103,71.987,81.438,84.956,85.309,80.466,89.517,89.517,89.080,96.525,81.318,72.895
14628,70.886,74.018,67.916,71.003,74.594,59.570,79.274,79.274,66.296,75.778,63.357,56.626
14629,79.423,88.702,89.904,111.149,46.793,48.427,47.764,47.764,47.982,51.867,44.012,38.504
1502,111.789,116.299,137.036,145.274,169.154,160.815,162.009,162.009,120.524,134.852,119.592,108.007
1503,93.658,107.818,112.254,127.827,138.101,128.866,133.202,133.202,114.302,124.828,109.448,93.420
1504,111.535,122.864,153.379,149.540,118.176,121.760,165.550,165.550,117.281,129.512,111.377,85.628
1505,402.955,436.346,505.118,545.155,552.375,515.969,565.946,565.946,442.623,496.091,434.483,361.476
1506,94.945,96.626,110.956,129.658,131.105,111.579,104.471,104.471,99.890,118.035,103.844,85.547
1508,30.467,38.155,28.202,49.967,46.691,42.270,27.640,27.640,40.638,29.226,21.980,21.980
1509,53.527,56.098,56.174,57.143,56.377,56.443,52.213,52.213,61.156,61.103,51.618,54.495
1510,94.408,98.766,115.151,132.470,130.256,136.304,133.506,133.506,113.365,125.223,109.725,101.784
1512,54.578,54.586,63.294,66.445,72.473,70.684,76.315,76.315,63.563,73.763,64.969,57.044
1513,235.357,251.317,269.396,305.833,304.888,306.508,287.595,287.595,272.477,295.578,255.261,239.956
1515,73.493,70.727,86.642,84.810,91.347,92.838,91.714,91.714,85.671,94.237,85.869,69.149
15158,1.532,1.644,1.629,2.013,2.348,2.123,1.430,1.430,,,,
1516,3.072,3.130,3.142,3.570,3.575,3.413,2.883,2.883,,,,
1517,80.024,83.963,91.779,108.398,113.363,108.714,123.211,123.211,97.700,108.261,94.098,81.493
1518,167.496,174.041,200.278,215.974,227.300,225.623,238.450,238.450,200.585,221.955,199.227,166.817
1519,16.604,17.678,20.243,18.989,19.809,19.343,20.501,20.501,19.587,21.471,19.753,19.595
1521,32.304,33.480,37.840,43.163,48.975,46.158,44.622,44.622,41.070,45.516,40.146,33.958
1522,93.615,98.835,89.933,110.415,113.428,119.366,132.824,132.824,117.663,128.580,109.233,102.178
1523,56.835,51.492,59.339,80.347,80.096,78.413,81.316,81.316,72.170,78.213,67.603,58.449
1524,300.418,283.670,287.922,351.370,377.425,371.962,408.142,408.142,347.289,381.952,323.820,278.706
1525,119.717,105.480,103.512,111.120,131.442,123.285,127.971,127.971,123.132,136.316,113.257,90.642
1528,7.070,38.614,42.103,93.375,108.308,120.123,122.056,122.056,110.730,116.751,163.592,69.693
1529,66.593,71.186,72.299,73.595,76.706,77.318,70.592,70.592,78.825,85.042,74.595,70.268
1530,194.698,238.613,323.823,410.368,446.310,429.520,348.792,348.792,216.734,241.276,201.428,180.891
1531,47.456,48.605,98.209,103.483,113.945,121.900,10.027,10.027,17.578,17.450,18.987,26.681
1532,109.291,113.373,146.659,147.629,151.888,156.869,154.578,154.578,157.469,175.519,148.080,129.107
1534,0.010,0.010,0.124,0.000,0.000,0.413,0.000,0.000,0.000,0.000,0.025,0.047
1535,75.261,74.499,97.073,98.829,130.968,107.940,101.496,101.496,92.892,97.834,83.634,67.749
1536,215.833,206.326,266.790,281.007,336.124,317.781,301.687,301.687,263.128,286.090,245.876,204.596
15360,203.045,207.516,235.217,263.067,336.740,330.625,334.997,334.997,258.945,322.951,260.486,238.242
15361,81.890,85.921,97.833,132.614,118.356,112.671,128.651,128.651,101.817,112.081,98.049,88.520
15362,21.162,21.685,28.493,4.758,69.063,62.383,68.605,68.605,49.394,55.168,48.074,41.315
1537,120.699,115.122,147.223,157.565,181.866,186.111,174.133,174.133,148.021,161.202,135.411,114.441
1538,19.575,20.185,23.457,21.792,26.884,25.850,24.212,24.212,25.009,29.671,27.373,25.045
15451,96.398,104.782,106.727,117.380,106.824,107.747,101.259,101.259,101.094,115.842,101.890,88.341
15452,72.749,77.310,89.855,94.081,99.493,101.655,105.631,105.631,81.835,92.249,102.912,92.726
15453,298.682,310.482,351.429,380.997,381.398,395.712,407.169,407.169,341.659,396.658,364.861,319.081
15454,63.543,74.539,79.655,82.226,76.004,81.656,89.712,89.712,79.898,90.713,77.896,68.205
15455,70.275,62.777,81.600,93.054,101.900,103.755,107.879,107.879,86.290,96.513,88.510,77.034
15456,0.000,0.140,0.000,13.132,20.191,34.693,0.000,0.000,0.000,6.629,0.000,0.000
15457,21.895,28.145,2.247,1.347,96.926,1.347,1.357,1.357,3.677,1.363,1.364,1.370
15504,81.496,80.463,94.120,115.338,120.320,118.387,121.897,121.897,103.798,119.509,102.666,83.376
15505,0.015,0.016,0.825,0.002,15.385,63.820,67.418,67.418,0.010,0.010,3.267,6.132
15506,10.315,11.212,11.283,13.962,13.968,13.255,9.110,9.110,12.697,12.477,9.104,8.364
15507,66.917,65.906,58.179,65.400,64.470,64.325,41.494,41.494,70.271,68.239,49.902,53.745
15508,286.210,292.677,264.901,332.703,394.882,479.411,468.860,468.860,240.419,351.953,298.582,273.233
15509,62.754,68.775,67.720,69.070,101.220,147.203,150.667,150.667,86.157,93.792,74.255,66.038
15510,61.568,66.136,64.916,75.734,87.567,71.300,69.448,69.448,64.035,56.539,58.498,60.949
15780,114.634,118.603,127.717,161.675,172.425,152.949,118.288,118.288,97.303,84.846,65.002,79.555
15781,76.359,82.588,79.861,85.926,95.881,88.719,60.281,60.281,60.316,48.388,37.169,52.114
15782,356.328,371.365,467.216,495.591,536.527,525.215,463.788,463.788,364.781,435.602,535.741,468.798
15783,59.154,57.171,77.471,80.973,90.191,94.743,87.832,87.832,78.224,82.490,66.861,68.785
15784,50.915,47.640,105.634,105.898,112.293,111.853,101.529,101.529,95.418,99.153,78.342,86.659
15785,76.013,78.890,88.540,90.923,103.371,101.620,94.633,94.633,79.718,49.334,39.379,59.725
