FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,FROM_SWITCH,TO_SWITCH,LATEST_DT_DATE,DT_LOAD,LOCATION
1309,29971-HTCONSUMER,1S-MH-MU-ZNT-CL01-7052,NAN,1.2,29971,HTCONSUMER,2018-04-09,309.7547780678851,NAN
1313,1313-CAP BANK,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-RSTN-BORI,1,1313,CAP BANK,,,1S-MH-MU-ZNT-RSTN-BORI
1314,1314-CAP BANK,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-RSTN-BORI,1,1314,CAP BANK,,,1S-MH-MU-ZNT-RSTN-BORI
1316,17453-HTCONSUMER,1S-MH-MU-ZNT-CL01-6477,NAN,1.1.1,17453,HTCONSUMER,2018-04-09,309.7547780678851,NAN
1317,1317-STN XMER,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-RSTN-BORI,1,1317,STN XMER,,,1S-MH-MU-ZNT-RSTN-BORI
1326,32253-HTCONSUMER,1S-MH-MU-ZNT-CL01-7347,NAN,3.1,32253,HTCONSUMER,2018-04-09,309.7547780678851,NAN
1330,1330-CAP BANK,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-RSTN-BORI,1,1330,CAP BANK,,,1S-MH-MU-ZNT-RSTN-BORI
1338,1338-STN XMER,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-RSTN-BORI,1,1338,STN XMER,,,1S-MH-MU-ZNT-RSTN-BORI
1339,1339-CAP BANK,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-RSTN-BORI,1,1339,CAP BANK,,,1S-MH-MU-ZNT-RSTN-BORI
28223,9727-HTCONSUMER,1S-MH-MU-ZCT-CL07-4657,NAN,1.2,9727,HTCONSUMER,2018-04-09,309.7547780678851,NAN
28227,28769-HTCONSUMER,1S-MH-MU-ZCT-CL08-5039,NAN,2.2,28769,HTCONSUMER,2018-04-09,309.7547780678851,NAN
28229,26511-HTCONSUMER,1S-MH-MU-ZCT-CL07-4972,NAN,2.1,26511,HTCONSUMER,2018-04-09,309.7547780678851,NAN
28230,28230-CAP BANK,1S-MH-MU-ZCT-RSTN-CAMA,1S-MH-MU-ZCT-RSTN-CAMA,1,28230,CAP BANK,2025-01-03,445.6666666666667,1S-MH-MU-ZCT-RSTN-CAMA
11919,34226-HTCONSUMER,1S-MH-MU-ZSC-CL04-2698,NAN,4.2,34226,HTCONSUMER,2018-04-09,309.7547780678851,NAN
11921,11921-CAP BANK,1S-MH-MU-ZSC-RSTN-CHAK,1S-MH-MU-ZSC-RSTN-CHAK,1,11921,CAP BANK,2025-02-07,255.7426086956522,1S-MH-MU-ZSC-RSTN-CHAK
29652,29652-CAP BANK,1S-MH-MU-ZSC-RSTN-CHAK,1S-MH-MU-ZSC-RSTN-CHAK,1,29652,CAP BANK,2025-02-07,255.7426086956522,1S-MH-MU-ZSC-RSTN-CHAK
29654,29654-STN XMER,1S-MH-MU-ZSC-RSTN-CHAK,1S-MH-MU-ZSC-RSTN-CHAK,1,29654,STN XMER,2025-02-07,255.7426086956522,1S-MH-MU-ZSC-RSTN-CHAK
29655,36971-HTCONSUMER,1S-MH-MU-ZSC-CL02-3436,NAN,1.1,36971,HTCONSUMER,2018-04-09,309.7547780678851,NAN
25358,2308-NAN,1S-MH-MU-ZCT-CL02-4528,NAN,1.1,2308,NAN,2018-04-09,309.7547780678851,NAN
18823,18823-STN XMER,1S-MH-MU-ZET-RSTN-CHHE,1S-MH-MU-ZET-RSTN-CHHE,1,18823,STN XMER,2025-02-07,627.5653266331658,1S-MH-MU-ZET-RSTN-CHHE
18831,18831-CAP BANK,1S-MH-MU-ZET-RSTN-CHHE,1S-MH-MU-ZET-RSTN-CHHE,1,18831,CAP BANK,2025-02-07,627.5653266331658,1S-MH-MU-ZET-RSTN-CHHE
18838,42988-DT,1S-MH-MU-ZET-CL06-9403,NAN,2.2,42988,DT,2018-04-09,309.7547780678851,NAN
30996,39042-HTCONSUMER,1S-MH-MU-ZET-CL13-9539,NAN,2.1,39042,HTCONSUMER,2018-04-09,309.7547780678851,NAN
31000,42177-DT,1S-MH-MU-ZET-CL13-9785,NAN,5.1,42177,DT,2018-04-09,309.7547780678851,NAN
31002,31002-STN XMER,1S-MH-MU-ZET-RSTN-CHAN,1S-MH-MU-ZET-RSTN-CHAN,1,31002,STN XMER,2025-02-07,95.40588235294118,1S-MH-MU-ZET-RSTN-CHAN
31003,31003-CAP BANK,1S-MH-MU-ZET-RSTN-CHAN,1S-MH-MU-ZET-RSTN-CHAN,1,31003,CAP BANK,2025-02-07,95.40588235294118,1S-MH-MU-ZET-RSTN-CHAN
31010,10745-HTCONSUMER,1S-MH-MU-ZET-CL14-8128,NAN,5,10745,HTCONSUMER,2018-04-09,309.7547780678851,NAN
31010,5393-HTCONSUMER,1S-MH-MU-ZET-CL14-8128,NAN,4.1,5393,HTCONSUMER,2018-04-09,309.7547780678851,NAN
31012,31012-CAP BANK,1S-MH-MU-ZET-RSTN-CHAN,1S-MH-MU-ZET-RSTN-CHAN,1,31012,CAP BANK,2025-02-07,95.40588235294118,1S-MH-MU-ZET-RSTN-CHAN
19579,16240-HTCONSUMER,1S-MH-MU-ZET-CL10-8249,NAN,4.1,16240,HTCONSUMER,2018-04-09,309.7547780678851,NAN
19579,16240-HTCONSUMER,1S-MH-MU-ZET-CL10-8249,NAN,4.2,16240,HTCONSUMER,2018-04-09,309.7547780678851,NAN
19578,2740-HTCONSUMER,1S-MH-MU-ZET-CL11-8856,NAN,3.1,2740,HTCONSUMER,2018-04-09,309.7547780678851,NAN
