SWNO,VOLTAGE,VAR_Month_01,VAR_Month_02,VAR_Month_03,VAR_Month_04,VAR_Month_05,VAR_Month_06,VAR_Month_07,VAR_Month_08,VAR_Month_09,VAR_Month_10,VAR_Month_11,VAR_Month_12,CYCLE_Month_01,CYCLE_Month_02,CYCLE_Month_03,CYCLE_Month_04,CYCLE_Month_05,CYCLE_Month_06,CYCLE_Month_07,CYCLE_Month_08,CYCLE_Month_09,CYCLE_Month_10,CYCLE_Month_11,CYCLE_Month_12
33054,22KV,58.062,54.827,54.331,94.554,73.834,54.584,0.000,0.000,46.060,48.948,45.802,59.075,3.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33055,33KV,47.167,50.251,47.348,45.204,48.236,45.741,0.000,0.000,46.138,45.616,51.152,48.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33056,33KV,49.653,49.120,59.892,68.568,79.841,52.649,0.000,0.000,51.195,60.386,58.447,56.753,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000
33059,33KV,75.484,72.661,59.467,59.168,67.412,77.051,0.000,0.000,63.842,57.978,51.796,68.237,1.000,2.000,7.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000
33060,33KV,71.868,60.630,59.803,72.687,68.211,102.133,0.000,0.000,30.000,78.093,79.011,76.021,5.000,0.000,0.000,2.000,0.000,3.000,0.000,0.000,4.000,1.000,1.000,0.000
33061,22KV,39.294,42.152,45.266,27.858,22.407,45.907,0.000,0.000,44.330,49.576,44.614,38.528,11.000,8.000,12.000,28.000,12.000,8.000,0.000,0.000,2.000,7.000,7.000,5.000
33062,22KV,22.080,22.509,23.687,31.858,46.702,5.025,0.000,0.000,0.952,0.830,0.732,1.665,30.000,28.000,62.000,2.000,1.000,4.000,0.000,0.000,1.000,0.000,0.000,2.000
33063,22KV,77.113,94.326,97.788,99.768,110.007,91.084,0.000,0.000,97.473,95.679,76.419,79.448,12.000,7.000,14.000,5.000,4.000,8.000,0.000,0.000,1.000,6.000,6.000,4.000
33064,22KV,54.536,72.230,72.682,108.925,63.742,76.660,0.000,0.000,75.583,65.757,61.760,50.672,8.000,13.000,12.000,5.000,5.000,9.000,0.000,0.000,3.000,7.000,10.000,4.000
33065,33KV,53.279,46.714,53.677,51.733,102.067,49.133,0.000,0.000,59.167,52.933,45.172,46.387,7.000,5.000,7.000,1.000,2.000,4.000,0.000,0.000,1.000,3.000,0.000,3.000
33066,33KV,59.410,64.250,65.258,73.778,72.667,62.400,0.000,0.000,91.500,77.667,60.483,64.839,3.000,8.000,6.000,5.000,0.000,4.000,0.000,0.000,1.000,4.000,0.000,3.000
33067,33KV,84.787,88.250,100.871,97.733,101.933,86.600,0.000,0.000,87.833,96.467,77.172,82.710,16.000,12.000,13.000,8.000,7.000,9.000,0.000,0.000,2.000,5.000,3.000,7.000
33069,22KV,45.466,39.947,52.225,68.256,84.510,66.121,0.000,0.000,46.333,46.014,37.637,37.326,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
33070,33KV,77.711,75.780,100.575,101.756,75.899,57.646,0.000,0.000,77.214,78.914,64.515,77.056,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33073,22KV,71.262,78.857,84.081,97.839,94.700,102.300,0.000,0.000,76.833,92.333,73.483,67.097,3.000,5.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000
33074,33KV,18.467,20.894,20.430,28.582,67.109,22.572,0.000,0.000,,,23.210,23.711,30.000,40.000,54.000,11.000,5.000,0.000,0.000,0.000,,,0.000,1.000
33075,33KV,44.581,48.287,40.733,39.766,37.968,34.228,0.000,0.000,31.230,36.353,42.163,38.439,2.000,3.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
33080,33KV,113.905,132.305,122.197,129.155,134.281,120.352,0.000,0.000,125.448,127.420,110.764,113.275,3.000,2.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
33081,33KV,21.453,21.457,30.110,26.207,49.649,23.346,0.000,0.000,22.266,28.802,18.589,8.985,20.000,4.000,7.000,9.000,3.000,0.000,0.000,0.000,0.000,1.000,2.000,7.000
33082,33KV,61.039,63.507,56.780,81.143,76.315,54.594,0.000,0.000,71.897,56.955,53.443,57.623,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33084,33KV,81.329,83.936,84.434,92.205,99.905,80.209,0.000,0.000,77.572,88.401,77.594,86.906,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000
33085,22KV,58.048,61.940,63.350,63.623,70.226,64.320,0.000,0.000,51.537,54.300,44.996,39.920,9.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
33086,33KV,111.902,128.464,134.000,155.511,155.400,133.467,0.000,0.000,157.833,168.867,132.345,122.258,11.000,8.000,12.000,7.000,6.000,8.000,0.000,0.000,2.000,4.000,7.000,7.000
33087,33KV,79.598,82.267,70.644,79.475,93.515,72.006,0.000,0.000,81.851,78.237,65.271,73.679,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33088,33KV,57.342,57.637,70.081,96.580,114.058,90.706,0.000,0.000,77.752,85.591,58.755,60.212,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
33090,33KV,113.627,108.127,99.422,107.666,101.206,100.412,0.000,0.000,107.954,108.406,107.015,97.057,2.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33093,33KV,49.377,45.857,59.081,54.084,56.735,43.212,0.000,0.000,52.925,43.117,42.798,47.208,5.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.000
33094,22KV,36.522,43.568,72.980,81.631,89.306,62.520,0.000,0.000,54.074,59.695,47.616,46.449,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000
33095,33KV,93.098,105.728,112.899,119.030,128.072,113.769,0.000,0.000,104.369,112.010,100.994,95.020,8.000,8.000,11.000,7.000,6.000,7.000,0.000,0.000,2.000,5.000,7.000,5.000
33096,22KV,88.347,97.519,99.461,98.942,97.589,99.567,0.000,0.000,,,,,5.000,4.000,7.000,4.000,5.000,6.000,0.000,0.000,,,,
33096,33KV,91.215,97.007,102.398,101.704,,,,,98.059,96.061,85.708,95.092,4.000,4.000,7.000,3.000,,,,,2.000,5.000,6.000,7.000
33097,33KV,77.929,78.279,75.300,91.424,89.935,74.754,0.000,0.000,86.157,88.307,73.269,75.709,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33098,33KV,73.404,76.362,74.205,86.916,82.361,68.251,0.000,0.000,77.482,79.716,64.735,85.565,0.000,3.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
33099,33KV,60.836,65.905,66.389,80.332,75.840,62.852,0.000,0.000,70.794,73.793,60.603,60.998,0.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33100,22KV,57.763,56.616,54.532,62.360,73.217,75.737,0.000,0.000,53.696,57.344,50.864,61.694,0.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33101,33KV,35.986,35.165,41.511,40.787,62.574,95.389,0.000,0.000,45.232,47.634,36.918,42.739,0.000,0.000,3.000,0.000,3.000,12.000,0.000,0.000,0.000,1.000,0.000,1.000
33102,33KV,75.666,78.432,71.315,80.936,91.650,99.155,0.000,0.000,76.620,74.205,67.834,80.266,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33104,33KV,76.611,82.607,79.757,78.818,89.484,72.852,0.000,0.000,68.119,80.042,67.577,65.803,0.000,3.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33105,33KV,88.316,93.479,84.506,90.474,98.311,82.089,0.000,0.000,69.692,72.744,64.490,75.614,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33106,33KV,83.391,81.264,75.859,72.559,71.657,74.579,0.000,0.000,91.805,86.086,76.503,90.724,1.000,2.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
33107,33KV,76.465,83.099,76.357,75.789,75.198,76.880,0.000,0.000,73.368,85.398,74.487,78.187,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33109,33KV,35.417,44.699,43.829,59.094,72.211,59.911,0.000,0.000,34.802,42.486,39.318,38.657,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33111,22KV,32.410,26.527,30.404,45.516,48.467,41.067,0.000,0.000,29.500,33.533,25.966,24.774,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33112,33KV,64.968,78.993,67.677,97.966,91.312,69.986,0.000,0.000,76.448,82.725,71.553,75.208,12.000,4.000,4.000,2.000,1.000,2.000,0.000,0.000,1.000,2.000,1.000,2.000
33115,33KV,25.009,35.790,25.747,41.790,51.224,39.995,0.000,0.000,33.117,46.623,26.854,32.955,0.000,3.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
33116,33KV,23.523,36.023,25.770,28.281,29.638,22.097,0.000,0.000,26.472,37.093,40.613,27.795,0.000,2.000,2.000,2.000,1.000,0.000,0.000,0.000,0.000,5.000,5.000,3.000
33118,33KV,67.517,59.713,62.607,65.087,77.799,65.026,0.000,0.000,60.829,62.825,50.644,55.979,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33119,33KV,66.602,61.732,57.313,71.341,123.958,74.779,0.000,0.000,70.779,73.237,63.259,64.761,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33120,22KV,105.533,118.714,110.387,97.226,92.069,82.867,0.000,0.000,98.333,96.067,84.690,96.774,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33121,33KV,74.131,71.571,71.871,72.444,84.067,75.333,0.000,0.000,69.833,80.867,69.655,71.097,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33122,33KV,59.766,56.842,52.180,48.179,40.095,35.480,0.000,0.000,53.137,51.737,48.179,57.717,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33123,22KV,53.235,45.458,41.845,44.619,58.350,57.327,0.000,0.000,46.783,51.051,43.740,47.357,4.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
33124,22KV,98.033,109.679,109.194,119.871,121.000,95.200,0.000,0.000,100.833,108.733,98.414,92.774,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33126,33KV,21.305,20.666,19.213,36.047,19.204,20.906,0.000,0.000,17.525,16.928,16.005,19.012,7.000,4.000,1.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000
33127,33KV,25.420,24.806,15.703,21.295,20.339,22.637,0.000,0.000,15.372,19.018,24.320,14.838,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33128,33KV,61.766,56.752,54.440,59.644,80.721,63.914,0.000,0.000,62.161,64.273,51.316,59.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33129,33KV,56.288,51.442,54.731,47.487,67.059,53.413,0.000,0.000,44.695,43.208,44.115,43.193,4.000,1.000,6.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000
33130,22KV,68.186,66.589,67.771,69.620,92.601,65.334,0.000,0.000,60.898,59.124,48.509,58.014,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33131,33KV,98.118,99.168,101.993,113.970,106.092,94.504,0.000,0.000,108.651,110.333,97.683,100.592,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
