SWNO,VOLTAGE,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11,Month_12
33087,33KV,117.447,120.838,132.045,161.981,174.870,172.904,166.931,166.931,142.531,154.276,126.774,110.995
33088,33KV,102.943,107.834,139.590,173.709,187.581,167.574,173.377,173.377,161.194,161.292,126.405,105.346
33090,33KV,130.309,130.288,144.938,156.876,168.010,168.679,155.976,155.976,146.640,156.968,140.612,121.741
33093,33KV,66.530,66.778,83.673,100.177,104.713,115.192,118.271,118.271,99.513,85.396,70.457,77.466
33094,22KV,69.747,77.504,99.630,119.091,125.288,114.831,123.291,123.291,123.970,125.119,108.662,89.698
33095,33KV,90.703,105.614,108.967,134.650,148.090,135.381,121.106,121.106,98.642,105.381,88.922,83.000
33096,22KV,86.059,90.809,95.417,96.747,104.609,112.709,91.935,91.935,,,,
33096,33KV,82.569,84.867,86.496,97.731,,,,,89.937,93.821,84.358,82.052
33097,33KV,107.018,114.536,123.366,146.307,157.913,146.493,132.593,132.593,123.604,134.638,113.040,102.154
33098,33KV,115.131,123.893,142.093,163.003,174.035,166.025,160.972,160.972,140.249,159.197,131.638,124.574
33099,33KV,105.893,110.063,121.538,137.614,145.959,135.961,129.384,129.384,121.356,130.826,120.475,101.570
33100,22KV,123.315,127.872,149.861,171.290,163.753,165.082,185.452,185.452,149.098,157.690,132.620,120.968
33101,33KV,50.701,53.673,65.870,74.471,98.182,78.925,59.549,59.549,68.785,80.960,67.331,53.711
33102,33KV,100.972,106.960,113.483,135.701,147.689,121.509,140.475,140.475,118.814,129.408,112.135,103.275
33104,33KV,114.479,110.271,122.308,161.831,179.220,182.190,190.720,190.720,126.461,145.314,129.188,108.669
33105,33KV,130.569,130.663,139.339,179.376,179.575,181.792,170.322,170.322,138.564,147.352,138.450,127.733
33106,33KV,142.642,147.990,166.510,178.775,190.935,180.916,181.981,181.981,184.419,200.804,175.248,158.516
33107,33KV,104.308,115.779,123.489,130.386,135.292,147.356,136.744,136.744,115.912,128.658,120.457,106.180
33109,33KV,121.814,131.842,142.421,166.455,177.226,172.933,170.148,170.148,160.266,173.613,135.657,120.122
33111,22KV,77.847,78.871,89.424,105.578,118.910,115.353,132.000,132.000,86.508,97.262,84.418,72.510
33112,33KV,84.402,104.003,101.202,133.967,133.179,124.211,116.760,116.760,103.278,118.593,107.533,94.669
33115,33KV,68.848,79.943,82.774,104.427,113.585,107.201,110.644,110.644,91.382,95.455,78.632,67.963
33116,33KV,33.330,37.425,40.076,40.293,41.698,39.478,36.736,36.736,37.228,43.574,31.750,33.208
