TN,FP,FN,TP,Acc,Prec,Rec,F1,Spec,thr,Pos,W
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.42,79.0,"{'l': 0.2532816731261897, 'u': 0.14999999999999997, 'f': 0.09832795500503028, 'd': 0.09700634530055967, 'r': 0.09234506708403982, 'a': 0.07004168620400666, 's': 0.049411835896370035, 'i': 0.021074298230970748, 'c': 0.01851113915283296, 'p': 0.14999999999999997}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.41,79.0,"{'l': 0.2472983281707636, 'u': 0.15000000000000002, 'f': 0.10181472298230979, 'd': 0.10078805674541275, 'r': 0.08742821641142569, 'a': 0.05168494773106219, 's': 0.04241568260961597, 'i': 0.0344629908046972, 'c': 0.03410705454471287, 'p': 0.15000000000000002}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.41,79.0,"{'l': 0.23968059071939715, 'u': 0.15000000000000002, 'f': 0.1153812776829642, 'd': 0.10345801531939286, 'r': 0.09116074755603606, 'a': 0.05700670711058994, 's': 0.053867212825845445, 'i': 0.02389983908638356, 'c': 0.01554560969939068, 'p': 0.15000000000000002}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.36,79.0,"{'l': 0.16848533284664743, 'u': 0.15, 'f': 0.14681111518211376, 'd': 0.14576887241709266, 'r': 0.12195281274781222, 'a': 0.05433474720971044, 's': 0.038558329188934676, 'i': 0.018025901353286525, 'c': 0.006062889054402312, 'p': 0.15}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.36,79.0,"{'l': 0.17283317015393307, 'u': 0.15, 'f': 0.14657278463305637, 'd': 0.14086438380879393, 'r': 0.123075395809489, 'a': 0.058626478226496956, 's': 0.028045588390023315, 'i': 0.023160001970755944, 'c': 0.006822197007451454, 'p': 0.15}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.41,79.0,"{'l': 0.24647064056173765, 'u': 0.15000000000000002, 'f': 0.10555263884479991, 'd': 0.09785565275880298, 'r': 0.08908772066720053, 'a': 0.059474606419975075, 's': 0.03615433351569555, 'i': 0.03441017434484086, 'c': 0.030994232886947453, 'p': 0.15000000000000002}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.38,79.0,"{'l': 0.2021959937870648, 'u': 0.15, 'f': 0.14367787729020012, 'd': 0.11858309044144869, 'r': 0.11753881911250456, 'a': 0.043371224975253114, 's': 0.042242734001062036, 'i': 0.02823344083649027, 'c': 0.004156819555976466, 'p': 0.15}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.36,79.0,"{'l': 0.16187429824522914, 'u': 0.14905989384439933, 'f': 0.14763405462191914, 'd': 0.13279389513834644, 'r': 0.11998573300560177, 'a': 0.06625586480325066, 's': 0.039349252932498725, 'i': 0.02286117324731577, 'c': 0.010185834161439068, 'p': 0.15000000000000002}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.39,79.0,"{'l': 0.22214206770208766, 'u': 0.15, 'f': 0.1597200114410423, 'd': 0.11314045016676771, 'r': 0.10386078276100474, 'a': 0.039251617669329296, 's': 0.03281615408288992, 'i': 0.022829404010709965, 'c': 0.006239512166168361, 'p': 0.15}"
160.0,24.0,17.0,55.0,0.83984375,0.6962025316455697,0.7638888888888888,0.7284768211920529,0.8695652173913043,0.36,79.0,"{'l': 0.17527973061011454, 'u': 0.15, 'f': 0.16348397033286258, 'd': 0.14611356882479498, 'r': 0.11802863992937959, 'a': 0.0558620791279943, 's': 0.02904848352339512, 'i': 0.008492413287006026, 'c': 0.0036911143644529814, 'p': 0.15}"
