FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD
1312,14908-42949,1S-MH-MU-ZNT-CL01-6006,1S-MH-MU-ZNT-CL01-7946,1S-MH-MU-ZNT-CL01-7946,5,2025-04-04,160.73333333333332
1312,42951-28865,1S-MH-MU-ZNT-CL01-7946,1S-MH-MU-ZNT-CL01-6982,1S-MH-MU-ZNT-CL01-6982,6,2025-04-04,131.0968115942029
1312,28867-12795,1S-MH-MU-ZNT-CL01-6982,1S-MH-MU-ZNT-CL01-6506,1S-MH-MU-ZNT-CL01-6506,7,2025-04-04,114.79485148514853
1312,12796-37579,1S-MH-MU-ZNT-CL01-6506,1S-MH-MU-ZNT-CL01-6327,1S-MH-MU-ZNT-CL01-6327,8,2025-04-04,262.96270531400967
1312,12794-41920,1S-MH-MU-ZNT-CL01-6506,1S-MH-MU-ZNT-CL01-6610,1S-MH-MU-ZNT-CL01-6610,8,2025-04-04,118.25262135922331
1312,37580-35632,1S-MH-MU-ZNT-CL01-6327,1S-MH-MU-ZNT-CL01-7504,1S-MH-MU-ZNT-CL01-7504,9,2025-04-04,128.24103896103895
1312,41919-19351,1S-MH-MU-ZNT-CL01-6610,1S-MH-MU-ZNT-CL01-6858,1S-MH-MU-ZNT-CL01-6858,9,2025-04-04,249.7433009708738
1312,19353-42664,1S-MH-MU-ZNT-CL01-6858,1S-MH-MU-ZNT-CL09-7909,1S-MH-MU-ZNT-CL09-7909,10,2025-04-04,241.84
1312,42662-40006,1S-MH-MU-ZNT-CL09-7909,1S-MH-MU-ZNT-CL09-7384,1S-MH-MU-ZNT-CL09-7384,11,2025-04-04,155.56363636363636
1312,40008-17495,1S-MH-MU-ZNT-CL09-7384,1S-MH-MU-ZNT-CL09-6698,1S-MH-MU-ZNT-CL09-6698,12,2025-04-04,497.512077294686
1315,1315-7904,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-CL01-6434,1S-MH-MU-ZNT-CL01-6434,0,2025-04-04,176.0549019607843
1315,7902-17109,1S-MH-MU-ZNT-CL01-6434,1S-MH-MU-ZNT-CL01-6436,1S-MH-MU-ZNT-CL01-6436,1,2025-04-04,559.1578431372549
1315,17108-38200,1S-MH-MU-ZNT-CL01-6436,1S-MH-MU-ZNT-CL01-7822,1S-MH-MU-ZNT-CL01-7822,2,2025-04-04,321.0964705882353
1315,38199-17112,1S-MH-MU-ZNT-CL01-7822,1S-MH-MU-ZNT-CL01-6614,1S-MH-MU-ZNT-CL01-6614,3,2025-04-04,358.4306930693069
1315,17110-17838,1S-MH-MU-ZNT-CL01-6614,1S-MH-MU-ZNT-CL01-6615,1S-MH-MU-ZNT-CL01-6615,4,2025-04-04,684.3546798029556
1316,1316-18727,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-CL01-6035,1S-MH-MU-ZNT-CL01-6035,0,2025-04-04,310.53357142857146
1316,2904-17429,1S-MH-MU-ZNT-CL01-6035,1S-MH-MU-ZNT-CL01-6377,1S-MH-MU-ZNT-CL01-6377,1,2025-04-04,199.23921951219512
1316,2905-29523,1S-MH-MU-ZNT-CL01-6035,1S-MH-MU-ZNT-CL01-6477,1S-MH-MU-ZNT-CL01-6477,1,2025-04-04,99.98975369458127
1316,2906-17471,1S-MH-MU-ZNT-CL01-6035,1S-MH-MU-ZNT-CL01-6679,1S-MH-MU-ZNT-CL01-6679,1,2025-04-04,311.8344827586207
1316,17454-17035,1S-MH-MU-ZNT-CL01-6477,1S-MH-MU-ZNT-CL01-6563,1S-MH-MU-ZNT-CL01-6563,2,2025-04-04,273.6328155339806
1316,17470-38298,1S-MH-MU-ZNT-CL01-6679,1S-MH-MU-ZNT-CL01-7671,1S-MH-MU-ZNT-CL01-7671,2,2025-04-04,297.0478431372549
1316,17469-39095,1S-MH-MU-ZNT-CL01-6679,1S-MH-MU-ZNT-CL01-7113,1S-MH-MU-ZNT-CL01-7113,2,2025-04-04,165.98588235294116
1316,38297-9228,1S-MH-MU-ZNT-CL01-7671,1S-MH-MU-ZNT-CL01-6504,1S-MH-MU-ZNT-CL01-6504,3,2025-04-04,235.65829145728642
1316,5817-15072,1S-MH-MU-ZNT-CL01-6504,1S-MH-MU-ZNT-CL01-6550,1S-MH-MU-ZNT-CL01-6550,4,2025-04-04,270.9223880597015
1316,5818-18313,1S-MH-MU-ZNT-CL01-6504,1S-MH-MU-ZNT-CL01-6705,1S-MH-MU-ZNT-CL01-6705,4,2025-04-04,411.0487378640776
1316,18311-13827,1S-MH-MU-ZNT-CL01-6705,1S-MH-MU-ZNT-CL09-6273,1S-MH-MU-ZNT-CL09-6273,5,2025-04-04,361.43980582524273
1316,13828-11979,1S-MH-MU-ZNT-CL09-6273,1S-MH-MU-ZNT-CL09-6608,1S-MH-MU-ZNT-CL09-6608,6,2025-04-04,366.5107843137255
1319,1319-40910,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-CL01-7924,1S-MH-MU-ZNT-CL01-7924,0,2025-04-04,332.416
1319,40909-6700,1S-MH-MU-ZNT-CL01-7924,1S-MH-MU-ZNT-CL01-6398,1S-MH-MU-ZNT-CL01-6398,1,2025-04-04,448.8357142857143
1319,6701-17450,1S-MH-MU-ZNT-CL01-6398,1S-MH-MU-ZNT-CL01-6309,1S-MH-MU-ZNT-CL01-6309,2,2025-04-04,174.3049019607843
1319,17452-10400,1S-MH-MU-ZNT-CL01-6309,1S-MH-MU-ZNT-CL01-6078,1S-MH-MU-ZNT-CL01-6078,3,2025-04-04,35.65029126213592
1323,1323-43229,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-CL01-9904,1S-MH-MU-ZNT-CL01-9904,0,,
1324,1324-16863,1S-MH-MU-ZNT-RSTN-BORI,1S-MH-MU-ZNT-CL01-6306,1S-MH-MU-ZNT-CL01-6306,0,2025-04-04,377.19317073170737
