SWITCH_ID,YEAR,MONTH,YM,PRED_FAULTS
33001,2024,3,2024-03,0.06926344335079193
33001,2024,4,2024-04,0.12932492792606354
33001,2024,5,2024-05,0.08300647884607315
33001,2024,6,2024-06,0.058163490146398544
33001,2024,7,2024-07,0.04328225925564766
33001,2024,8,2024-08,0.047042861580848694
33001,2024,9,2024-09,0.02781280130147934
33001,2024,10,2024-10,0.05237638205289841
33001,2024,11,2024-11,0.07258260250091553
33001,2024,12,2024-12,0.045078080147504807
33002,2024,1,2024-01,0.06454876810312271
33002,2024,2,2024-02,0.032376084476709366
33002,2024,3,2024-03,0.0651206225156784
33002,2024,4,2024-04,0.12649881839752197
33002,2024,5,2024-05,0.09156913310289383
33002,2024,6,2024-06,0.06200423091650009
33002,2024,7,2024-07,0.04442243278026581
33002,2024,8,2024-08,0.06561969965696335
33002,2024,9,2024-09,0.03710024058818817
33002,2024,10,2024-10,0.05428769439458847
33002,2024,11,2024-11,0.08976603299379349
33002,2024,12,2024-12,0.05362742021679878
33004,2024,1,2024-01,0.0817919373512268
33004,2024,2,2024-02,0.05161454156041145
33004,2024,3,2024-03,0.09801417589187622
33004,2024,4,2024-04,0.1637260764837265
33004,2024,5,2024-05,0.14981602132320404
33004,2024,6,2024-06,0.09311845153570175
33004,2024,7,2024-07,0.06504444777965546
33004,2024,8,2024-08,0.0840555876493454
33004,2024,9,2024-09,0.04844454303383827
33004,2024,10,2024-10,0.07756494730710983
33004,2024,11,2024-11,0.11618180572986603
33004,2024,12,2024-12,0.07762876898050308
33006,2024,1,2024-01,0.03484179452061653
33006,2024,2,2024-02,0.025750143453478813
33006,2024,3,2024-03,0.052648939192295074
33006,2024,4,2024-04,0.08126331120729446
33006,2024,5,2024-05,0.06270410120487213
33006,2024,6,2024-06,0.038465000689029694
33006,2024,7,2024-07,0.02667444571852684
33006,2024,8,2024-08,0.02200666442513466
33006,2024,9,2024-09,0.01397839467972517
33006,2024,10,2024-10,0.03846858814358711
33006,2024,11,2024-11,0.04144055023789406
33006,2024,12,2024-12,0.029825149103999138
33008,2024,1,2024-01,0.0515957847237587
33008,2024,2,2024-02,0.03255283087491989
33008,2024,3,2024-03,0.05818180367350578
33008,2024,4,2024-04,0.07673371583223343
33008,2024,5,2024-05,0.08414886891841888
33008,2024,6,2024-06,0.05053165927529335
33008,2024,7,2024-07,0.02790083922445774
33008,2024,8,2024-08,0.037010155618190765
33008,2024,9,2024-09,0.02538193017244339
33008,2024,10,2024-10,0.053574804216623306
33008,2024,11,2024-11,0.04917711019515991
33008,2024,12,2024-12,0.04170883074402809
33010,2024,1,2024-01,0.05723925679922104
33010,2024,2,2024-02,0.05049625784158707
33010,2024,3,2024-03,0.08640938252210617
33010,2024,4,2024-04,0.14089588820934296
33010,2024,5,2024-05,0.13032320141792297
33010,2024,6,2024-06,0.08122895658016205
33010,2024,7,2024-07,0.06769554316997528
33010,2024,8,2024-08,0.056479740887880325
33010,2024,9,2024-09,0.03163798898458481
33010,2024,10,2024-10,0.0660829022526741
33010,2024,11,2024-11,0.09587835520505905
33010,2024,12,2024-12,0.08387187868356705
33011,2024,1,2024-01,0.04753180593252182
33011,2024,2,2024-02,0.036689940840005875
33011,2024,3,2024-03,0.07461109012365341
33011,2024,4,2024-04,0.09607972949743271
33011,2024,5,2024-05,0.10640580952167511
33011,2024,6,2024-06,0.061557840555906296
33011,2024,7,2024-07,0.03660418093204498
33011,2024,8,2024-08,0.03712962567806244
33011,2024,9,2024-09,0.026250408962368965
33011,2024,10,2024-10,0.0525752529501915
33011,2024,11,2024-11,0.054296597838401794
33011,2024,12,2024-12,0.04426724463701248
33012,2024,1,2024-01,0.03714459389448166
33012,2024,2,2024-02,0.03164210915565491
33012,2024,3,2024-03,0.05636383220553398
33012,2024,4,2024-04,0.0843970850110054
33012,2024,5,2024-05,0.05545072630047798
33012,2024,6,2024-06,0.041961561888456345
33012,2024,7,2024-07,0.026237156242132187
33012,2024,8,2024-08,0.021661128848791122
33012,2024,9,2024-09,0.01607653498649597
33012,2024,10,2024-10,0.04117559641599655
33012,2024,11,2024-11,0.04228793457150459
33012,2024,12,2024-12,0.03195628523826599
33015,2024,1,2024-01,0.06444340199232101
33015,2024,2,2024-02,0.0471121221780777
33015,2024,3,2024-03,0.10569968074560165
33015,2024,4,2024-04,0.11504300683736801
33015,2024,5,2024-05,0.1063428446650505
33015,2024,6,2024-06,0.07109198719263077
33015,2024,7,2024-07,0.043425798416137695
33015,2024,8,2024-08,0.040835633873939514
33015,2024,9,2024-09,0.029176076874136925
33015,2024,10,2024-10,0.07668706029653549
33015,2024,11,2024-11,0.07069143652915955
33015,2024,12,2024-12,0.056795671582221985
33017,2024,1,2024-01,0.028936069458723068
33017,2024,2,2024-02,0.019187675788998604
33017,2024,3,2024-03,0.04532886669039726
33017,2024,4,2024-04,0.06648988276720047
33017,2024,5,2024-05,0.052406296133995056
33017,2024,6,2024-06,0.03142309933900833
33017,2024,7,2024-07,0.02025115117430687
33017,2024,8,2024-08,0.01993776299059391
33017,2024,9,2024-09,0.0121219577267766
33017,2024,10,2024-10,0.028438828885555267
33017,2024,11,2024-11,0.039930786937475204
33017,2024,12,2024-12,0.027108460664749146
33018,2024,1,2024-01,0.04410654306411743
33018,2024,2,2024-02,0.02975642867386341
33018,2024,3,2024-03,0.05782417207956314
33018,2024,4,2024-04,0.06590846180915833
33018,2024,5,2024-05,0.05807896703481674
33018,2024,6,2024-06,0.04294721409678459
33018,2024,7,2024-07,0.02291603945195675
33018,2024,8,2024-08,0.023386389017105103
33018,2024,9,2024-09,0.019886810332536697
33018,2024,10,2024-10,0.04940402880311012
33018,2024,11,2024-11,0.04202670603990555
33018,2024,12,2024-12,0.03222167119383812
33019,2024,1,2024-01,0.05102739483118057
33019,2024,2,2024-02,0.037405338138341904
33019,2024,3,2024-03,0.08057696372270584
33019,2024,4,2024-04,0.08126449584960938
33019,2024,5,2024-05,0.10023675113916397
33019,2024,6,2024-06,0.062477465718984604
33019,2024,7,2024-07,0.02773921936750412
33019,2024,8,2024-08,0.02779913693666458
33019,2024,9,2024-09,0.02767493575811386
33019,2024,10,2024-10,0.06169295310974121
33019,2024,11,2024-11,0.04384879395365715
33019,2024,12,2024-12,0.0384991355240345
33020,2024,1,2024-01,0.05590209364891052
33020,2024,2,2024-02,0.05022618547081947
33020,2024,3,2024-03,0.08303588628768921
33020,2024,4,2024-04,0.122636578977108
33020,2024,5,2024-05,0.09048714488744736
33020,2024,6,2024-06,0.06623414158821106
33020,2024,7,2024-07,0.04459701105952263
33020,2024,8,2024-08,0.03790326789021492
33020,2024,9,2024-09,0.02332857996225357
33020,2024,10,2024-10,0.05809439346194267
33020,2024,11,2024-11,0.06888663023710251
33020,2024,12,2024-12,0.05633125081658363
33021,2024,1,2024-01,0.055557914078235626
33021,2024,2,2024-02,0.035566359758377075
33021,2024,3,2024-03,0.07015994191169739
33021,2024,4,2024-04,0.1093761995434761
33021,2024,5,2024-05,0.12274681031703949
33021,2024,6,2024-06,0.06933335959911346
33021,2024,7,2024-07,0.04705206677317619
33021,2024,8,2024-08,0.049055442214012146
33021,2024,9,2024-09,0.03485383465886116
33021,2024,10,2024-10,0.055392518639564514
33021,2024,11,2024-11,0.07187526673078537
33021,2024,12,2024-12,0.04990292340517044
33022,2024,1,2024-01,0.03854542598128319
33022,2024,2,2024-02,0.0293847918510437
33022,2024,3,2024-03,0.055320631712675095
33022,2024,4,2024-04,0.061631761491298676
33022,2024,5,2024-05,0.08291300386190414
33022,2024,6,2024-06,0.04303080216050148
33022,2024,7,2024-07,0.020846303552389145
33022,2024,8,2024-08,0.018879355862736702
33022,2024,9,2024-09,0.017200319096446037
33022,2024,10,2024-10,0.04524374008178711
33022,2024,11,2024-11,0.030336204916238785
33022,2024,12,2024-12,0.02929915301501751
33024,2024,1,2024-01,0.07463729381561279
33024,2024,2,2024-02,0.06546220183372498
33024,2024,3,2024-03,0.1119098961353302
33024,2024,4,2024-04,0.13676635921001434
33024,2024,5,2024-05,0.14705421030521393
33024,2024,6,2024-06,0.09683182090520859
33024,2024,7,2024-07,0.06612465530633926
33024,2024,8,2024-08,0.05457000434398651
33024,2024,9,2024-09,0.04635417461395264
33024,2024,10,2024-10,0.08826233446598053
33024,2024,11,2024-11,0.08629551529884338
33024,2024,12,2024-12,0.07572459429502487
33025,2024,1,2024-01,0.04084524139761925
33025,2024,2,2024-02,0.04871436208486557
33025,2024,3,2024-03,0.08739731460809708
33025,2024,4,2024-04,0.060681603848934174
33025,2024,5,2024-05,0.06974686682224274
33025,2024,6,2024-06,0.052612096071243286
33025,2024,7,2024-07,0.026119185611605644
33025,2024,8,2024-08,0.014491750858724117
33025,2024,9,2024-09,0.017226967960596085
33025,2024,10,2024-10,0.06432017683982849
33025,2024,11,2024-11,0.03423835709691048
33025,2024,12,2024-12,0.03915051370859146
33026,2024,1,2024-01,0.09779779613018036
33026,2024,2,2024-02,0.10046001523733139
33026,2024,3,2024-03,0.1551985740661621
33026,2024,4,2024-04,0.21881577372550964
33026,2024,5,2024-05,0.21802319586277008
33026,2024,6,2024-06,0.14569908380508423
33026,2024,7,2024-07,0.12602800130844116
33026,2024,8,2024-08,0.09827367961406708
33026,2024,9,2024-09,0.06106320396065712
33026,2024,10,2024-10,0.10662277787923813
33026,2024,11,2024-11,0.14587806165218353
33026,2024,12,2024-12,0.12825901806354523
33027,2024,1,2024-01,0.10636565089225769
33027,2024,2,2024-02,0.06649962067604065
33027,2024,3,2024-03,0.1163487434387207
33027,2024,4,2024-04,0.26874294877052307
33027,2024,5,2024-05,0.20116759836673737
33027,2024,6,2024-06,0.12606987357139587
33027,2024,7,2024-07,0.0942893996834755
33027,2024,8,2024-08,0.13621394336223602
33027,2024,9,2024-09,0.06578310579061508
33027,2024,10,2024-10,0.08966461569070816
33027,2024,11,2024-11,0.16242597997188568
33027,2024,12,2024-12,0.10671345144510269
33028,2024,1,2024-01,0.03096081130206585
33028,2024,2,2024-02,0.026749176904559135
33028,2024,3,2024-03,0.056656040251255035
33028,2024,4,2024-04,0.05322994291782379
33028,2024,5,2024-05,0.05111398920416832
33028,2024,6,2024-06,0.033320240676403046
33028,2024,7,2024-07,0.01683454029262066
33028,2024,8,2024-08,0.011298654600977898
33028,2024,9,2024-09,0.012349133379757404
33028,2024,10,2024-10,0.04551192373037338
33028,2024,11,2024-11,0.026568936184048653
33028,2024,12,2024-12,0.025627413764595985
33029,2024,1,2024-01,0.06430287659168243
33029,2024,2,2024-02,0.053120922297239304
33029,2024,3,2024-03,0.10798897594213486
33029,2024,4,2024-04,0.10541272163391113
33029,2024,5,2024-05,0.13169781863689423
33029,2024,6,2024-06,0.08259771764278412
33029,2024,7,2024-07,0.04077623412013054
33029,2024,8,2024-08,0.034546829760074615
33029,2024,9,2024-09,0.03546261042356491
33029,2024,10,2024-10,0.09088186174631119
33029,2024,11,2024-11,0.05959015712141991
33029,2024,12,2024-12,0.058084744960069656
33030,2024,1,2024-01,0.0845302939414978
33030,2024,2,2024-02,0.08578238636255264
33030,2024,3,2024-03,0.1539907455444336
33030,2024,4,2024-04,0.11526770144701004
33030,2024,5,2024-05,0.13046139478683472
33030,2024,6,2024-06,0.10296817123889923
33030,2024,7,2024-07,0.04398657754063606
33030,2024,8,2024-08,0.036332517862319946
33030,2024,9,2024-09,0.040813956409692764
33030,2024,10,2024-10,0.1272476464509964
33030,2024,11,2024-11,0.07014492154121399
33030,2024,12,2024-12,0.07575767487287521
33031,2024,1,2024-01,0.08041123300790787
33031,2024,2,2024-02,0.09719504415988922
33031,2024,3,2024-03,0.16763947904109955
33031,2024,4,2024-04,0.13594473898410797
33031,2024,5,2024-05,0.14960741996765137
33031,2024,6,2024-06,0.12320469319820404
33031,2024,7,2024-07,0.07396749407052994
33031,2024,8,2024-08,0.044165197759866714
33031,2024,9,2024-09,0.04131521284580231
33031,2024,10,2024-10,0.12115413695573807
33031,2024,11,2024-11,0.09499330818653107
33031,2024,12,2024-12,0.09451081603765488
33032,2024,1,2024-01,0.06701836735010147
33032,2024,2,2024-02,0.033663343638181686
33032,2024,3,2024-03,0.06030436232686043
33032,2024,4,2024-04,0.1092262864112854
33032,2024,5,2024-05,0.06615807861089706
33032,2024,6,2024-06,0.05496352165937424
33032,2024,7,2024-07,0.028718192130327225
33032,2024,8,2024-08,0.05307142436504364
33032,2024,9,2024-09,0.03112337552011013
33032,2024,10,2024-10,0.06048150733113289
33032,2024,11,2024-11,0.07241952419281006
33032,2024,12,2024-12,0.05610407516360283
33036,2024,1,2024-01,0.09485391527414322
33036,2024,2,2024-02,0.07022184133529663
33036,2024,3,2024-03,0.11196012049913406
33036,2024,4,2024-04,0.20001418888568878
33036,2024,5,2024-05,0.16418008506298065
33036,2024,6,2024-06,0.11199972033500671
33036,2024,7,2024-07,0.10136565566062927
33036,2024,8,2024-08,0.12012940645217896
33036,2024,9,2024-09,0.05972129479050636
33036,2024,10,2024-10,0.08469469100236893
33036,2024,11,2024-11,0.1657179594039917
33036,2024,12,2024-12,0.1135735958814621
33037,2024,1,2024-01,0.0343199223279953
33037,2024,2,2024-02,0.043287571519613266
33037,2024,3,2024-03,0.06740733981132507
33037,2024,4,2024-04,0.06856204569339752
33037,2024,5,2024-05,0.06586355715990067
33037,2024,6,2024-06,0.04331284761428833
33037,2024,7,2024-07,0.026628758758306503
33037,2024,8,2024-08,0.014396607875823975
33037,2024,9,2024-09,0.014087199233472347
33037,2024,10,2024-10,0.04685372859239578
33037,2024,11,2024-11,0.032732654362916946
33037,2024,12,2024-12,0.0317951962351799
33038,2024,1,2024-01,0.09222475439310074
33038,2024,2,2024-02,0.06356678903102875
33038,2024,3,2024-03,0.12423457205295563
33038,2024,4,2024-04,0.14208514988422394
33038,2024,5,2024-05,0.1972055435180664
33038,2024,6,2024-06,0.10998951643705368
33038,2024,7,2024-07,0.0573873296380043
33038,2024,8,2024-08,0.07376646250486374
33038,2024,9,2024-09,0.05852914974093437
33038,2024,10,2024-10,0.09670647233724594
33038,2024,11,2024-11,0.09014033526182175
33038,2024,12,2024-12,0.08157096058130264
