TN,FP,FN,TP,Acc,Prec,Rec,F1,Spec,thr,Pos,W
9.0,504.0,1.0,486.0,0.495,0.4909090909090909,0.997946611909651,0.6580907244414353,0.017543859649122806,0.24,990.0,"{'u': 0.15, 'i': 0.24821737365772112, 'd': 0.1582805536135361, 'l': 0.13840035354824978, 'a': 0.06810019339697748, 's': 0.029590037451498324, 'f': 0.024329541863166243, 'r': 0.018260868109661422, 'c': 0.014821078359189537, 'p': 0.15}"
9.0,504.0,1.0,486.0,0.495,0.4909090909090909,0.997946611909651,0.6580907244414353,0.017543859649122806,0.23,990.0,"{'u': 0.15000000000000002, 'i': 0.2215428392291192, 'd': 0.18765804035330905, 'l': 0.17450947579286213, 'a': 0.04223877724999653, 's': 0.027240612504004856, 'f': 0.02441991711826485, 'r': 0.021376606055598366, 'c': 0.0010137316968449979, 'p': 0.15000000000000002}"
9.0,504.0,1.0,486.0,0.495,0.4909090909090909,0.997946611909651,0.6580907244414353,0.017543859649122806,0.23,990.0,"{'u': 0.15, 'i': 0.255443706753698, 'd': 0.17583407123858497, 'l': 0.1588115023688014, 'a': 0.04040624362430407, 's': 0.02705890523153395, 'f': 0.021727545883094012, 'r': 0.01755191244938149, 'c': 0.003166112450602086, 'p': 0.15}"
9.0,504.0,1.0,486.0,0.495,0.4909090909090909,0.997946611909651,0.6580907244414353,0.017543859649122806,0.24,990.0,"{'u': 0.15000000000000002, 'i': 0.21417347322813227, 'd': 0.20432274444238316, 'l': 0.1324877003059702, 'a': 0.0525793642431135, 's': 0.041698594377583935, 'f': 0.031904751948379245, 'r': 0.01401021883983345, 'c': 0.008823152614604311, 'p': 0.15000000000000002}"
9.0,504.0,1.0,486.0,0.495,0.4909090909090909,0.997946611909651,0.6580907244414353,0.017543859649122806,0.25,990.0,"{'u': 0.15, 'i': 0.23184087814554644, 'd': 0.15456775789786414, 'l': 0.14371063256161423, 'a': 0.0430604461151981, 's': 0.03785669599709637, 'f': 0.03737759322251663, 'r': 0.02621573830937245, 'c': 0.025370257750791627, 'p': 0.15}"
9.0,504.0,1.0,486.0,0.495,0.4909090909090909,0.997946611909651,0.6580907244414353,0.017543859649122806,0.23,990.0,"{'u': 0.15, 'i': 0.21223940913362255, 'd': 0.20936510903075417, 'l': 0.15728979065955118, 'a': 0.04572667624486579, 's': 0.028714642559867987, 'f': 0.027710051578095217, 'r': 0.015238630330498666, 'c': 0.0037156904627444398, 'p': 0.15}"
9.0,504.0,1.0,486.0,0.495,0.4909090909090909,0.997946611909651,0.6580907244414353,0.017543859649122806,0.24,990.0,"{'u': 0.15000000000000002, 'i': 0.22549746194745748, 'd': 0.19153623727331778, 'l': 0.13637761207824323, 'a': 0.04759556503277287, 's': 0.031081912218790798, 'f': 0.02849531005698139, 'r': 0.023476985910156675, 'c': 0.015938915482279926, 'p': 0.15000000000000002}"
9.0,504.0,1.0,486.0,0.495,0.4909090909090909,0.997946611909651,0.6580907244414353,0.017543859649122806,0.22,990.0,"{'u': 0.15, 'i': 0.30792266428650633, 'd': 0.1846656004344284, 'l': 0.12657553736615057, 'a': 0.03412322201699274, 's': 0.017483824942632765, 'f': 0.017351134907757845, 'r': 0.009885621052028825, 'c': 0.001992394993502597, 'p': 0.15}"
9.0,504.0,1.0,486.0,0.495,0.4909090909090909,0.997946611909651,0.6580907244414353,0.017543859649122806,0.23,990.0,"{'u': 0.15000000000000002, 'i': 0.2563610324579678, 'd': 0.19037085644477156, 'l': 0.13300012572885506, 'a': 0.044073544142938494, 's': 0.0436909484679004, 'f': 0.020239444602718083, 'r': 0.01143999551551931, 'c': 0.0008240526393293106, 'p': 0.15000000000000002}"
9.0,504.0,1.0,486.0,0.495,0.4909090909090909,0.997946611909651,0.6580907244414353,0.017543859649122806,0.22,990.0,"{'u': 0.15, 'i': 0.28649605193809685, 'd': 0.17516582645223375, 'l': 0.15518260120728547, 'a': 0.0338099971083077, 's': 0.022344952367947094, 'f': 0.011777056368791769, 'r': 0.010464235668812143, 'c': 0.004759278888525233, 'p': 0.15}"
