FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD,DT_LOAD_CAL
34371,37445-11079,1S-MH-MU-ZET-CL09-9638,1S-MH-MU-ZET-CL09-8362,1S-MH-MU-ZET-CL09-8362,3,2025-04-04,169.759162303665,9.378995029036016
34371,11077-36421,1S-MH-MU-ZET-CL09-8362,1S-MH-MU-ZET-CL09-9590,1S-MH-MU-ZET-CL09-9590,4,2025-04-04,42.8865517241379,2.369431787803429
34371,36422-11161,1S-MH-MU-ZET-CL09-9590,1S-MH-MU-ZET-CL09-8457,1S-MH-MU-ZET-CL09-8457,5,2025-04-04,338.166666666667,18.68331253884772
34375,34375-05469,1S-MH-MU-ZET-RSTN-TILA,1S-MH-MU-ZET-CL09-8712,1S-MH-MU-ZET-CL09-8712,0,2025-04-04,398.80447761194,22.033480622323605
34375,05467-16731,1S-MH-MU-ZET-CL09-8712,1S-MH-MU-ZET-CL09-8089,1S-MH-MU-ZET-CL09-8089,1,2025-04-04,437.709634551495,24.182945008152956
34375,16729-38270,1S-MH-MU-ZET-CL09-8089,1S-MH-MU-ZET-CL06-9640,1S-MH-MU-ZET-CL06-9640,2,2025-04-04,99.48,5.496153567366888
34375,17218-11037,1S-MH-MU-ZET-CL09-8089,1S-MH-MU-ZET-CL06-8809,1S-MH-MU-ZET-CL06-8809,2,2025-04-04,98.8030927835051,5.458755235916196
34375,38271-02958,1S-MH-MU-ZET-CL06-9640,1S-MH-MU-ZET-CL06-8296,1S-MH-MU-ZET-CL06-8296,3,2025-04-04,346.960754716981,19.1691756109172
34375,11036-30016,1S-MH-MU-ZET-CL06-8809,1S-MH-MU-ZET-CL06-9259,1S-MH-MU-ZET-CL06-9259,3,,,
34375,02959-31866,1S-MH-MU-ZET-CL06-8296,1S-MH-MU-ZET-CL06-9251,1S-MH-MU-ZET-CL06-9251,4,2025-04-04,180.018797814208,9.945827882988116
34375,30015-30012,1S-MH-MU-ZET-CL06-9259,1S-MH-MU-ZET-CL06-9258,1S-MH-MU-ZET-CL06-9258,4,,,
34375,31868-38827,1S-MH-MU-ZET-CL06-9251,1S-MH-MU-ZET-CL06-9693,1S-MH-MU-ZET-CL06-9693,5,,,
34375,30013-30010,1S-MH-MU-ZET-CL06-9258,1S-MH-MU-ZET-CL06-8013,1S-MH-MU-ZET-CL06-8013,5,2025-04-04,246.722772277228,13.631144400906061
34375,38826-19370,1S-MH-MU-ZET-CL06-9693,1S-MH-MU-ZET-CL06-8971,1S-MH-MU-ZET-CL06-8971,6,2025-04-04,343.446231155779,18.975002297603012
34375,30009-11480,1S-MH-MU-ZET-CL06-8013,1S-MH-MU-ZET-CL06-8297,1S-MH-MU-ZET-CL06-8297,6,2025-04-04,456.807920792079,25.238102970072738
34375,30008-10442,1S-MH-MU-ZET-CL06-8013,1S-MH-MU-ZET-CL06-8375,1S-MH-MU-ZET-CL06-8375,6,2025-04-04,302.631,16.720008546901976
34375,19368-40001,1S-MH-MU-ZET-CL06-8971,1S-MH-MU-ZET-CL06-9738,1S-MH-MU-ZET-CL06-9738,7,2025-04-04,75.3414285714286,4.16252574802347
34375,19369-25832,1S-MH-MU-ZET-CL06-8971,1S-MH-MU-ZET-CL06-9024,1S-MH-MU-ZET-CL06-9024,7,2025-04-04,402.580198019802,22.24208475570771
34375,10441-15416,1S-MH-MU-ZET-CL06-8375,1S-MH-MU-ZET-CL06-8716,1S-MH-MU-ZET-CL06-8716,7,2025-04-04,78.4252736318408,4.332904578240512
34375,40000-41092,1S-MH-MU-ZET-CL06-9738,1S-MH-MU-ZET-CL06-9766,1S-MH-MU-ZET-CL06-9766,8,2025-04-04,213.533043478261,11.797450730435795
34375,25833-39286,1S-MH-MU-ZET-CL06-9024,1S-MH-MU-ZET-CL06-9721,1S-MH-MU-ZET-CL06-9721,8,2025-04-04,206.646666666667,11.416986471496562
34375,15414-10495,1S-MH-MU-ZET-CL06-8716,1S-MH-MU-ZET-CL06-8695,1S-MH-MU-ZET-CL06-8695,8,2025-04-04,155.4532,8.588607355635288
34375,41091-39746,1S-MH-MU-ZET-CL06-9766,1S-MH-MU-ZET-CL06-9710,1S-MH-MU-ZET-CL06-9710,9,2025-04-04,22.2842105263158,1.2311765498609302
34375,39287-11479,1S-MH-MU-ZET-CL06-9721,1S-MH-MU-ZET-CL06-8297,1S-MH-MU-ZET-CL06-8297,9,2025-04-04,456.807920792079,25.238102970072738
34376,34376-07610,1S-MH-MU-ZET-RSTN-TILA,1S-MH-MU-ZET-CL08-8577,1S-MH-MU-ZET-CL08-8577,0,2025-04-04,476.276804123711,26.313735987521458
34376,34376-19824,1S-MH-MU-ZET-RSTN-TILA,1S-MH-MU-ZET-RSTN-TILA,1S-MH-MU-ZET-RSTN-TILA,0,2025-02-07,491.34923857868,27.146470350193166
34376,07611-10812,1S-MH-MU-ZET-CL08-8577,1S-MH-MU-ZET-CL08-8152,1S-MH-MU-ZET-CL08-8152,1,2025-04-04,487.628282828283,26.940891900036764
34376,10811-06660,1S-MH-MU-ZET-CL08-8152,1S-MH-MU-ZET-CL08-8153,1S-MH-MU-ZET-CL08-8153,2,2025-04-04,552.149479166667,30.50561248131932
34376,06659-29335,1S-MH-MU-ZET-CL08-8153,1S-MH-MU-ZET-CL08-9128,1S-MH-MU-ZET-CL08-9128,3,2025-04-04,353.869849246231,19.550894997167827
