SWITCH_ID,YEAR,TARGET_FAULT,cycle_pm,load_range_idx,hist_faults_cum,joint_density,i_mtbf_inv,log1p_LENGTH_KM,recent_8m,recent_24m,log1p_hist_faults_cum,log1p_age_frac
33223,2017,0,1.4166666666666667,1.0495338887867836,0,12.782248013958215,0.0,0.38485483475369275,0,0,0.0,0.012051851577737391
33003,2017,0,5.583333333333333,0.9395025924653461,0,6.715916722632639,0.0,0.7140766237409751,0,0,0.0,0.0
33353,2017,0,0.0,1.0,0,0.0,0.0,2.2617630984737906,0,0,0.0,0.0
33131,2017,1,0.25,0.9404572717915707,0,6.273525721455458,0.0,2.1008360385339926,0,0,0.0,0.0
33178,2017,0,0.9166666666666666,0.9853946172326473,0,7.482363001496473,0.0,1.8890676516950529,0,0,0.0,0.14832559201366424
33212,2017,0,0.8333333333333334,1.014319376472721,0,5.693770066585477,0.0,1.9909791124228915,0,0,0.0,0.0
33151,2017,1,2.0833333333333335,0.9315818906538165,0,9.099457065728412,0.0,2.027332124881285,0,0,0.0,0.0
33184,2017,0,2.0,0.9577119255554726,0,8.438818565400844,0.0,1.7678935981260733,0,0,0.0,0.0
33140,2017,0,0.25,0.9272151125126814,0,6.150331678601239,0.0,2.0578220148208266,0,0,0.0,0.0
33086,2017,0,5.166666666666667,0.9396917111979707,0,7.869368483179225,0.0,0.7014129249769779,0,0,0.0,0.010504911309855848
33037,2017,0,0.3333333333333333,0.9415642423682345,0,8.35610953466915,0.0,1.9086977036959363,0,0,0.0,0.0
33319,2017,0,0.6666666666666666,1.8235597966451895,0,6.142136259077716,0.0,2.2303691759285216,0,0,0.0,0.0
33138,2017,1,0.16666666666666666,0.9487287494158761,0,9.534510739470651,0.0,2.0696717220335397,0,0,0.0,0.0
33226,2017,1,2.1666666666666665,0.936135443086523,0,4.392515154177282,0.0,0.7600111208134523,0,0,0.0,0.012051851577737391
33190,2017,0,0.4166666666666667,1.0011609663220256,0,9.443346893836392,0.0,1.7333116951085108,0,0,0.0,0.0
33211,2017,0,1.0,0.9571051588543296,0,5.824478551751279,0.0,1.995040391446013,0,0,0.0,0.0
33163,2017,0,0.25,0.9042870870112609,0,5.8744425539225675,0.0,2.432205698449452,0,0,0.0,0.0
33099,2017,0,0.5833333333333334,0.9584833039123537,0,6.434679613854876,0.0,1.6773621331171296,0,0,0.0,0.0
33245,2017,0,0.6666666666666666,0.9051753235022865,0,10.081354183761986,0.0,1.661138124019617,0,0,0.0,0.0
33095,2017,0,4.916666666666667,0.961329152613998,0,0.0,0.0,0.025180298530298247,0,0,0.0,0.0
33301,2017,0,3.25,1.1233003210644446,0,5.311956731697894,0.0,1.1219381139716065,0,0,0.0,0.0
33350,2017,0,2.4166666666666665,1.0129946305131718,0,0.0,0.0,1.835744456209445,0,0,0.0,0.0
33287,2017,0,0.8333333333333334,1.050075800012448,0,7.658678239780452,0.0,1.41917288968583,0,0,0.0,0.07124449848598856
33351,2017,0,0.9166666666666666,1.0151193715506772,0,0.0,0.0,1.8372585092992733,0,0,0.0,0.0
33134,2017,0,1.3333333333333333,0.9418346613407674,0,6.9520079716358065,0.0,1.6705894542273478,0,0,0.0,0.0
33213,2017,0,0.6666666666666666,0.9388828072314755,1,7.61131548902702,0.0,1.4238791214471618,1,1,0.6931471805599453,0.04788179100319947
33288,2017,0,0.6666666666666666,0.9947514901363669,0,6.921939401566875,0.0,1.4299044652477804,0,0,0.0,0.07146301005886666
33215,2017,0,0.5833333333333334,0.9826115624632048,0,6.2408223201174735,0.0,1.3147983594148207,0,0,0.0,0.0
33082,2017,1,0.16666666666666666,0.9560068424637128,0,5.800002096923836,0.0,1.7016080766362294,0,0,0.0,0.0
33249,2017,0,1.3333333333333333,0.9696431229827279,0,6.624075438756282,0.0,1.6538384563019746,0,0,0.0,0.0
