FROM_SWITCH,TO_SWITCH,FEEDER_ID,FEEDERID_FULL,SOURCE_SS,DESTINATION_SS,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,COMMISSIONEDDATE,NEUTRALMATERIAL,CABLECONDUCTORMATERIAL,CABLETYPE,REMARKS,MEASUREDLENGTH,CLUSTER_TYPE,FROM_SWITCH_N,FEEDER_ID_N,PATH,NO_OF_SEGMENT,DEDUP_KEY,AGG_MEASUREDLENGTH,COMMISSIONEDDATE_DT,SWNO,COMMISSIONEDDATE_DT_OLDEST
15489,28244,26390,HIRANA_11kV_26390,CHEMTEX 2,KAILASH IND EST 6,1S-MH-MU-ZET-CL07-8163,1S-MH-MU-ZET-CL05-9072,2,,AL,AL,PILC,,86.96325635,COMMERCIAL,15489,26390,SWNO_15489 -> JT.NO.1 | JT.NO.01A -> JT.NO.01B | JT.NO.01C -> JT.NO.01D | JT.NO.01D -> JT.NO.01E | JT.NO.01E -> JT.NO.01F | JT.NO.01F -> JT.NO.01G | JT.NO.01G -> SWNO_28244 | JT.NO.1 -> JT.NO.1A | JT.NO.1B -> JT.NO.1C,9,28244,1195.23712052,,28244,
15493,2941,39013,JBNGR_11KV_39013,CHAKALA SOUTH,CHAKALA NO.1,1S-MH-MU-ZSC-CL04-2150,1S-MH-MU-ZSC-CL04-2145,8,2022-10-20,AL,AL,PILC,,68.7,,15493,39013,SWNO_02941 -> JT.NO.21 | JT.NO.21 -> JT.NO.21A | JT.NO.21A -> SWNO_15493,3,2941,150.3,2022-10-20 00:00:00+00:00,2941,2022-10-20 00:00:00+00:00
15498,40423,39013,JBNGR_11KV_39013,CHAKALA NO.2,KRISHNA CASTLE,1S-MH-MU-ZSC-CL04-2153,1S-MH-MU-ZSC-CL04-3561,6,2018-12-24,AL,AL,PILC,,78.0,,15498,39013,SWNO_15498 -> JT.NO.1 | JT.NO.1 -> SWNO_40423,2,40423,226.7,2018-12-24 00:00:00+00:00,40423,2018-12-24 00:00:00+00:00
15502,19606,26367,HIRANA_11kV_26367,COLGATE PALMOLIVE INDIA,TELECOM TRAINING CENTER,1S-MH-MU-ZET-CL07-8200,1S-MH-MU-ZET-CL07-8979,2,,AL,AL,PILC,,69.32903131,,15502,26367,SWNO_15502 -> SWNO_19606,1,19606,69.32903131,,19606,
15503,CAPBANK,15503,DAHISR_11kV_11758,DAHISAR REC-STN,DAHISAR REC-STN,1S-MH-MU-ZNT-RSTN-DAHI,1S-MH-MU-ZNT-RSTN-DAHI,1,1999-01-01,AL,AL,XLPE,,100.0,,15503,15503,DAHISAR REC-STN 33213 TO PT(20.MVA.2) | DAHISAR REC-STN TO PT (20 MVA NO.2) | DAHISAR REC-STN 01143 TO P.T.(10 MVA NO.1) | DAHISAR REC-STN TO PT (10 MVA NO.1) | SWITCHING DEVICE TO CAP BANK (4100KVAR) | SWITCHING DEVICE TO STATION TRANSFORMER | SWITCHING DEVICE TO CAP BANK (5.5MVAR) | DAHISAR REC-STN 33059 TO P.T.(20 MVA NO.1) | DAHISAR REC-STN TO PT (20 MVA NO.1) | DAHISAR RECEIVING STATION TO DAHISAR RECEIVING STATION,11,15503|CAPBANK,663.0,,CAPBANK,1999-01-01 00:00:00+00:00
15504,32741,15504,DAHISR_11kV_15504,DAHISAR REC-STN,RAJ UMANG,1S-MH-MU-ZNT-RSTN-DAHI,1S-MH-MU-ZNT-CL09-6989,1,2012-08-28,AL,AL,XLPE,,35.8,,15504,15504,SWNO_15504 -> JT.NO.1 | JT.NO.1 -> JT.NO.1A | JT.NO.1A -> JT.NO.1R | JT.NO.1B -> JT.NO.1M | JT.NO.1C -> JT.NO.1D | JT.NO.1D -> JT.NO.1E | JT.NO.1E -> JT.NO.1Q | JT.NO.1F -> JT.NO.1G | JT.NO.1G -> JT.NO.1K | JT.NO.1H -> JT.NO.1J | JT.NO.1J -> SWNO_32741 | JT.NO.1K -> JT.NO.1L | JT.NO.1L -> JT.NO.1T | JT.NO.1M -> JT.NO.1N | JT.NO.1N -> JT.NO.1C | JT.NO.1P -> JT.NO.1F | JT.NO.1Q -> JT.NO.1P | JT.NO.1R -> JT.NO.1S | JT.NO.1S -> JT.NO.1B | JT.NO.1T -> JT.NO.1U | JT.NO.1U -> JT.NO.1H,21,32741,1350.0,2012-08-28 00:00:00+00:00,32741,2012-08-28 00:00:00+00:00
15506,28832,15506,DAHISR_11kV_15506,DAHISAR REC-STN,BELIRAM IND EST,1S-MH-MU-ZNT-RSTN-DAHI,1S-MH-MU-ZNT-CL09-6988,1,2014-06-09,AL,AL,XLPE,,271.4,,15506,15506,SWNO_15506 -> JT.NO.13H | JT.NO.13 -> JT.NO.13C | JT.NO.13A -> JT.NO.13 | JT.NO.13B -> SWNO_28832 | JT.NO.13C -> JT.NO.13B | JT.NO.13D -> JT.NO.13G | JT.NO.13E -> JT.NO.13D | JT.NO.13F -> JT.NO.13A | JT.NO.13G -> JT.NO.13F | JT.NO.13H -> JT.NO.13J | JT.NO.13J -> JT.NO.13K | JT.NO.13K -> JT.NO.13L | JT.NO.13L -> JT.NO.13E,13,28832,1228.8,2014-06-09 00:00:00+00:00,28832,2014-06-09 00:00:00+00:00
15507,15669,15507,DAHISR_11kV_15507,DAHISAR REC-STN,DADI ESTATE NO 2,1S-MH-MU-ZNT-RSTN-DAHI,1S-MH-MU-ZNT-CL09-6118,1,2019-02-15,AL,AL,XLPE,,164.2,,15507,15507,SWNO_15507 -> JT.NO.6F | JT.NO.6 -> JT.NO.6D | JT.NO.6B -> JT.NO.6C | JT.NO.6C -> JT.NO.6 | JT.NO.6D -> SWNO_15669 | JT.NO.6E -> JT.NO.6B | JT.NO.6F -> JT.NO.6E,7,15669,1190.5,2019-02-15 00:00:00+00:00,15669,2019-02-15 00:00:00+00:00
15509,10319,15509,DAHISR_11kV_15509,DAHISAR REC-STN,HIGHWAY LIGHT NO 3,1S-MH-MU-ZNT-RSTN-DAHI,1S-MH-MU-ZNT-CL09-6293,1,2019-02-16,AL,AL,XLPE,,159.5,,15509,15509,SWNO_15509 -> JT.NO.6C | JT.NO.6 -> JT.NO.6A | JT.NO.6A -> JT.NO.6L | JT.NO.6C -> JT.NO.6D | JT.NO.6D -> JT.NO.6 | JT.NO.6L -> SWNO_10319,6,10319,810.2,2019-02-16 00:00:00+00:00,10319,2019-02-16 00:00:00+00:00
15510,36989,15510,DAHISR_11kV_15510,DAHISAR REC-STN,DAHISAR HOUSING NO 5,1S-MH-MU-ZNT-RSTN-DAHI,1S-MH-MU-ZNT-CL09-7436,1,2024-12-09,AL,AL,XLPE,,159.3,,15510,15510,SWNO_15510 -> JT.NO.49 | JT.NO.49 -> JT.NO.49A | JT.NO.49A -> SWNO_36989,3,36989,259.1,2024-12-09 00:00:00+00:00,36989,2024-12-09 00:00:00+00:00
15514,7608,19583,CHMBUR_11kV_19583,ANCHORAGE,NATRAJ (CINEMA),1S-MH-MU-ZET-CL08-8028,1S-MH-MU-ZET-CL08-8577,16,2019-04-26,AL,AL,XLPE,,727.0,,15514,19583,SWNO_07608 -> SWNO_15514,1,7608,727.0,2019-04-26 00:00:00+00:00,7608,2019-04-26 00:00:00+00:00
15523,5392,26373,HIRANA_11kV_26373,CHANDIVALI HSG (N) 4,CHANDIVALI ICE & COLD,1S-MH-MU-ZET-CL14-8126,1S-MH-MU-ZET-CL14-8128,11,,AL,AL,PILC,,152.3,RESIDENTIAL,15523,26373,JT.NO.71 -> SWNO_05392 | JT.NO.71A -> JT.NO.71 | JT.NO.71B -> JT.NO.71A | JT.NO.20 -> JT.NO.21,4,5392,375.19209898,,5392,
15526,4897,17816,MIDC_11kV_17816,SUREN ROAD NO.1,SUREN ROAD CENTRAL,1S-MH-MU-ZSC-CL02-2767,1S-MH-MU-ZSC-CL02-2768,3.2,,AL,AL,PILC,,90.0,COMMERCIAL,15526,17816,SWNO_15526 -> SWNO_04897,1,4897,90.0,,4897,
15529,40761,19775,CHMBUR_11kV_19775,GOVANDI EXHIBITOR,RAM NIWAS,1S-MH-MU-ZET-CL11-8325,1S-MH-MU-ZET-CL11-9290,6,2024-03-01,AL,AL,XLPE,,105.7526963,,15529,19775,SWNO_15529 -> JT.NO.01 | JT.NO.01 -> JT.NO.01A | JT.NO.01A -> JT.NO.01B | JT.NO.01B -> JT.NO.01C | JT.NO.01C -> JT.NO.01D | JT.NO.01D -> SWNO_40761,12,40761,969.3053926,2024-03-01 00:00:00+00:00,40761,2024-03-01 00:00:00+00:00
15543,15557,26381,HIRANA_11kV_26381,GLEN GATE,PWD HSG 2,1S-MH-MU-ZET-CL07-8307,1S-MH-MU-ZET-CL07-8602,8,,AL,AL,PILC,,418.0,,15543,26381,SWNO_15543 -> SWNO_15557,1,15557,418.0,,15557,
15546,13089,30956,VIKHR _11kV_30956,MODI EST,GARDEN COURT,1S-MH-MU-ZET-CL04-8552,1S-MH-MU-ZET-CL04-8264,3,2019-04-12,AL,AL,XLPE,,134.2,,15546,30956,SWNO_15546 -> JT.NO.01 | JT.NO.01 -> JT.NO.01A | JT.NO.01A -> JT.NO.01B | JT.NO.01B -> JT.NO.01C | JT.NO.01C -> JT.NO.01D | JT.NO.01D -> JT.NO.01E | JT.NO.01E -> SWNO_13089,7,13089,484.36009355,2019-04-12 00:00:00+00:00,13089,2019-04-12 00:00:00+00:00
15558,16179,26381,HIRANA_11kV_26381,PWD HSG 2,POWAI PARK,1S-MH-MU-ZET-CL07-8602,1S-MH-MU-ZET-CL07-8663,9,,AL,AL,PILC,,367.33975897,,15558,26381,SWNO_15558 -> SWNO_16179,1,16179,367.33975897,,16179,
15564,5848,26658,ARY220_11kV_26658,UDYOG SADAN,S E E P Z WEST NO.2,1S-MH-MU-ZSC-CL01-2794,1S-MH-MU-ZSC-CL01-2717,7,2024-03-19,AL,AL,XLPE,,219.3,,15564,26658,SWNO_15564 -> SWNO_05848,1,5848,219.3,2024-03-19 00:00:00+00:00,5848,2024-03-19 00:00:00+00:00
15569,37426,32556,VSV220_11kV_32556,JUBILEE ABAD BAUG APARTMENT,BHAGTANI SOLITAIRE,1S-MH-MU-ZSC-CL06-2338,1S-MH-MU-ZSC-CL06-3461,1.4,2015-08-29,AL,AL,PILC,,68.9,,15569,32556,JT.NO.15 -> JT.NO.15A | JT.NO.15A -> JT.NO.15B | JT.NO.15B -> JT.NO.15E | JT.NO.15E -> SWNO_37426 | SWNO_15569 -> JT.NO.15C | JT.NO.15C -> JT.NO.15D | JT.NO.15D -> JT.NO.15,7,37426,581.7,2015-08-29 00:00:00+00:00,37426,2015-08-29 00:00:00+00:00
15575,11023,38744,SWMSMTNGR_11KV_38744,SHANKAR DHAM,LOKHANDWALA ROAD,1S-MH-MU-ZSC-CL05-2727,1S-MH-MU-ZSC-CL05-2404,10,,AL,AL,PILC,,103.5,,15575,38744,SWNO_11023 -> JT.NO.102 | JT.NO.102 -> SWNO_15575,2,11023,153.0,,11023,
15576,10154,38738,SWMSMTNGR_11KV_38738,RAHEJA CLASSIC,AMBIVLI HOUSING NO.1,1S-MH-MU-ZSC-CL05-2639,1S-MH-MU-ZSC-CL09-2037,4,2019-05-16,AL,AL,PILC,,110.6,RESIDENTIAL,15576,38738,SWNO_15576 -> JT.NO.65B | JT.NO.65 -> JT.NO.65G | JT.NO.65A -> JT.NO.65 | JT.NO.65B -> JT.NO.65A | JT.NO.65C -> JT.NO.65E | JT.NO.65D -> SWNO_10154 | JT.NO.65E -> JT.NO.65F | JT.NO.65F -> JT.NO.65D | JT.NO.65G -> JT.NO.65H | JT.NO.65H -> JT.NO.65C,10,10154,417.79999999999995,2019-05-16 00:00:00+00:00,10154,2019-05-16 00:00:00+00:00
15577,16166,38738,SWMSMTNGR_11KV_38738,RAHEJA CLASSIC,VALECHA HOUSE,1S-MH-MU-ZSC-CL05-2639,1S-MH-MU-ZSC-CL09-2806,3.1,,AL,AL,PILC,,201.0,,15577,38738,SWNO_15577 -> SWNO_16166,1,16166,201.0,,16166,
15582,HTCONSUMER,26658,ARY220_11kV_26658,TEST HOUSE ( NATIONAL ),,1S-MH-MU-ZSC-CL01-2785,,3.4,1999-10-28,AL,AL,XLPE,,10.0,,15582,26658,SWITCHING DEVICE TO HTC,1,15582|HTCONSUMER,10.0,,HTCONSUMER,1999-10-28 00:00:00+00:00
15584,16856,26771,SHVNGR _11kV_26771,CHIKKUWADI 2,CHIKKUWADI 4,1S-MH-MU-ZET-CL12-8173,1S-MH-MU-ZET-CL12-8175,5,,,AL,XLPE,,418.0,SLUM,15584,26771,SWNO_15584 -> SWNO_16856,1,16856,418.0,,16856,
15586,42593,25358,CHBNDR_11kV_25358,BOMBAY TALKIES NO.2,DADI ROAD ADITYA,1S-MH-MU-ZCT-CL02-4122,1S-MH-MU-ZCT-CL02-5580,4,2023-01-12,AL,AL,XLPE,,191.8,,15586,25358,SWNO_42593 -> SWNO_15586,1,42593,191.8,2023-01-12 00:00:00+00:00,42593,2023-01-12 00:00:00+00:00
15591,10748,35038,SHANTIST_11kV_35038,SHANTI NAGAR EAST NO 2,SECTOR NO 6,1S-MH-MU-ZNT-CL10-6676,1S-MH-MU-ZNT-CL10-6651,1.3,2020-06-29,AL,AL,XLPE,,29.5,,15591,35038,SWNO_15591 -> JT.NO.68 | JT.NO.68 -> SWNO_10748,2,10748,144.5,2020-06-29 00:00:00+00:00,10748,2020-06-29 00:00:00+00:00
15595,15642,14327,ARY220_11kV_14327,MODERN BAKERY,AAREY GANESH NAGAR,1S-MH-MU-ZSC-CL10-2531,1S-MH-MU-ZSC-CL01-2004,1.3,,AL,AL,PILC,,66.2,,15595,14327,SWNO_15595 -> SWNO_15642,1,15642,66.2,,15642,
15596,34434,14327,ARY220_11kV_14327,MODERN BAKERY,AAREY GAUTAM NAGAR,1S-MH-MU-ZSC-CL10-2531,1S-MH-MU-ZSC-CL10-2006,1.2.1,,AL,AL,PILC,,285.0,,15596,14327,SWNO_15596 -> SWNO_34434,1,34434,285.0,,34434,
15599,15600,1326,BORIVLI_11kV_01326,BLUE ROSE IND EST,BLUE ROSE IND EST NO 2,1S-MH-MU-ZNT-CL01-6066,1S-MH-MU-ZNT-CL01-6067,1,,AL,AL,PILC,,246.0,,15599,1326,SWNO_15599 -> SWNO_15600,1,15600,246.0,,15600,
15602,32255,1326,BORIVLI_11kV_01326,BLUE ROSE IND EST NO 2,WESTERN EDGE,1S-MH-MU-ZNT-CL01-6067,1S-MH-MU-ZNT-CL01-7347,2,,AL,AL,XLPE,,56.7,,15602,1326,SWNO_15602 -> SWNO_32255,1,32255,56.7,,32255,
15611,9082,30476,SCRUZ_11kV_30476,PHIROZSHAH ROAD NO.2,KHOTWADI SOUTH,1S-MH-MU-ZST-CL03-0418,1S-MH-MU-ZST-CL03-0323,8,2009-12-16,AL,AL,XLPE,,5.0,,15611,30476,SWNO_15611 -> JT.NO.3 | JT.NO.3 -> JT.NO.4A | JT.NO.4 -> JT.NO.4B | JT.NO.4A -> JT.NO.4 | JT.NO.4B -> JT.NO.4C | JT.NO.4C -> SWNO_09082,6,9082,204.5,2009-12-16 00:00:00+00:00,9082,2009-12-16 00:00:00+00:00
15614,10472,4430,ANDHRI_11kV_04430,SAMEER APARTMENT,KALPACHANDRA,1S-MH-MU-ZSC-CL07-2697,1S-MH-MU-ZSC-CL07-2352,2,2018-06-02,AL,AL,PILC,,80.0,,15614,4430,SWNO_15614 -> JT.NO.18 | JT.NO.12 -> JT.NO.12B | JT.NO.12B -> JT.NO.12C | JT.NO.12C -> JT.NO.12D | JT.NO.12D -> JT.NO.12 | JT.NO.12F -> JT.NO.12E | JT.NO.12G -> JT.NO.12F | JT.NO.18 -> JT.NO.12 | SWNO_10472 -> JT.NO.12E,9,10472,472.79999999999995,2018-06-02 00:00:00+00:00,10472,2018-06-02 00:00:00+00:00
15618,5015,35417,DEVIDAS_11kV_35417,MANAS MOTI,LIC COLONY NO 3,1S-MH-MU-ZNT-CL08-6406,1S-MH-MU-ZNT-CL05-6380,5,2019-05-02,AL,AL,XLPE,,144.1,RESIDENTIAL,15618,35417,SWNO_15618 -> JT.NO.7,1,5015,144.1,2019-05-02 00:00:00+00:00,5015,2019-05-02 00:00:00+00:00
15622,14292,29213,ACRO_11KV_29213,HINDUSTAN RUBBER,U.S.VITAMIN,1S-MH-MU-ZET-CL11-8357,1S-MH-MU-ZET-CL11-8889,4,,AL,AL,XLPE,,72.3,,15622,29213,SWNO_15622 -> JT.NO.1 | JT.NO.1 -> SWNO_14292,2,14292,223.33349241000002,,14292,
15626,12112,17806,MIDC_11kV_17806,NATIONAL CRATES,DIGITAL ELECTRONICS,1S-MH-MU-ZSC-CL01-2561,1S-MH-MU-ZSC-CL01-2194,8,2023-12-31,AL,AL,XLPE,,54.3,,15626,17806,JT.NO.46 | JT.NO.46A -> JT.NO.46F | JT.NO.46A -> JT.NO.46G | JT.NO.46G -> JT.NO.46H | JT.NO.46H -> SWNO_12112,5,12112,212.0,2023-12-31 00:00:00+00:00,12112,2023-12-31 00:00:00+00:00
15629,10744,31010,CHDVLI_11kV_31010,R.K.POLYMER,CHANDIVALI ICE & COLD,1S-MH-MU-ZET-CL14-8683,1S-MH-MU-ZET-CL14-8128,4,2020-06-22,AL,AL,PILC,,16.5,,15629,31010,SWNO_15629 -> JT.NO.69D | JT.NO.69 -> JT.NO.69C | JT.NO.69A -> JT.NO.69 | JT.NO.69B -> JT.NO.69E | JT.NO.69C -> SWNO_10744 | JT.NO.69D -> JT.NO.69B | JT.NO.69E -> JT.NO.69F | JT.NO.69F -> JT.NO.69A,8,10744,638.1906967,2020-06-22 00:00:00+00:00,10744,2020-06-22 00:00:00+00:00
15630,9370,40870,VSV220_11kV_40870,WORLD BANK,RESHAM,1S-MH-MU-ZSC-CL05-2852,1S-MH-MU-ZSC-CL06-2659,5.1,2021-07-02,AL,AL,XLPE,,54.4,,15630,40870,SWNO_15630 -> JT.NO.25A | JT.NO.25 -> JT.NO.26B | JT.NO.25A -> JT.NO.25B | JT.NO.25B -> JT.NO.25 | JT.NO.26 -> SWNO_09370 | JT.NO.26A -> JT.NO.26 | JT.NO.26B -> JT.NO.26A,7,9370,591.1,2021-07-02 00:00:00+00:00,9370,2021-07-02 00:00:00+00:00
15636,25569,1522,GOREG_11kV_01522,OSHIWARA SOUTH NO.2,HDFC,1S-MH-MU-ZSC-CL08-2589,1S-MH-MU-ZCT-CL01-4931,5,,AL,AL,PILC,,189.0,,15636,1522,SWNO_15636 -> SWNO_25569,1,25569,189.0,,25569,
15640,6729,14327,ARY220_11kV_14327,AAREY GANESH NAGAR,AAREY PUMP,1S-MH-MU-ZSC-CL01-2004,1S-MH-MU-ZSC-CL10-2010,1.4,2009-06-17,AL,AL,PILC,,299.5,,15640,14327,SWNO_15640 -> JT.NO.7 | JT.NO.7 -> JT.NO.7A | JT.NO.7A -> JT.NO.7B | JT.NO.7B -> JT.NO.7C | JT.NO.7C -> JT.NO.7D | JT.NO.7D -> JT.NO.7E | JT.NO.7E -> JT.NO.7F | JT.NO.7F -> JT.NO.7G | JT.NO.7G -> JT.NO.7H | JT.NO.7H -> JT.NO.7J | JT.NO.7J -> JT.NO.7K | JT.NO.7K -> SWNO_06729,12,6729,890.5,2009-06-17 00:00:00+00:00,6729,2009-06-17 00:00:00+00:00
15645,2757,1532,GOREG_11kV_01532,AMBOLI NO.3,AMBOLI NO.2,1S-MH-MU-ZSC-CL08-2051,1S-MH-MU-ZSC-CL08-2050,1,2022-03-22,AL,AL,XLPE,,43.6,,15645,1532,SWNO_06818 -> JT.NO.18 | JT.NO.18 -> JT.NO.18A | JT.NO.18A -> SWNO_15645,3,2757,387.3,2022-03-22 00:00:00+00:00,2757,2022-03-22 00:00:00+00:00
15646,7408,35564,HULL_11KV_35564,CHAKALA NORTH NO.3,CHAKALA NORTH NO.2,1S-MH-MU-ZSC-CL04-2149,1S-MH-MU-ZSC-CL04-2148,2,,AL,AL,PILC,,62.0,,15646,35564,SWNO_15646 -> SWNO_07408,1,7408,62.0,,7408,
15670,30074,15507,DAHISR_11kV_15507,DADI ESTATE NO 2,DIAMODA,1S-MH-MU-ZNT-CL09-6118,1S-MH-MU-ZNT-CL09-7059,2,2024-06-07,AL,AL,PILC,,202.9,,15670,15507,SWNO_15670 -> JT.NO.14 | JT.NO.14 -> JT.NO.14A | JT.NO.14A -> JT.NO.14H | JT.NO.14H -> SWNO_30074,4,30074,317.0,2024-06-07 00:00:00+00:00,30074,2024-06-07 00:00:00+00:00
15676,29415,41717,GHOD_11KV_41717,CHANDRESH NIKETAN,CHHEDA ENCLAVE,1S-MH-MU-ZNT-CL11-6100,1S-MH-MU-ZNT-CL10-7018,3,2007-07-20,AL,AL,XLPE,,48.6,,15676,41717,SWNO_15676 -> JT.NO.14 | JT.NO.14 -> JT.NO.14A | JT.NO.14A -> JT.NO.14C | JT.NO.14B -> SWNO_29415 | JT.NO.14C -> JT.NO.14D | JT.NO.14D -> JT.NO.14B,6,29415,610.7,2007-07-20 00:00:00+00:00,29415,2007-07-20 00:00:00+00:00
15677,36258,27082,PALMCT_11kV_27082,MALAD IND.UNIT NO.1,VALNAI NO.1,1S-MH-MU-ZCT-CL03-4446,1S-MH-MU-ZCT-CL03-4781,8,,AL,AL,PILC,,130.5,,15677,27082,SWNO_15677 -> SWNO_36258,1,36258,130.5,,36258,
15682,15565,26658,ARY220_11kV_26658,E R T L,UDYOG SADAN,1S-MH-MU-ZSC-CL01-2200,1S-MH-MU-ZSC-CL01-2794,6,,AL,AL,PILC,,80.0,,15682,26658,SWNO_15566 -> SWNO_15682,1,15565,80.0,,15565,
15687,10941,18824,CHDNGR_11kV_18824,NALANDA,GHATKOPAR EAST 3,1S-MH-MU-ZET-CL06-8568,1S-MH-MU-ZET-CL06-8279,4,,AL,AL,PILC,,326.87989603,,15687,18824,SWNO_15687 -> SWNO_10941,1,10941,326.87989603,,10941,
15688,7735,32558,VSV220_11kV_32558,LOKHANDWALA NORTH NO.3,SWAMI SAMARTH NAGAR NO.1,1S-MH-MU-ZSC-CL05-2396,1S-MH-MU-ZSC-CL05-2772,4,,AL,AL,PILC,,116.0,,15688,32558,SWNO_15688 -> SWNO_07735,1,7735,116.0,,7735,
15691,16981,14324,ARY220_11kV_14324,AAREY UNIT NO.19,AAREY GARDEN KIOSK,1S-MH-MU-ZSC-CL01-2013,1S-MH-MU-ZSC-CL10-2005,2,2018-09-06,AL,AL,PILC,,20.2,,15691,14324,SWNO_16981 -> JT.NO.1R | JT.NO.1A -> JT.NO.1F | JT.NO.1B -> JT.NO.1A | JT.NO.1D -> SWNO_15691 | JT.NO.1E -> JT.NO.1H | JT.NO.1F -> JT.NO.1E | JT.NO.1G -> JT.NO.1D | JT.NO.1H -> JT.NO.1G | JT.NO.1R -> JT.NO.1B,9,16981,512.4,2018-09-06 00:00:00+00:00,16981,2018-09-06 00:00:00+00:00
15694,28470,40720,DAHISRW_11kV_40720,RAJ ANMOL TOWER,VINI GARDEN,1S-MH-MU-ZNT-CL05-6574,1S-MH-MU-ZNT-CL05-6969,2,,AL,AL,XLPE,,22.5,,15694,40720,SWNO_15694 -> JT.NO.25 | JT.NO.25 -> JT.NO.25A | JT.NO.25A -> SWNO_28470,3,28470,223.9,,28470,
15697,7458,27077,PALMCT_11kV_27077,KASTURBA COLONY,EVERSHINE NAGAR NO.1,1S-MH-MU-ZCT-CL03-4378,1S-MH-MU-ZCT-CL03-4219,4,2010-01-16,AL,AL,XLPE,,116.3,,15697,27077,SWNO_15697 -> JT.NO.125 | JT.NO.125 -> JT.NO.125A | JT.NO.125A -> JT.NO.125B | JT.NO.125B -> SWNO_07458,4,7458,198.0,2010-01-16 00:00:00+00:00,7458,2010-01-16 00:00:00+00:00
15701,12170,18614,CHVALI_11kV_18614,CHINCHAVLI CENTRAL NO.1,LILAYA NAGAR,1S-MH-MU-ZCT-CL02-4140,1S-MH-MU-ZCT-CL02-4416,6,2017-12-29,AL,AL,PILC,,77.2,RESIDENTIAL,15701,18614,SWNO_15701 -> JT.NO.106 | JT.NO.106 -> JT.NO.106A | JT.NO.106A,3,12170,273.9,2017-12-29 00:00:00+00:00,12170,2017-12-29 00:00:00+00:00
15703,29327,29327,CHUNA_11kV_29327,VATSALATAI NAIK NGR 2,CHUNABHATTI REC-STN,1S-MH-MU-ZET-CL01-8908,1S-MH-MU-ZET-RSTN-CHUN,1,2024-02-28,AL,AL,XLPE,,2.8,,15703,29327,SWNO_29327 -> JT.NO.01 | JT.NO.01 -> JT.NO.01A | JT.NO.01A -> JT.NO.01B | JT.NO.01B -> SWNO_15703,4,29327,387.1,2024-02-28 00:00:00+00:00,29327,2024-02-28 00:00:00+00:00
15706,160,35565,HULL_11KV_35565,MONICA APPART,CENTRAL PICTURES,1S-MH-MU-ZSC-CL04-2539,1S-MH-MU-ZSC-CL04-2141,9,2024-03-06,AL,AL,XLPE,,318.8,,15706,35565,SWNO_15706 -> SWNO_00160,1,160,318.8,2024-03-06 00:00:00+00:00,160,2024-03-06 00:00:00+00:00
15719,39489,38740,SWMSMTNGR_11KV_38740,MORYA HOUSE,T-SERIES,1S-MH-MU-ZSC-CL09-2540,1S-MH-MU-ZSC-CL09-3570,3.1,2018-03-23,AL,AL,XLPE,,299.6,,15719,38740,SWNO_15719 -> JT.NO.1 | JT.NO.1 -> SWNO_39489,2,39489,355.70000000000005,2018-03-23 00:00:00+00:00,39489,2018-03-23 00:00:00+00:00
15720,35857,38740,SWMSMTNGR_11KV_38740,MORYA HOUSE,CRESCENT ROYAL,1S-MH-MU-ZSC-CL09-2540,1S-MH-MU-ZSC-CL09-3361,4,,AL,AL,XLPE,,80.0,INDUSTRIAL,15720,38740,SWNO_15720 -> SWNO_35857,1,35857,80.0,,35857,
15722,32543,41717,GHOD_11KV_41717,NAYA NAGAR TECH SCHOOL,RHYTHM TOWER,1S-MH-MU-ZNT-CL10-6488,1S-MH-MU-ZNT-CL10-7266,9,2015-12-25,AL,AL,PILC,,125.4,,15722,41717,SWNO_15722 -> JT.NO.54 | JT.NO.54 -> JT.NO.54A | JT.NO.54A -> JT.NO.54B | JT.NO.54B -> JT.NO.54C | JT.NO.54C -> JT.NO.54D | JT.NO.54D -> SWNO_32543,6,32543,267.90000000000003,2015-12-25 00:00:00+00:00,32543,2015-12-25 00:00:00+00:00
15725,6900,18619,CHVALI_11kV_18619,AJIT PARK,TUREL PAKHADI NO.1,1S-MH-MU-ZCT-CL02-4035,1S-MH-MU-ZCT-CL03-4760,6,2020-06-24,AL,AL,XLPE,,34.5,,15725,18619,SWNO_15725 -> JT.NO.39 | JT.NO.39 -> JT.NO.39A | JT.NO.39A -> SWNO_06900,3,6900,340.1,2020-06-24 00:00:00+00:00,6900,2020-06-24 00:00:00+00:00
15730,37424,38732,MHADAMANK_11KV_38732,YASHWANTRAO CHAVAN NGR,CHIKKUWADI MHADA,1S-MH-MU-ZET-CL12-8958,1S-MH-MU-ZET-CL12-9637,3,2021-12-11,AL,AL,XLPE,,91.4,,15730,38732,JT.NO.60 -> JT.NO.60A | JT.NO.60A -> SWNO_37424 | SWNO_15730 -> JT.NO.60,3,37424,500.69788688999995,2021-12-11 00:00:00+00:00,37424,2021-12-11 00:00:00+00:00
15735,13738,30036,PALMCT_11kV_30036,VALNAI NO.2,CIEM,1S-MH-MU-ZCT-CL03-4782,1S-MH-MU-ZCT-CL03-4157,7,2021-03-03,AL,AL,XLPE,,163.1,INDUSTRIAL,15735,30036,SWNO_15735 -> SWNO_13738,1,13738,163.1,2021-03-03 00:00:00+00:00,13738,2021-03-03 00:00:00+00:00
