FROM_SWITCH,TO_SWITCH,FEEDER_ID,FEEDERID_FULL,SOURCE_SS,DESTINATION_SS,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,COMMISSIONEDDATE,NEUTRALMATERIAL,CABLECONDUCTORMATERIAL,CABLETYPE,REMARKS,MEASUREDLENGTH,CLUSTER_TYPE,FROM_SWITCH_N,FEEDER_ID_N,PATH,NO_OF_SEGMENT,DEDUP_KEY,AGG_MEASUREDLENGTH,COMMISSIONEDDATE_DT,SWNO,COMMISSIONEDDATE_DT_OLDEST
37923,11616,35369,KALINA_11kV_35369,VAIBHAV PARADISE,THAKKAR PARK,1S-MH-MU-ZST-CL07-1157,1S-MH-MU-ZST-CL07-0535,10,2016-04-01,AL,AL,XLPE,,45.1,,37923,35369,SWNO_37923 -> JT.NO.6D | JT.NO.6D -> JT.NO.6E | JT.NO.6E -> JT.NO.6F | JT.NO.6F -> SWNO_11616,4,11616,97.9,2016-04-01 00:00:00+00:00,11616,2016-04-01 00:00:00+00:00
37924,15306,35418,DEVIDAS_11kV_35418,TARGET MALL,AJANTA CINEMA NO 2,1S-MH-MU-ZNT-CL08-7770,1S-MH-MU-ZNT-CL08-6013,2,,AL,AL,XLPE,,126.6,,37924,35418,SWNO_15306 -> SWNO_37924,1,15306,126.6,,15306,
37929,12676,30881,TIMES_11kV_30881,BANDONGRI EKTA,AKURLI ROAD WEST,1S-MH-MU-ZCT-CL10-5526,1S-MH-MU-ZCT-CL10-4047,2,2008-04-23,AL,AL,XLPE,,39.6,,37929,30881,SWNO_37929 -> JT.NO.135 | JT.NO.135 -> JT.NO.135A | JT.NO.135A -> JT.NO.135B | JT.NO.135B -> JT.NO.135C | JT.NO.135C -> JT.NO.135D | JT.NO.135D -> JT.NO.135E | JT.NO.135E -> JT.NO.135F | JT.NO.135F -> JT.NO.135G | JT.NO.135G -> JT.NO.135H | JT.NO.135H -> JT.NO.135J | JT.NO.135J -> JT.NO.135K | JT.NO.135K -> JT.NO.135L | JT.NO.135L -> SWNO_12676,14,12676,1372.0,2008-04-23 00:00:00+00:00,12676,2008-04-23 00:00:00+00:00
37934,7053,34378,TLKNGR _11kV_34378,VANDANA PESTOM SAGAR,PESTAM SAGAR,1S-MH-MU-ZET-CL09-9464,1S-MH-MU-ZET-CL09-8637,1.3,2022-04-28,AL,AL,XLPE,,130.0,,37934,34378,SWNO_37934 -> SWNO_07053,1,7053,130.0,2022-04-28 00:00:00+00:00,7053,2022-04-28 00:00:00+00:00
37939,32419,38225,SADG_11kV_38225,NARMADA GAGAN,ANANT BUILDING,1S-MH-MU-ZNT-CL11-7073,1S-MH-MU-ZNT-CL11-7236,7,2015-03-10,AL,AL,PILC,,329.3,,37939,38225,SWNO_32419 -> JT.NO.31 | JT.NO.31 -> JT.NO.31A | JT.NO.31A -> JT.NO.31B | JT.NO.31B -> SWNO_37939,4,32419,454.3,2015-03-10 00:00:00+00:00,32419,2015-03-10 00:00:00+00:00
37944,31882,38236,SADG_11kV_38236,NAVGHAR,SUMAN ENCLAVE,1S-MH-MU-ZNT-CL12-6478,1S-MH-MU-ZNT-CL12-7101,9,2016-04-09,AL,AL,XLPE,,50.0,,37944,38236,SWNO_37944 -> JT.NO.60 | JT.NO.60A -> SWNO_31882 | JT.NO.60B -> JT.NO.60A,3,31882,229.7,2016-04-09 00:00:00+00:00,31882,2016-04-09 00:00:00+00:00
37946,7916,14628,KURLA_11kV_14628,ANNA SAGAR SCRAP MARKET,SARITA EST,1S-MH-MU-ZET-CL13-9667,1S-MH-MU-ZET-CL13-8752,3,2016-04-06,AL,AL,XLPE,,187.0,,37946,14628,SWNO_37946 -> JT.NO.01 | JT.NO.01 -> JT.NO.01A | JT.NO.01A -> SWNO_07916,3,7916,277.0,2016-04-06 00:00:00+00:00,7916,2016-04-06 00:00:00+00:00
37950,5231,38754,SWMSMTNGR_11KV_38754,BEHRAMBAUG JAMATKHANA,MEHER BAUG,1S-MH-MU-ZSC-CL08-3450,1S-MH-MU-ZSC-CL08-2499,2,2018-03-11,AL,AL,XLPE,,83.3,,37950,38754,SWNO_37950 -> JT.NO.1 | JT.NO.1 -> JT.NO.1A | JT.NO.1A -> SWNO_05231,3,5231,410.20000000000005,2018-03-11 00:00:00+00:00,5231,2018-03-11 00:00:00+00:00
37960,7883,30135,MALAD_11kV_30135,ORLEM SUNRISE,ORLEM NO.2,1S-MH-MU-ZCT-CL03-5320,1S-MH-MU-ZCT-CL03-4545,2.2,2020-02-06,AL,AL,XLPE,,52.5,,37960,30135,SWNO_37960 -> JT.NO.14 | JT.NO.14 -> JT.NO.14A | JT.NO.14A -> SWNO_07883,3,7883,76.5,2020-02-06 00:00:00+00:00,7883,2020-02-06 00:00:00+00:00
37964,25093,1303,BORIVLI_11kV_01303,NATAKWALA LANE NO 2,KRISHNA NAGRI,1S-MH-MU-ZNT-CL07-7618,1S-MH-MU-ZNT-CL07-6900,3,2016-04-11,AL,AL,XLPE,,96.7,,37964,1303,SWNO_37964 -> JT.NO.3 | JT.NO.3 -> JT.NO.3B | JT.NO.3A -> SWNO_25093 | JT.NO.3B -> JT.NO.3A,4,25093,328.09999999999997,2016-04-11 00:00:00+00:00,25093,2016-04-11 00:00:00+00:00
