FROM_SWITCH,TO_SWITCH,FEEDER_ID,FEEDERID_FULL,SOURCE_SS,DESTINATION_SS,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,COMMISSIONEDDATE,NEUTRALMATERIAL,CABLECONDUCTORMATERIAL,CABLETYPE,REMARKS,MEASUREDLENGTH,CLUSTER_TYPE,PATH,NO_OF_SEGMENT,AGG_MEASUREDLENGTH,COMMISSIONEDDATE_DT_OLDEST,NOOFJOINTS,NOOFSUBSTATION
35605.0,30287.0,31984,TLKNGR _11KV_31984,TILAK NGR SURYAKIRAN,HOUSING WEST 4,1S-MH-MU-ZET-CL09-9467,1S-MH-MU-ZET-CL09-8364,8,,AL,AL,XLPE,NAN,105.6,,SWNO_35605 -> JT.NO.13 | JT.NO.13 -> JT.NO.12 | JT.NO.13 -> SWNO_30288,3,341.5,,86,680
30288.0,37122.0,31984,TLKNGR _11KV_31984,HOUSING WEST 4,ARADHYA TOWER,1S-MH-MU-ZET-CL09-8364,1S-MH-MU-ZET-CL09-9624,9,,AL,AL,PILC,NAN,197.8,,SWNO_30288 -> SWNO_37122,1,197.8,,0,680
31987.0,30329.0,31987,TLKNGR _11KV_31987,TILAK NAGAR REC-STN,SIDDHI HARMONY,1S-MH-MU-ZET-RSTN-TILA,1S-MH-MU-ZET-CL09-9178,1,2021-03-22,AL,AL,XLPE,NAN,393.07245374,,SWNO_31987 -> SWNO_30329,2,876.2,2021-03-22 00:00:00+00:00,0,16
30331.0,43415.0,31987,TLKNGR _11KV_31987,SIDDHI HARMONY,TILAK NGR RAVIKIRAN,1S-MH-MU-ZET-CL09-9178,1S-MH-MU-ZET-CL09-9577,2,,AL,AL,XLPE,NAN,59.7,,SWNO_30331 -> JT.NO.1 | JT.NO.1 -> SWNO_43415,2,161.7,,1,16
43417.0,43069.0,31987,TLKNGR _11KV_31987,TILAK NGR RAVIKIRAN,DEEP MANDIR,1S-MH-MU-ZET-CL09-9577,1S-MH-MU-ZET-CL09-9016,3,2024-03-16,AL,AL,XLPE,NAN,240.0,,SWNO_43069 -> SWNO_43417,1,240.0,2024-03-16 00:00:00+00:00,0,16
25725.0,40410.0,31987,TLKNGR _11KV_31987,DEEP MANDIR,TILAK NGR JWALA,1S-MH-MU-ZET-CL09-9016,1S-MH-MU-ZET-CL09-9567,4,2024-03-14,AL,AL,XLPE,NAN,77.1,,SWNO_25725 -> SWNO_40410,1,77.1,2024-03-14 00:00:00+00:00,0,142
40411.0,37377.0,31987,TLKNGR _11KV_31987,TILAK NGR JWALA,TILAK NGR SHIV SHARAN,1S-MH-MU-ZET-CL09-9567,1S-MH-MU-ZET-CL09-9527,5,,AL,AL,XLPE,NAN,104.2,,SWNO_40411 -> SWNO_37377,1,104.2,,0,142
37378.0,42415.0,31987,TLKNGR _11KV_31987,TILAK NGR SHIV SHARAN,TILAK NGR SHANTIKUNJ,1S-MH-MU-ZET-CL09-9527,1S-MH-MU-ZET-CL09-9659,6,,AL,AL,XLPE,NAN,314.45494956,,SWNO_37378 -> SWNO_42415,1,314.45494956,,0,16
42416.0,36359.0,31987,TLKNGR _11KV_31987,TILAK NGR SHANTIKUNJ,TILAK NGR JAI BHAVANI,1S-MH-MU-ZET-CL09-9659,1S-MH-MU-ZET-CL09-9578,7,,AL,AL,XLPE,NAN,143.91975594,,SWNO_42416 -> SWNO_36359,1,143.91975594,,0,16
36361.0,17219.0,31987,TLKNGR _11KV_31987,TILAK NGR JAI BHAVANI,BHARAT GLASS,1S-MH-MU-ZET-CL09-9578,1S-MH-MU-ZET-CL09-8089,8,,AL,AL,XLPE,NAN,11.81966458,RESIDENTIAL,JT.NO.1 -> JT.NO.1A | JT.NO.1A -> SWNO_17219,2,244.51966458,,216,1094
31988.0,36424.0,31988,TLKNGR _11KV_31988,TILAK NAGAR REC-STN,TILAK NGR DAKSHATA,1S-MH-MU-ZET-RSTN-TILA,1S-MH-MU-ZET-CL09-9580,1,2021-03-20,AL,AL,XLPE,NAN,310.0,,SWNO_31988 -> SWNO_36424,1,310.0,2021-03-20 00:00:00+00:00,50,333
36425.0,38240.0,31988,TLKNGR _11KV_31988,TILAK NGR DAKSHATA,TILAK NGR SAINATH,1S-MH-MU-ZET-CL09-9580,1S-MH-MU-ZET-CL09-9652,2,2007-09-07,AL,AL,PILC,NAN,41.38766912,,JT.NO.9D | JT.NO.9D -> SWNO_38240 | SWNO_36425 -> JT.NO.9D,3,41.38766912,2007-09-07 00:00:00+00:00,54,119
38239.0,40491.0,31988,TLKNGR _11KV_31988,TILAK NGR SAINATH,RIDDHI PREMISES,1S-MH-MU-ZET-CL09-9652,1S-MH-MU-ZET-CL09-9545,3,2007-09-07,AL,AL,XLPE,NAN,120.0,,TILAK NGR SAINATH TO RIDDHI PREMISES (JT.NO 08 JT.NO 08A) | TILAK NGR SAINATH TO RIDDHI PREMISES (JT.NO 08 JT.NO 09) | TILAK NGR SAINATH TO RIDDHI PREMISES (JT.NO 08A JT.NO 08B) | SWNO_40491 | TILAK NGR SAINATH TO RIDDHI PREMISES (JT.NO_09 TO SWITCH NO_40491),5,296.89234709,2007-09-07 00:00:00+00:00,30,43
43867.0,36361.0,31988,TLKNGR _11KV_31988,RIDDHI PREMISES,TILAK NGR JAI BHAVANI,1S-MH-MU-ZET-CL09-9545,1S-MH-MU-ZET-CL09-9578,3.1,,AL,AL,XLPE,NAN,685.0,RESIDENTIAL,SWNO_43867 -> SWNO_36361,1,685.0,,,
40493.0,40989.0,31988,TLKNGR _11KV_31988,RIDDHI PREMISES,KRISHNA MAHAL,1S-MH-MU-ZET-CL09-9545,1S-MH-MU-ZET-CL09-9553,4,2022-04-05,AL,AL,XLPE,NAN,411.23347134,,SWNO_40989 -> SWNO_40493,1,411.23347134,2022-04-05 00:00:00+00:00,6,27
40990.0,13017.0,31988,TLKNGR _11KV_31988,KRISHNA MAHAL,AMAR MAHAL,1S-MH-MU-ZET-CL09-9553,1S-MH-MU-ZET-CL09-8018,5,2020-12-26,AL,AL,PILC,NAN,199.09970944,,SWNO_40990 -> JT.NO.09C | JT.NO.09C -> JT.NO.09D | JT.NO.09D -> JT.NO.09E | JT.NO.09E -> SWNO_13017,4,302.09970944,2020-12-26 00:00:00+00:00,15,27
32155.0,37205.0,32155,RAHEJA_11KV_32155,RAHEJA I.T. PARK REC-STN,INDIRA GANDHI HOSTEL,1S-MH-MU-ZCT-RSTN-RAHE,1S-MH-MU-ZCT-CL08-5499,1,2015-04-30,AL,AL,XLPE,NAN,23.3,,SWNO_32155 -> JT.NO.01 | JT.NO.01 -> JT.NO.02 | JT.NO.02 -> JT.NO.03 | JT.NO.03 -> JT.NO.04 | JT.NO.04 -> JT.NO.05 | JT.NO.05 -> JT.NO.06 | JT.NO.06 -> JT.NO.07 | JT.NO.07 -> JT.NO.08 | JT.NO.08 -> JT.NO.08A | JT.NO.08A -> JT.NO.08B | JT.NO.08B -> JT.NO.08C | JT.NO.08C -> JT.NO.09 | JT.NO.09 -> JT.NO.09A | JT.NO.09A -> JT.NO.10 | JT.NO.10 -> SWNO_37205,15,1590.9,2015-04-30 00:00:00+00:00,194,568
37207.0,37202.0,32155,RAHEJA_11KV_32155,INDIRA GANDHI HOSTEL,SHIVSHAHI PRAKALP NO.5,1S-MH-MU-ZCT-CL08-5499,1S-MH-MU-ZCT-CL08-4870,1.1,2015-05-07,AL,AL,XLPE,NAN,162.4,,SWNO_37207 -> SWNO_37202,1,162.4,2015-05-07 00:00:00+00:00,0,568
37203.0,18740.0,32155,RAHEJA_11KV_32155,SHIVSHAHI PRAKALP NO.5,SHIVSHAHI PRAKALP NO.3,1S-MH-MU-ZCT-CL08-4870,1S-MH-MU-ZCT-CL08-4695,1.2,2022-05-11,AL,AL,PILC,NAN,245.7,SLUM,SWNO_37203 -> JT.NO.1 | JT.NO.1 -> SWNO_18740,2,260.5,2022-05-11 00:00:00+00:00,4,212
37232.0,39420.0,32155,RAHEJA_11KV_32155,INDIRA GANDHI HOSTEL,MASTERMIND,1S-MH-MU-ZCT-CL08-5499,1S-MH-MU-ZCT-CL07-5001,1.2,2018-09-24,AL,AL,XLPE,NAN,13.6,,SWNO_39420 -> JT.NO.19 | JT.NO.19 -> JT.NO.19A | JT.NO.19 -> JT.NO.20 | JT.NO.19A -> JT.NO.19B | JT.NO.19B -> JT.NO.19C | JT.NO.19C -> JT.NO.19D | JT.NO.19D -> JT.NO.19E | JT.NO.19E -> JT.NO.19F | JT.NO.19F -> JT.NO.19G | JT.NO.19G -> JT.NO.19H | JT.NO.19H -> JT.NO.19 | JT.NO.20 -> JT.NO.21 | JT.NO.21 -> JT.NO.22 | JT.NO.22 -> JT.NO.23 | JT.NO.23 -> JT.NO.24 | JT.NO.24 -> JT.NO.25 | JT.NO.25 -> JT.NO.26 | JT.NO.26 -> JT.NO.27 | JT.NO.27 -> JT.NO.27A | JT.NO.27A -> SWNO_37232,22,3410.29995389,2018-09-24 00:00:00+00:00,213,196
18739.0,18693.0,32155,RAHEJA_11KV_32155,SHIVSHAHI PRAKALP NO.3,SHIVSHAHI PRAKALP NO.1,1S-MH-MU-ZCT-CL08-4695,1S-MH-MU-ZCT-CL08-4694,1.3,,AL,AL,PILC,NAN,7.0,,SWNO_18739 -> JT.NO.13 | JT.NO.13 -> JT.NO.13A | JT.NO.13A -> SWNO_18693,3,222.3,,78,568
37233.0,37524.0,32155,RAHEJA_11KV_32155,INDIRA GANDHI HOSTEL,SANTOSH NAGAR OMKAR,1S-MH-MU-ZCT-CL08-5499,1S-MH-MU-ZCT-CL08-5498,2,2015-04-27,AL,AL,XLPE,NAN,50.9,,SWNO_37233 -> JT.NO.8 | JT.NO.8 -> SWNO_37524,2,120.7,2015-04-27 00:00:00+00:00,43,385
37523.0,38781.0,32155,RAHEJA_11KV_32155,SANTOSH NAGAR OMKAR,SANTOSH NAGAR OMKAR NO.2,1S-MH-MU-ZCT-CL08-5498,1S-MH-MU-ZCT-CL08-5637,3,2015-04-27,AL,AL,XLPE,NAN,89.3,,SWNO_37523 -> JT.NO.35 | JT.NO.35 -> SWNO_38781,2,207.9,2015-04-27 00:00:00+00:00,12,209
38782.0,14122.0,32155,RAHEJA_11KV_32155,SANTOSH NAGAR OMKAR NO.2,VASUDEV KRISHNA NAGAR,1S-MH-MU-ZCT-CL08-5637,1S-MH-MU-ZCT-CL08-4791,4,2017-06-24,AL,AL,XLPE,NAN,135.9,,SWNO_38782 -> JT.NO.33 | JT.NO.33 -> JT.NO.33A | JT.NO.33A -> SWNO_14122,3,355.70000000000005,2017-06-24 00:00:00+00:00,25,209
18269.0,43970.0,32155,RAHEJA_11KV_32155,VASUDEV KRISHNA NAGAR,AAREY J KUMAR,1S-MH-MU-ZCT-CL08-4791,1S-MH-MU-ZCT-CL08-5814,4.1,2015-11-07,AL,AL,PILC,NAN,128.2,,SWNO_18269 -> JT.NO.11 | JT.NO.11 -> JT.NO.11A | JT.NO.11A -> JT.NO.11B | JT.NO.11C -> JT.NO.11D | JT.NO.11D -> JT.NO.11E | JT.NO.11E -> SWNO_43970,6,525.0,2015-11-07 00:00:00+00:00,,
43969.0,18267.0,32155,RAHEJA_11KV_32155,AAREY J KUMAR,AAREY UNIT NO.32,1S-MH-MU-ZCT-CL08-5814,1S-MH-MU-ZCT-CL08-4015,4.2,2008-12-24,AL,AL,XLPE,NAN,212.9,,SWNO_43969 | JT.NO.11C -> JT.NO.11D | JT.NO.11D -> JT.NO.11E | JT.NO.11E -> JT.NO.11F | JT.NO.11F -> JT.NO.11G | JT.NO.11G -> JT.NO.11H | JT.NO.11H -> SWNO_18267,7,598.6,2008-12-24 00:00:00+00:00,,
18268.0,26678.0,32155,RAHEJA_11KV_32155,AAREY UNIT NO.32,AAREY UNIT NO.31,1S-MH-MU-ZCT-CL08-4015,1S-MH-MU-ZCT-CL08-4014,4.3,,AL,AL,PILC,NAN,134.1,,SWNO_18268 -> JT.NO.17 | JT.NO.17 -> JT.NO.17A | JT.NO.17B -> JT.NO.17C,4,835.3000000000001,,159,722
14123.0,38410.0,32155,RAHEJA_11KV_32155,VASUDEV KRISHNA NAGAR,ACME HILLS,1S-MH-MU-ZCT-CL08-4791,1S-MH-MU-ZCT-CL08-5598,5,2016-12-09,AL,AL,XLPE,NAN,213.5,,SWNO_14123 -> JT.NO.2 | JT.NO.2 -> SWNO_38410,2,295.0,2016-12-09 00:00:00+00:00,11,196
