FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,LOCATION,RANK,LATEST_DT_DATE,DT_LOAD,DT_LOAD_CAL,SUM_DT_LOAD_CAL,FRACTION,feeder_Month_01,feeder_Month_02,feeder_Month_03,feeder_Month_04,feeder_Month_05,feeder_Month_06,feeder_Month_07,feeder_Month_08,feeder_Month_09,feeder_Month_10,feeder_Month_11,feeder_Month_12,node_load_Month_01,node_load_Month_02,node_load_Month_03,node_load_Month_04,node_load_Month_05,node_load_Month_06,node_load_Month_07,node_load_Month_08,node_load_Month_09,node_load_Month_10,node_load_Month_11,node_load_Month_12,sec_cum_Month_01,sec_cum_Month_02,sec_cum_Month_03,sec_cum_Month_04,sec_cum_Month_05,sec_cum_Month_06,sec_cum_Month_07,sec_cum_Month_08,sec_cum_Month_09,sec_cum_Month_10,sec_cum_Month_11,sec_cum_Month_12
10206,16854-18162,1S-MH-MU-ZSC-CL09-2185,1S-MH-MU-ZSC-CL09-2027,1S-MH-MU-ZSC-CL09-2027,3,2025-04-04,450.488730964467,24.888975128155785,133.5217870251244,0.18640384975878505,94.965,99.852,116.194,130.66,136.961,120.112,116.943,116.943,117.636,133.889,115.651,98.788,18,19,22,25,26,23,22,22,22,25,22,19,56.0,116.0,184.0,262.0,342.0,414.0,482.0,550.0,618.0,696.0,764.0,824.0
10206,18160-10129,1S-MH-MU-ZSC-CL09-2027,1S-MH-MU-ZSC-CL07-2739,1S-MH-MU-ZSC-CL07-2739,4,2024-11-04,302.0321243523316,16.686921368299828,133.5217870251244,0.12497526987981293,94.965,99.852,116.194,130.66,136.961,120.112,116.943,116.943,117.636,133.889,115.651,98.788,12,13,15,17,18,16,15,15,15,17,15,13,38.0,79.0,125.0,178.0,232.0,281.0,327.0,373.0,419.0,472.0,518.0,559.0
10206,10131-35474,1S-MH-MU-ZSC-CL07-2739,1S-MH-MU-ZSC-CL07-3317,1S-MH-MU-ZSC-CL07-3317,5,2025-04-04,139.49333333333334,7.7068434019290155,133.5217870251244,0.05771974427273686,94.965,99.852,116.194,130.66,136.961,120.112,116.943,116.943,117.636,133.889,115.651,98.788,6,6,7,8,8,7,7,7,7,8,7,6,26.0,54.0,85.0,121.0,157.0,190.0,221.0,252.0,283.0,319.0,350.0,378.0
10206,35475-1045,1S-MH-MU-ZSC-CL07-3317,1S-MH-MU-ZSC-CL07-2297,1S-MH-MU-ZSC-CL07-2297,6,2025-04-04,246.2634825870647,13.605769183082922,133.5217870251244,0.10189924420740987,94.965,99.852,116.194,130.66,136.961,120.112,116.943,116.943,117.636,133.889,115.651,98.788,10,11,12,14,14,13,12,12,12,14,12,11,20.0,42.0,66.0,94.0,122.0,148.0,172.0,196.0,220.0,248.0,272.0,294.0
10206,1047-35450,1S-MH-MU-ZSC-CL07-2297,1S-MH-MU-ZSC-CL09-3297,1S-MH-MU-ZSC-CL09-3297,7,2025-03-06,245.2669387755102,13.550711303861846,133.5217870251244,0.10148689293165353,94.965,99.852,116.194,130.66,136.961,120.112,116.943,116.943,117.636,133.889,115.651,98.788,10,11,12,14,14,13,12,12,12,14,12,11,10.0,21.0,33.0,47.0,61.0,74.0,86.0,98.0,110.0,124.0,136.0,147.0
10207,10207-41773,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL05-3321,1S-MH-MU-ZSC-CL05-3321,1,2025-03-06,51.82222222222222,2.863117124402355,78.62741502627247,0.036413725714442936,39.181,44.518,46.915,61.698,65.982,70.093,63.882,63.882,46.1,55.566,45.452,37.849,2,2,2,3,3,3,3,3,2,3,2,2,43.0,90.0,140.0,206.0,276.0,349.0,416.0,483.0,532.0,591.0,639.0,679.0
10207,41772-35754,1S-MH-MU-ZSC-CL05-3321,1S-MH-MU-ZSC-CL09-3211,1S-MH-MU-ZSC-CL09-3211,2,,,,,,39.181,44.518,46.915,61.698,65.982,70.093,63.882,63.882,46.1,55.566,45.452,37.849,,,,,,,,,,,,,41.0,86.0,134.0,197.0,264.0,334.0,398.0,462.0,509.0,565.0,611.0,649.0
10207,35755-15803,1S-MH-MU-ZSC-CL09-3211,1S-MH-MU-ZSC-CL09-2281,1S-MH-MU-ZSC-CL09-2281,3,2025-03-06,174.8592,9.660766142610777,78.62741502627247,0.12286765550390713,39.181,44.518,46.915,61.698,65.982,70.093,63.882,63.882,46.1,55.566,45.452,37.849,5,6,6,8,9,9,8,8,6,7,6,5,41.0,86.0,134.0,197.0,264.0,334.0,398.0,462.0,509.0,565.0,611.0,649.0
10207,15801-34616,1S-MH-MU-ZSC-CL09-2281,1S-MH-MU-ZSC-CL06-3280,1S-MH-MU-ZSC-CL06-3280,4,2025-04-04,221.5306832298137,12.239310966171738,78.62741502627247,0.15566213084942584,39.181,44.518,46.915,61.698,65.982,70.093,63.882,63.882,46.1,55.566,45.452,37.849,7,7,8,10,11,11,10,10,8,9,8,6,36.0,75.0,117.0,172.0,230.0,291.0,347.0,403.0,444.0,493.0,533.0,566.0
10207,34614-7119,1S-MH-MU-ZSC-CL06-3280,1S-MH-MU-ZSC-CL06-2835,1S-MH-MU-ZSC-CL06-2835,5,2025-04-04,369.524,20.41576850450022,78.62741502627247,0.25965203736735487,39.181,44.518,46.915,61.698,65.982,70.093,63.882,63.882,46.1,55.566,45.452,37.849,11,12,13,17,18,19,17,17,12,15,12,10,29.0,61.0,95.0,140.0,187.0,237.0,283.0,329.0,362.0,402.0,434.0,461.0
