FEEDER_ID,FROM_TO,SOURCE_LOCATION,DESTINATION_LOCATION,RANK,LATEST_DT_DATE,DT_LOAD
10206,1S-MH-MU-ZSC-CL09-3113-1S-MH-MU-ZSC-CL09-3113,1S-MH-MU-ZSC-CL09-3113,1S-MH-MU-ZSC-CL09-3113,2.1.1.1.2.2.2.2,2025-04-04,86.8979411764706
10206,1S-MH-MU-ZSC-CL09-2185-1S-MH-MU-ZSC-CL09-2027,1S-MH-MU-ZSC-CL09-2185,1S-MH-MU-ZSC-CL09-2027,2.1.1.2,2025-04-04,450.488730964467
10206,1S-MH-MU-ZSC-CL09-2027-1S-MH-MU-ZSC-CL07-2739,1S-MH-MU-ZSC-CL09-2027,1S-MH-MU-ZSC-CL07-2739,2.1.1.2.1,2024-11-04,302.0321243523316
10206,1S-MH-MU-ZSC-CL07-2739-1S-MH-MU-ZSC-CL07-2739,1S-MH-MU-ZSC-CL07-2739,1S-MH-MU-ZSC-CL07-2739,2.1.1.2.1.1,2024-11-04,302.0321243523316
10206,1S-MH-MU-ZSC-CL07-2739-1S-MH-MU-ZSC-CL07-3317,1S-MH-MU-ZSC-CL07-2739,1S-MH-MU-ZSC-CL07-3317,2.1.1.2.1.2,2025-04-04,139.49333333333334
10206,1S-MH-MU-ZSC-CL07-3317-1S-MH-MU-ZSC-CL07-2297,1S-MH-MU-ZSC-CL07-3317,1S-MH-MU-ZSC-CL07-2297,2.1.1.2.1.2.1,2025-04-04,247.09425742574257
10206,1S-MH-MU-ZSC-CL07-2297-1S-MH-MU-ZSC-CL07-2297,1S-MH-MU-ZSC-CL07-2297,1S-MH-MU-ZSC-CL07-2297,2.1.1.2.1.2.1.1,2025-04-04,247.09425742574257
10206,1S-MH-MU-ZSC-CL07-2297-1S-MH-MU-ZSC-CL09-3297,1S-MH-MU-ZSC-CL07-2297,1S-MH-MU-ZSC-CL09-3297,2.1.1.2.1.2.1.2,2025-03-06,245.2669387755102
10206,1S-MH-MU-ZSC-CL09-3297-1S-MH-MU-ZSC-CL09-3297,1S-MH-MU-ZSC-CL09-3297,1S-MH-MU-ZSC-CL09-3297,2.1.1.2.1.2.1.2.1,2025-03-06,245.2669387755102
10206,1S-MH-MU-ZSC-CL07-3317-1S-MH-MU-ZSC-CL07-3317,1S-MH-MU-ZSC-CL07-3317,1S-MH-MU-ZSC-CL07-3317,2.1.1.2.1.2.2,2025-04-04,139.49333333333334
10206,1S-MH-MU-ZSC-CL09-2027-1S-MH-MU-ZSC-CL09-2027,1S-MH-MU-ZSC-CL09-2027,1S-MH-MU-ZSC-CL09-2027,2.1.1.2.2,2025-04-04,450.488730964467
10206,1S-MH-MU-ZSC-CL09-2185-1S-MH-MU-ZSC-CL09-2185,1S-MH-MU-ZSC-CL09-2185,1S-MH-MU-ZSC-CL09-2185,2.1.1.3,2025-03-06,225.7628717948718
10206,1S-MH-MU-ZSC-CL09-2298-1S-MH-MU-ZSC-CL09-2298,1S-MH-MU-ZSC-CL09-2298,1S-MH-MU-ZSC-CL09-2298,2.1.2,2025-04-04,335.92400000000004
10207,ROOT-1S-MH-MU-ZSC-RSTN-AMBI,,1S-MH-MU-ZSC-RSTN-AMBI,1,2012-09-21,581.4
10207,1S-MH-MU-ZSC-RSTN-AMBI-1S-MH-MU-ZSC-CL05-3321,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL05-3321,1.1,2025-03-06,51.82222222222222
10207,1S-MH-MU-ZSC-CL05-3321-1S-MH-MU-ZSC-CL05-3321,1S-MH-MU-ZSC-CL05-3321,1S-MH-MU-ZSC-CL05-3321,1.1.1,2025-03-06,51.82222222222222
10207,1S-MH-MU-ZSC-CL05-3321-1S-MH-MU-ZSC-CL09-3211,1S-MH-MU-ZSC-CL05-3321,1S-MH-MU-ZSC-CL09-3211,1.1.2,,
10207,1S-MH-MU-ZSC-CL09-3211-1S-MH-MU-ZSC-CL09-2281,1S-MH-MU-ZSC-CL09-3211,1S-MH-MU-ZSC-CL09-2281,1.1.2.1,2025-03-06,174.99920398009948
10207,1S-MH-MU-ZSC-CL09-2281-1S-MH-MU-ZSC-CL06-3280,1S-MH-MU-ZSC-CL09-2281,1S-MH-MU-ZSC-CL06-3280,1.1.2.1.1,2025-04-04,221.5306832298137
10207,1S-MH-MU-ZSC-CL06-3280-1S-MH-MU-ZSC-CL06-2835,1S-MH-MU-ZSC-CL06-3280,1S-MH-MU-ZSC-CL06-2835,1.1.2.1.1.1,2025-04-04,369.524
10207,1S-MH-MU-ZSC-CL06-2835-1S-MH-MU-ZSC-CL06-2221,1S-MH-MU-ZSC-CL06-2835,1S-MH-MU-ZSC-CL06-2221,1.1.2.1.1.1.1,2025-04-04,362.48085106382973
10207,1S-MH-MU-ZSC-CL06-2221-1S-MH-MU-ZSC-CL06-2221,1S-MH-MU-ZSC-CL06-2221,1S-MH-MU-ZSC-CL06-2221,1.1.2.1.1.1.1.1,2025-04-04,362.48085106382973
10207,1S-MH-MU-ZSC-CL06-2835-1S-MH-MU-ZSC-CL06-2222,1S-MH-MU-ZSC-CL06-2835,1S-MH-MU-ZSC-CL06-2222,1.1.2.1.1.1.2,2025-04-04,149.6213725490196
10207,1S-MH-MU-ZSC-CL06-2835-1S-MH-MU-ZSC-CL06-2835,1S-MH-MU-ZSC-CL06-2835,1S-MH-MU-ZSC-CL06-2835,1.1.2.1.1.1.3,2025-04-04,369.524
10207,1S-MH-MU-ZSC-CL06-2835-1S-MH-MU-ZSC-CL06-3428,1S-MH-MU-ZSC-CL06-2835,1S-MH-MU-ZSC-CL06-3428,1.1.2.1.1.1.4,2025-04-04,93.34205607476636
10207,1S-MH-MU-ZSC-CL06-3280-1S-MH-MU-ZSC-CL06-3280,1S-MH-MU-ZSC-CL06-3280,1S-MH-MU-ZSC-CL06-3280,1.1.2.1.1.2,2025-04-04,221.5306832298137
10207,1S-MH-MU-ZSC-CL09-2281-1S-MH-MU-ZSC-CL09-2281,1S-MH-MU-ZSC-CL09-2281,1S-MH-MU-ZSC-CL09-2281,1.1.2.1.2,2025-03-06,174.99920398009948
10207,1S-MH-MU-ZSC-CL09-3211-nan,1S-MH-MU-ZSC-CL09-3211,nan,1.1.2.2,,
10209,ROOT-1S-MH-MU-ZSC-RSTN-AMBI,,1S-MH-MU-ZSC-RSTN-AMBI,1,2012-09-21,581.4
10209,1S-MH-MU-ZSC-RSTN-AMBI-1S-MH-MU-ZSC-CL09-2244,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2244,1.1,2025-03-06,431.8323529411765
10209,1S-MH-MU-ZSC-CL09-2244-1S-MH-MU-ZSC-CL09-2244,1S-MH-MU-ZSC-CL09-2244,1S-MH-MU-ZSC-CL09-2244,1.1.1,2025-03-06,431.8323529411765
10209,1S-MH-MU-ZSC-CL09-2244-1S-MH-MU-ZSC-CL09-2432,1S-MH-MU-ZSC-CL09-2244,1S-MH-MU-ZSC-CL09-2432,1.1.2,2025-03-06,297.31549019607843
10209,1S-MH-MU-ZSC-CL09-2432-1S-MH-MU-ZSC-CL09-2432,1S-MH-MU-ZSC-CL09-2432,1S-MH-MU-ZSC-CL09-2432,1.1.2.1,2025-03-06,297.31549019607843
10209,1S-MH-MU-ZSC-CL09-2432-1S-MH-MU-ZSC-CL09-3225,1S-MH-MU-ZSC-CL09-2432,1S-MH-MU-ZSC-CL09-3225,1.1.2.2,2025-04-04,237.83647058823527
10209,1S-MH-MU-ZSC-CL09-3225-1S-MH-MU-ZSC-CL09-3168,1S-MH-MU-ZSC-CL09-3225,1S-MH-MU-ZSC-CL09-3168,1.1.2.2.1,2025-04-04,281.452081871345
10209,1S-MH-MU-ZSC-CL09-3168-1S-MH-MU-ZSC-CL09-2806,1S-MH-MU-ZSC-CL09-3168,1S-MH-MU-ZSC-CL09-2806,1.1.2.2.1.1,2025-04-04,280.2227722772277
10209,1S-MH-MU-ZSC-CL09-3168-1S-MH-MU-ZSC-CL09-3168,1S-MH-MU-ZSC-CL09-3168,1S-MH-MU-ZSC-CL09-3168,1.1.2.2.1.2,2025-04-04,281.452081871345
10209,1S-MH-MU-ZSC-CL09-3225-1S-MH-MU-ZSC-CL09-3225,1S-MH-MU-ZSC-CL09-3225,1S-MH-MU-ZSC-CL09-3225,1.1.2.2.2,2025-04-04,237.83647058823527
10210,ROOT-1S-MH-MU-ZSC-RSTN-AMBI,,1S-MH-MU-ZSC-RSTN-AMBI,1,2012-09-21,581.4
10210,1S-MH-MU-ZSC-RSTN-AMBI-1S-MH-MU-ZSC-CL05-2583,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL05-2583,1.1,2025-02-07,145.45333333333332
10210,1S-MH-MU-ZSC-CL05-2583-1S-MH-MU-ZSC-CL05-2583,1S-MH-MU-ZSC-CL05-2583,1S-MH-MU-ZSC-CL05-2583,1.1.1,2025-02-07,145.45333333333332
10210,1S-MH-MU-ZSC-CL05-2583-1S-MH-MU-ZSC-CL05-3379,1S-MH-MU-ZSC-CL05-2583,1S-MH-MU-ZSC-CL05-3379,1.1.2,2025-04-04,122.25283018867924
10210,1S-MH-MU-ZSC-CL05-3379-1S-MH-MU-ZSC-CL05-2737,1S-MH-MU-ZSC-CL05-3379,1S-MH-MU-ZSC-CL05-2737,1.1.2.1,2025-04-04,240.75902702702703
10210,1S-MH-MU-ZSC-CL05-2737-1S-MH-MU-ZSC-CL05-2288,1S-MH-MU-ZSC-CL05-2737,1S-MH-MU-ZSC-CL05-2288,1.1.2.1.1,2025-03-06,212.0994871794872
10210,1S-MH-MU-ZSC-CL05-2288-1S-MH-MU-ZSC-CL05-2080,1S-MH-MU-ZSC-CL05-2288,1S-MH-MU-ZSC-CL05-2080,1.1.2.1.1.1,2025-04-04,646.4742574257426
10210,1S-MH-MU-ZSC-CL05-2288-1S-MH-MU-ZSC-CL05-2288,1S-MH-MU-ZSC-CL05-2288,1S-MH-MU-ZSC-CL05-2288,1.1.2.1.1.2,2025-03-06,212.0994871794872
10210,1S-MH-MU-ZSC-CL05-2288-1S-MH-MU-ZSC-CL05-3219,1S-MH-MU-ZSC-CL05-2288,1S-MH-MU-ZSC-CL05-3219,1.1.2.1.1.3,2025-04-04,289.5607843137255
10210,1S-MH-MU-ZSC-CL05-3219-1S-MH-MU-ZSC-CL05-3217,1S-MH-MU-ZSC-CL05-3219,1S-MH-MU-ZSC-CL05-3217,1.1.2.1.1.3.1,2025-04-04,326.15731707317076
10210,1S-MH-MU-ZSC-CL05-3217-1S-MH-MU-ZSC-CL05-3217,1S-MH-MU-ZSC-CL05-3217,1S-MH-MU-ZSC-CL05-3217,1.1.2.1.1.3.1.1,2025-04-04,326.15731707317076
10210,1S-MH-MU-ZSC-CL05-3217-1S-MH-MU-ZSC-CL05-3218,1S-MH-MU-ZSC-CL05-3217,1S-MH-MU-ZSC-CL05-3218,1.1.2.1.1.3.1.2,2025-04-04,229.39386503067482
10210,1S-MH-MU-ZSC-CL05-3219-1S-MH-MU-ZSC-CL05-3219,1S-MH-MU-ZSC-CL05-3219,1S-MH-MU-ZSC-CL05-3219,1.1.2.1.1.3.2,2025-04-04,289.5607843137255
10210,1S-MH-MU-ZSC-CL05-3219-1S-MH-MU-ZSC-CL05-3499,1S-MH-MU-ZSC-CL05-3219,1S-MH-MU-ZSC-CL05-3499,1.1.2.1.1.3.3,2025-03-06,148.07999999999998
10210,1S-MH-MU-ZSC-CL05-2737-1S-MH-MU-ZSC-CL05-2737,1S-MH-MU-ZSC-CL05-2737,1S-MH-MU-ZSC-CL05-2737,1.1.2.1.2,2025-04-04,240.75902702702703
10210,1S-MH-MU-ZSC-CL05-3379-1S-MH-MU-ZSC-CL05-3379,1S-MH-MU-ZSC-CL05-3379,1S-MH-MU-ZSC-CL05-3379,1.1.2.2,2025-04-04,122.25283018867924
10210,1S-MH-MU-ZSC-RSTN-AMBI-1S-MH-MU-ZSC-CL08-3475,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL08-3475,1.2,2025-04-04,216.4774193548387
10210,1S-MH-MU-ZSC-CL08-3475-1S-MH-MU-ZSC-CL08-3475,1S-MH-MU-ZSC-CL08-3475,1S-MH-MU-ZSC-CL08-3475,1.2.1,2025-04-04,216.4774193548387
10210,1S-MH-MU-ZSC-CL08-3475-1S-MH-MU-ZSC-CL09-2926,1S-MH-MU-ZSC-CL08-3475,1S-MH-MU-ZSC-CL09-2926,1.2.2,2025-04-04,559.0067750677507
10210,1S-MH-MU-ZSC-CL09-2926-1S-MH-MU-ZSC-CL09-2607,1S-MH-MU-ZSC-CL09-2926,1S-MH-MU-ZSC-CL09-2607,1.2.2.1,,
10210,1S-MH-MU-ZSC-CL09-2607-1S-MH-MU-ZSC-CL09-3004,1S-MH-MU-ZSC-CL09-2607,1S-MH-MU-ZSC-CL09-3004,1.2.2.1.1,2025-04-04,324.4504950495049
10210,1S-MH-MU-ZSC-CL09-3004-1S-MH-MU-ZSC-CL09-2765,1S-MH-MU-ZSC-CL09-3004,1S-MH-MU-ZSC-CL09-2765,1.2.2.1.1.1,2025-04-04,267.0874576271187
10210,1S-MH-MU-ZSC-CL09-2765-1S-MH-MU-ZSC-CL09-2040,1S-MH-MU-ZSC-CL09-2765,1S-MH-MU-ZSC-CL09-2040,1.2.2.1.1.1.1,2025-04-04,84.74545454545454
10210,1S-MH-MU-ZSC-CL09-2040-1S-MH-MU-ZSC-CL09-2040,1S-MH-MU-ZSC-CL09-2040,1S-MH-MU-ZSC-CL09-2040,1.2.2.1.1.1.1.1,2025-04-04,84.74545454545454
10210,1S-MH-MU-ZSC-CL09-2040-1S-MH-MU-ZSC-CL09-2815,1S-MH-MU-ZSC-CL09-2040,1S-MH-MU-ZSC-CL09-2815,1.2.2.1.1.1.1.2,2025-03-06,348.0820512820513
10210,1S-MH-MU-ZSC-CL09-2040-1S-MH-MU-ZSC-CL09-2840,1S-MH-MU-ZSC-CL09-2040,1S-MH-MU-ZSC-CL09-2840,1.2.2.1.1.1.1.3,2025-03-06,132.5070588235294
10210,1S-MH-MU-ZSC-CL09-2765-nan,1S-MH-MU-ZSC-CL09-2765,nan,1.2.2.1.1.1.2,,
10210,1S-MH-MU-ZSC-CL09-3004-1S-MH-MU-ZSC-CL09-3004,1S-MH-MU-ZSC-CL09-3004,1S-MH-MU-ZSC-CL09-3004,1.2.2.1.1.2,2025-04-04,324.4504950495049
10210,1S-MH-MU-ZSC-CL09-2926-1S-MH-MU-ZSC-CL09-2926,1S-MH-MU-ZSC-CL09-2926,1S-MH-MU-ZSC-CL09-2926,1.2.2.2,2025-04-04,559.0067750677507
10211,ROOT-1S-MH-MU-ZSC-RSTN-AMBI,,1S-MH-MU-ZSC-RSTN-AMBI,1,2012-09-21,581.4
10211,1S-MH-MU-ZSC-RSTN-AMBI-1S-MH-MU-ZSC-CL05-3075,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL05-3075,1.1,,
10217,ROOT-1S-MH-MU-ZSC-RSTN-AMBI,,1S-MH-MU-ZSC-RSTN-AMBI,1,2012-09-21,581.4
10217,1S-MH-MU-ZSC-RSTN-AMBI-1S-MH-MU-ZSC-CL09-2132,1S-MH-MU-ZSC-RSTN-AMBI,1S-MH-MU-ZSC-CL09-2132,1.1,2025-03-06,357.43519999999995
10217,1S-MH-MU-ZSC-CL09-2132-1S-MH-MU-ZSC-CL06-3340,1S-MH-MU-ZSC-CL09-2132,1S-MH-MU-ZSC-CL06-3340,1.1.1,2025-03-06,196.11666666666667
10217,1S-MH-MU-ZSC-CL06-3340-1S-MH-MU-ZSC-CL06-2564,1S-MH-MU-ZSC-CL06-3340,1S-MH-MU-ZSC-CL06-2564,1.1.1.1,2025-04-04,159.87
10217,1S-MH-MU-ZSC-CL06-2564-1S-MH-MU-ZSC-CL06-2564,1S-MH-MU-ZSC-CL06-2564,1S-MH-MU-ZSC-CL06-2564,1.1.1.1.1,2025-04-04,159.87
10217,1S-MH-MU-ZSC-CL06-2564-1S-MH-MU-ZSC-CL06-2598,1S-MH-MU-ZSC-CL06-2564,1S-MH-MU-ZSC-CL06-2598,1.1.1.1.2,2025-04-04,203.80554455445545
10217,1S-MH-MU-ZSC-CL06-2598-1S-MH-MU-ZSC-CL06-2598,1S-MH-MU-ZSC-CL06-2598,1S-MH-MU-ZSC-CL06-2598,1.1.1.1.2.1,2025-04-04,203.80554455445545
10217,1S-MH-MU-ZSC-CL06-2598-1S-MH-MU-ZSC-CL06-3428,1S-MH-MU-ZSC-CL06-2598,1S-MH-MU-ZSC-CL06-3428,1.1.1.1.2.2,2025-04-04,93.34205607476636
10217,1S-MH-MU-ZSC-CL06-3428-1S-MH-MU-ZSC-CL06-3428,1S-MH-MU-ZSC-CL06-3428,1S-MH-MU-ZSC-CL06-3428,1.1.1.1.2.2.1,2025-04-04,93.34205607476636
10217,1S-MH-MU-ZSC-CL06-2564-1S-MH-MU-ZSC-CL06-2677,1S-MH-MU-ZSC-CL06-2564,1S-MH-MU-ZSC-CL06-2677,1.1.1.1.3,2025-04-04,378.417756097561
10217,1S-MH-MU-ZSC-CL06-2677-1S-MH-MU-ZSC-CL06-2029,1S-MH-MU-ZSC-CL06-2677,1S-MH-MU-ZSC-CL06-2029,1.1.1.1.3.1,2025-04-04,170.2717171717172
10217,1S-MH-MU-ZSC-CL06-2029-1S-MH-MU-ZSC-CL06-2029,1S-MH-MU-ZSC-CL06-2029,1S-MH-MU-ZSC-CL06-2029,1.1.1.1.3.1.1,2025-04-04,170.2717171717172
10217,1S-MH-MU-ZSC-CL06-2029-1S-MH-MU-ZSC-CL06-3194,1S-MH-MU-ZSC-CL06-2029,1S-MH-MU-ZSC-CL06-3194,1.1.1.1.3.1.2,2025-04-04,140.07976878612718
10217,1S-MH-MU-ZSC-CL06-3194-1S-MH-MU-ZSC-CL06-2998,1S-MH-MU-ZSC-CL06-3194,1S-MH-MU-ZSC-CL06-2998,1.1.1.1.3.1.2.1,2025-04-04,320.7061224489796
10217,1S-MH-MU-ZSC-CL06-3194-1S-MH-MU-ZSC-CL06-3194,1S-MH-MU-ZSC-CL06-3194,1S-MH-MU-ZSC-CL06-3194,1.1.1.1.3.1.2.2,2025-04-04,140.07976878612718
10217,1S-MH-MU-ZSC-CL06-2677-1S-MH-MU-ZSC-CL06-2677,1S-MH-MU-ZSC-CL06-2677,1S-MH-MU-ZSC-CL06-2677,1.1.1.1.3.2,2025-04-04,378.417756097561
10217,1S-MH-MU-ZSC-CL06-3340-1S-MH-MU-ZSC-CL06-3340,1S-MH-MU-ZSC-CL06-3340,1S-MH-MU-ZSC-CL06-3340,1.1.1.2,2025-03-06,196.11666666666667
10217,1S-MH-MU-ZSC-CL09-2132-1S-MH-MU-ZSC-CL09-2132,1S-MH-MU-ZSC-CL09-2132,1S-MH-MU-ZSC-CL09-2132,1.1.2,2025-03-06,357.43519999999995
10219,ROOT-1S-MH-MU-ZSC-RSTN-AMBI,,1S-MH-MU-ZSC-RSTN-AMBI,1,2012-09-21,581.4
