DESTINATION_LOCATION,FEEDER_ID,VAR_Month_01,VAR_Month_02,VAR_Month_03,VAR_Month_04,VAR_Month_05,VAR_Month_06,VAR_Month_07,VAR_Month_08,VAR_Month_09,VAR_Month_10,VAR_Month_11,VAR_Month_12,CYCLE_Month_01,CYCLE_Month_02,CYCLE_Month_03,CYCLE_Month_04,CYCLE_Month_05,CYCLE_Month_06,CYCLE_Month_07,CYCLE_Month_08,CYCLE_Month_09,CYCLE_Month_10,CYCLE_Month_11,CYCLE_Month_12
1S-MH-MU-ZNT-CL08-7884,35159,0.901,0.326,0.676,1.391,1.22,0.614,0.0,0.387,2.928,1.263,1.143,0.679,1,0,1,1,1,0,0,1,0,1,1,1
1S-MH-MU-ZNT-CL06-7361,35162,4.382,3.622,1.642,10.154,8.216,4.519,0.0,2.361,14.889,7.016,9.109,2.762,1,1,0,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZNT-CL06-6244,35162,4.029,3.354,1.51,9.343,7.494,4.096,0.0,2.15,13.411,6.399,8.179,2.514,1,1,0,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZNT-CL06-6242,35162,0.379,0.419,0.173,1.064,0.865,0.478,0.0,0.214,1.512,0.854,0.892,0.296,1,1,0,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZNT-CL06-6255,35162,3.267,2.629,1.184,7.378,5.823,3.146,0.0,1.691,10.567,4.979,6.424,1.961,1,1,0,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZNT-CL06-6256,35162,2.731,2.203,0.977,6.141,4.814,2.588,0.0,1.403,9.122,4.284,5.553,1.656,1,1,0,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZNT-CL06-6253,35162,1.441,1.082,0.464,2.949,2.419,1.342,0.0,0.766,4.702,2.204,2.848,0.938,1,1,0,2,1,0,0,1,0,1,3,0
NAN,35162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1S-MH-MU-ZNT-CL06-7051,35162,0.762,0.64,0.252,1.686,1.348,0.735,0.0,0.443,2.643,1.213,1.666,0.584,1,1,0,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZNT-CL06-6256,35162,2.731,2.203,0.977,6.141,4.814,2.588,0.0,1.403,9.122,4.284,5.553,1.656,1,1,0,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZNT-CL06-6253,35162,1.441,1.082,0.464,2.949,2.419,1.342,0.0,0.766,4.702,2.204,2.848,0.938,1,1,0,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZNT-CL06-7051,35162,0.762,0.64,0.252,1.686,1.348,0.735,0.0,0.443,2.643,1.213,1.666,0.584,1,1,0,2,1,0,0,1,0,1,3,0
1S-MH-MU-ZST-CL07-0273,35366,15.424,14.719,17.654,29.969,27.182,13.153,0.0,1.014,8.022,5.418,5.678,2.708,4,4,5,7,6,4,0,1,0,3,2,0
1S-MH-MU-ZST-CL07-0024,35366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1S-MH-MU-ZST-CL07-0635,35366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
